interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,solar
2023-08-01T00:00:00-07:00,2023-08-01T07:00:00+00:00,2023-09-01T00:00:00-07:00,2023-09-01T07:00:00+00:00,ZP26,532375.81252
2023-09-01T00:00:00-07:00,2023-09-01T07:00:00+00:00,2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,CAISO,3279531.07984
2023-09-01T00:00:00-07:00,2023-09-01T07:00:00+00:00,2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,NP15,438246.68018
2023-09-01T00:00:00-07:00,2023-09-01T07:00:00+00:00,2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,SP15,2395425.2231
2023-09-01T00:00:00-07:00,2023-09-01T07:00:00+00:00,2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,ZP26,445859.176559999
2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,CAISO,2951487.83213
2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,NP15,360429.83684
2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,SP15,2196608.76833
2023-10-01T00:00:00-07:00,2023-10-01T07:00:00+00:00,2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,ZP26,394449.22696
2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,CAISO,2288908.92605
2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,NP15,268046.13468
2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,SP15,1732625.96851
2023-11-01T00:00:00-07:00,2023-11-01T07:00:00+00:00,2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,ZP26,288236.82286
2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,2024-01-01T00:00:00-08:00,2024-01-01T08:00:00+00:00,CAISO,1881639.67267
2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,2024-01-01T00:00:00-08:00,2024-01-01T08:00:00+00:00,NP15,191480.01127
2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,2024-01-01T00:00:00-08:00,2024-01-01T08:00:00+00:00,SP15,1466217.59012
2023-12-01T00:00:00-08:00,2023-12-01T08:00:00+00:00,2024-01-01T00:00:00-08:00,2024-01-01T08:00:00+00:00,ZP26,223942.07128
