interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,nuclear
2023-11-30T19:00:00-05:00,2023-12-01T00:00:00+00:00,2023-11-30T20:00:00-05:00,2023-12-01T01:00:00+00:00,2120.84722222222
2023-11-30T20:00:00-05:00,2023-12-01T01:00:00+00:00,2023-11-30T21:00:00-05:00,2023-12-01T02:00:00+00:00,2120.5
2023-11-30T21:00:00-05:00,2023-12-01T02:00:00+00:00,2023-11-30T22:00:00-05:00,2023-12-01T03:00:00+00:00,2120.25
2023-11-30T22:00:00-05:00,2023-12-01T03:00:00+00:00,2023-11-30T23:00:00-05:00,2023-12-01T04:00:00+00:00,2121.13888888889
2023-11-30T23:00:00-05:00,2023-12-01T04:00:00+00:00,2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2121.64583333333
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2023-12-01T01:00:00-05:00,2023-12-01T06:00:00+00:00,2120.79861111111
2023-12-01T01:00:00-05:00,2023-12-01T06:00:00+00:00,2023-12-01T02:00:00-05:00,2023-12-01T07:00:00+00:00,2121.04166666667
2023-12-01T02:00:00-05:00,2023-12-01T07:00:00+00:00,2023-12-01T03:00:00-05:00,2023-12-01T08:00:00+00:00,2120.95833333333
2023-12-01T03:00:00-05:00,2023-12-01T08:00:00+00:00,2023-12-01T04:00:00-05:00,2023-12-01T09:00:00+00:00,2121.25
2023-12-01T04:00:00-05:00,2023-12-01T09:00:00+00:00,2023-12-01T05:00:00-05:00,2023-12-01T10:00:00+00:00,2121.54166666667
2023-12-01T05:00:00-05:00,2023-12-01T10:00:00+00:00,2023-12-01T06:00:00-05:00,2023-12-01T11:00:00+00:00,2121.25
2023-12-01T06:00:00-05:00,2023-12-01T11:00:00+00:00,2023-12-01T07:00:00-05:00,2023-12-01T12:00:00+00:00,2120.79166666667
2023-12-01T07:00:00-05:00,2023-12-01T12:00:00+00:00,2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,2121.04166666667
2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,2120.625
2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,2121.79166666667
2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,2121.58333333333
2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,2121.54166666667
2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,2121.54166666667
2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,2120.875
2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,2121.58333333333
2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,2122.58333333333
2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,2121.41666666667
2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,2121.0
2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,2120.70833333333
2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,2120.45833333333
2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,2124.625
