interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.solar,btm_solar.btm_solar,load.load
2020-01-01T00:00:00-05:00,2020-01-01T05:00:00+00:00,2021-01-01T00:00:00-05:00,2021-01-01T05:00:00+00:00,359315.789583332,131313.001416667,10356048.06925
2021-01-01T00:00:00-05:00,2021-01-01T05:00:00+00:00,2022-01-01T00:00:00-05:00,2022-01-01T05:00:00+00:00,537445.103472221,4379392.14666112,115080681.877
2022-01-01T00:00:00-05:00,2022-01-01T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,906570.486805556,6133143.38106365,115150976.963846
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,890534.282242064,7568822.66473184,110335191.324785
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2025-01-01T00:00:00-05:00,2025-01-01T05:00:00+00:00,1317890.31795635,9087089.86964397,112330721.580352
