interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp,energy,congestion,loss
2024-05-01T00:00:00-04:00,2024-05-01T04:00:00+00:00,2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,N.Y.C.,27.705,26.1175,0.0,1.5875
2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,2024-07-01T00:00:00-04:00,2024-07-01T04:00:00+00:00,N.Y.C.,35.0865694444444,30.99175,1.353,2.74181944444444
2024-07-01T00:00:00-04:00,2024-07-01T04:00:00+00:00,2024-08-01T00:00:00-04:00,2024-08-01T04:00:00+00:00,N.Y.C.,42.4564381720431,37.0861155913978,1.85564516129032,3.51467741935483
2024-08-01T00:00:00-04:00,2024-08-01T04:00:00+00:00,2024-09-01T00:00:00-04:00,2024-09-01T04:00:00+00:00,N.Y.C.,35.3938243243243,31.8890540540541,0.832283783783784,2.67248648648649
