interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,
2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,
2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,
2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,
2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,
2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,
2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,
2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,153627.0
2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,141176.0
2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,2023-02-23T00:00:00-05:00,2023-02-23T05:00:00+00:00,33931.0
2023-02-23T00:00:00-05:00,2023-02-23T05:00:00+00:00,2023-02-24T00:00:00-05:00,2023-02-24T05:00:00+00:00,94097.0
2023-02-24T00:00:00-05:00,2023-02-24T05:00:00+00:00,2023-02-25T00:00:00-05:00,2023-02-25T05:00:00+00:00,140228.0
2023-02-25T00:00:00-05:00,2023-02-25T05:00:00+00:00,2023-02-26T00:00:00-05:00,2023-02-26T05:00:00+00:00,143898.0
2023-02-26T00:00:00-05:00,2023-02-26T05:00:00+00:00,2023-02-27T00:00:00-05:00,2023-02-27T05:00:00+00:00,185971.0
2023-02-27T00:00:00-05:00,2023-02-27T05:00:00+00:00,2023-02-28T00:00:00-05:00,2023-02-28T05:00:00+00:00,65861.0
2023-02-28T00:00:00-05:00,2023-02-28T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,172685.0
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-03-02T00:00:00-05:00,2023-03-02T05:00:00+00:00,112675.0
2023-03-02T00:00:00-05:00,2023-03-02T05:00:00+00:00,2023-03-03T00:00:00-05:00,2023-03-03T05:00:00+00:00,107734.0
2023-03-03T00:00:00-05:00,2023-03-03T05:00:00+00:00,2023-03-04T00:00:00-05:00,2023-03-04T05:00:00+00:00,83542.0
2023-03-04T00:00:00-05:00,2023-03-04T05:00:00+00:00,2023-03-05T00:00:00-05:00,2023-03-05T05:00:00+00:00,169578.0
2023-03-05T00:00:00-05:00,2023-03-05T05:00:00+00:00,2023-03-06T00:00:00-05:00,2023-03-06T05:00:00+00:00,192301.0
2023-03-06T00:00:00-05:00,2023-03-06T05:00:00+00:00,2023-03-07T00:00:00-05:00,2023-03-07T05:00:00+00:00,101199.0
2023-03-07T00:00:00-05:00,2023-03-07T05:00:00+00:00,2023-03-08T00:00:00-05:00,2023-03-08T05:00:00+00:00,191516.0
2023-03-08T00:00:00-05:00,2023-03-08T05:00:00+00:00,2023-03-09T00:00:00-05:00,2023-03-09T05:00:00+00:00,121203.0
2023-03-09T00:00:00-05:00,2023-03-09T05:00:00+00:00,2023-03-10T00:00:00-05:00,2023-03-10T05:00:00+00:00,78097.0
2023-03-10T00:00:00-05:00,2023-03-10T05:00:00+00:00,2023-03-11T00:00:00-05:00,2023-03-11T05:00:00+00:00,119965.0
2023-03-11T00:00:00-05:00,2023-03-11T05:00:00+00:00,2023-03-12T00:00:00-05:00,2023-03-12T05:00:00+00:00,113810.0
