operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
100.0,0.5,71.5,671.5,0.0,-600.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0
