interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_id,lmp,energy,congestion,loss
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,AEP-DAYTON HUB,34497127.0,51.8243713946078,56.2842156862745,-3.53895994362745,-0.920884348039215
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,AEP GEN HUB,34497125.0,49.360391504902,56.2842156862745,-4.47897962745098,-2.44484455392157
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,ATSI GEN HUB,116013751.0,51.4180119240196,56.2842156862745,-4.08557317156863,-0.780630590686275
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,CHICAGO GEN HUB,33092311.0,49.6666687181373,56.2842156862745,-3.60545928676471,-3.01208768137255
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,CHICAGO HUB,33092313.0,50.4828986323529,56.2842156862745,-3.59902517647059,-2.20229187745098
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,DOMINION HUB,35010337.0,63.8560545441176,56.2842156862745,7.19030750245098,0.381531355392157
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,EASTERN HUB,51217.0,57.7049565588235,56.2842156862745,-0.924215580882355,2.34495645343137
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,NEW JERSEY HUB,4669664.0,55.025375259804,56.2842156862745,-2.4237678995098,1.16492747303922
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,N ILLINOIS HUB,33092315.0,50.1295890882353,56.2842156862745,-3.59403166911765,-2.56059492892157
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,OHIO HUB,34497151.0,52.0437527965686,56.2842156862745,-3.42793891666666,-0.812523973039216
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,WESTERN HUB,51288.0,59.7577260906863,56.2842156862745,3.14237436274509,0.331136041666667
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,WEST INT HUB,51287.0,54.656710622549,56.2842156862745,-0.683710129901961,-0.94379493382353
