interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,28771.9166666667
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,28488.25
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,28074.1666666667
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,27777.4545454545
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,27095.5
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,26788.5
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,26355.4166666667
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,26104.4166666667
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,25931.75
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,25954.6666666667
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,26009.4166666667
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,26291.6666666667
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,26762.5
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,27287.6666666667
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,27606.5833333333
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,27611.6666666667
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,27288.0833333333
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,26894.3333333333
2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,26708.3333333333
2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,26235.5833333333
2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,26014.3333333333
2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,25938.25
2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,26354.75
2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,27731.0833333333
2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,28465.75
2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,28237.5
2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,27916.5833333333
2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,27419.1818181818
2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,26312.0
2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,25871.25
2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,25310.5
2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,24988.6666666667
2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,24866.5833333333
2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,24891.5
2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,25124.5
2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,25645.5
2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,26339.5
2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,27096.5
2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,27807.0
2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,28442.25
2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,29006.9166666667
2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,29227.75
2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,29207.5833333333
2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,29013.3333333333
2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,28856.25
2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,2023-01-02T16:00:00-06:00,2023-01-02T22:00:00+00:00,28818.4
2023-01-02T16:00:00-06:00,2023-01-02T22:00:00+00:00,2023-01-02T17:00:00-06:00,2023-01-02T23:00:00+00:00,29425.3333333333
2023-01-02T17:00:00-06:00,2023-01-02T23:00:00+00:00,2023-01-02T18:00:00-06:00,2023-01-03T00:00:00+00:00,30164.6666666667
