interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2022-12-31T19:00:00-05:00,2023-01-01T00:00:00+00:00,2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,AEP,ZONE,38.975351
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,AEP,ZONE,33.699931
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,AEP,ZONE,31.482629
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,AEP,ZONE,29.768547
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,AEP,ZONE,29.25759
