interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2023-07-02T02:00:00-04:00,2023-07-02T06:00:00+00:00,2023-07-02T03:00:00-04:00,2023-07-02T07:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,26.29,26.95,0.0,-0.66
2023-07-02T03:00:00-04:00,2023-07-02T07:00:00+00:00,2023-07-02T04:00:00-04:00,2023-07-02T08:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,26.32,26.94,0.0,-0.62
2023-07-02T04:00:00-04:00,2023-07-02T08:00:00+00:00,2023-07-02T05:00:00-04:00,2023-07-02T09:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,26.07,26.66,0.0,-0.59
2023-07-02T05:00:00-04:00,2023-07-02T09:00:00+00:00,2023-07-02T06:00:00-04:00,2023-07-02T10:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,25.43,25.98,0.0,-0.55
2023-07-02T06:00:00-04:00,2023-07-02T10:00:00+00:00,2023-07-02T07:00:00-04:00,2023-07-02T11:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,25.36,25.96,0.0,-0.6
2023-07-02T07:00:00-04:00,2023-07-02T11:00:00+00:00,2023-07-02T08:00:00-04:00,2023-07-02T12:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,25.01,25.7,0.0,-0.69
2023-07-02T08:00:00-04:00,2023-07-02T12:00:00+00:00,2023-07-02T09:00:00-04:00,2023-07-02T13:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,29.15,30.0,0.0,-0.85
2023-07-02T09:00:00-04:00,2023-07-02T13:00:00+00:00,2023-07-02T10:00:00-04:00,2023-07-02T14:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.23,31.16,0.0,-0.93
2023-07-02T10:00:00-04:00,2023-07-02T14:00:00+00:00,2023-07-02T11:00:00-04:00,2023-07-02T15:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,32.07,32.97,0.0,-0.9
2023-07-02T11:00:00-04:00,2023-07-02T15:00:00+00:00,2023-07-02T12:00:00-04:00,2023-07-02T16:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,28.76,29.58,0.0,-0.82
2023-07-02T12:00:00-04:00,2023-07-02T16:00:00+00:00,2023-07-02T13:00:00-04:00,2023-07-02T17:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.93,32.63,0.0,-0.7
2023-07-02T13:00:00-04:00,2023-07-02T17:00:00+00:00,2023-07-02T14:00:00-04:00,2023-07-02T18:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.67,31.33,0.0,-0.66
2023-07-02T14:00:00-04:00,2023-07-02T18:00:00+00:00,2023-07-02T15:00:00-04:00,2023-07-02T19:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.28,30.81,0.0,-0.53
2023-07-02T15:00:00-04:00,2023-07-02T19:00:00+00:00,2023-07-02T16:00:00-04:00,2023-07-02T20:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.29,30.87,0.0,-0.58
2023-07-02T16:00:00-04:00,2023-07-02T20:00:00+00:00,2023-07-02T17:00:00-04:00,2023-07-02T21:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.77,32.44,0.0,-0.67
2023-07-02T17:00:00-04:00,2023-07-02T21:00:00+00:00,2023-07-02T18:00:00-04:00,2023-07-02T22:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.33,30.87,0.0,-0.54
2023-07-02T18:00:00-04:00,2023-07-02T22:00:00+00:00,2023-07-02T19:00:00-04:00,2023-07-02T23:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,35.47,36.06,0.0,-0.59
2023-07-02T19:00:00-04:00,2023-07-02T23:00:00+00:00,2023-07-02T20:00:00-04:00,2023-07-03T00:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,35.33,36.01,0.0,-0.68
2023-07-02T20:00:00-04:00,2023-07-03T00:00:00+00:00,2023-07-02T21:00:00-04:00,2023-07-03T01:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,39.34,40.08,0.0,-0.74
2023-07-02T21:00:00-04:00,2023-07-03T01:00:00+00:00,2023-07-02T22:00:00-04:00,2023-07-03T02:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,33.99,34.66,0.0,-0.67
2023-07-02T22:00:00-04:00,2023-07-03T02:00:00+00:00,2023-07-02T23:00:00-04:00,2023-07-03T03:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,33.8,34.64,0.0,-0.84
2023-07-02T23:00:00-04:00,2023-07-03T03:00:00+00:00,2023-07-03T00:00:00-04:00,2023-07-03T04:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,32.16,33.02,0.0,-0.86
2023-07-03T00:00:00-04:00,2023-07-03T04:00:00+00:00,2023-07-03T01:00:00-04:00,2023-07-03T05:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.07,32.04,0.0,-0.97
2023-07-03T01:00:00-04:00,2023-07-03T05:00:00+00:00,2023-07-03T02:00:00-04:00,2023-07-03T06:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.34,32.34,0.0,-1.0
2023-07-03T02:00:00-04:00,2023-07-03T06:00:00+00:00,2023-07-03T03:00:00-04:00,2023-07-03T07:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,33.28,34.3,0.0,-1.02
