interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,28.455123,36.99,-5.985709,-2.549168
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,AEP GEN HUB,34497125,AEP GEN HUB,HUB,27.106977,36.99,-6.615116,-3.267907
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO GEN HUB,33092311,CHICAGO GEN HUB,HUB,27.092895,36.99,-5.634868,-4.262237
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.689671,36.99,-5.586884,-3.713445
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,DOMINION HUB,35010337,DOMINION HUB,HUB,45.151662,36.99,7.523292,0.63837
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,EASTERN HUB,51217,EASTERN HUB,HUB,40.924731,36.99,2.034681,1.90005
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,NEW JERSEY HUB,4669664,NEW JERSEY HUB,HUB,41.695725,36.99,1.35082,3.354905
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,N ILLINOIS HUB,33092315,N ILLINOIS HUB,HUB,27.453564,36.99,-5.58808,-3.948356
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,OHIO HUB,34497151,OHIO HUB,HUB,28.313923,36.99,-6.065879,-2.610198
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,WESTERN HUB,51288,WESTERN HUB,HUB,40.54572,36.99,1.909541,1.646179
2010-01-01T00:00:00-05:00,2010-01-01T05:00:00+00:00,2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,WEST INT HUB,51287,WEST INT HUB,HUB,33.348884,36.99,-2.404449,-1.236667
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,27.414432,35.91,-6.213763,-2.281805
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,AEP GEN HUB,34497125,AEP GEN HUB,HUB,26.077442,35.91,-6.866977,-2.965581
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO GEN HUB,33092311,CHICAGO GEN HUB,HUB,26.455263,35.91,-5.579276,-3.875461
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,26.918702,35.91,-5.626206,-3.365092
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,DOMINION HUB,35010337,DOMINION HUB,HUB,45.188762,35.91,8.560675,0.718087
2010-01-01T01:00:00-05:00,2010-01-01T06:00:00+00:00,2010-01-01T02:00:00-05:00,2010-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,EASTERN HUB,51217,EASTERN HUB,HUB,39.282304,35.91,1.555293,1.817011
