interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.wind
2022-12-31T00:00:00-05:00,2022-12-31T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,8554.26666666667
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,5660.08333333333
2023-01-02T00:00:00-05:00,2023-01-02T05:00:00+00:00,2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,7146.29513888889
2023-01-03T00:00:00-05:00,2023-01-03T05:00:00+00:00,2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,13123.9930555556
2023-01-04T00:00:00-05:00,2023-01-04T05:00:00+00:00,2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,11493.0416666667
2023-01-05T00:00:00-05:00,2023-01-05T05:00:00+00:00,2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,11368.7708333333
2023-01-06T00:00:00-05:00,2023-01-06T05:00:00+00:00,2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2777.02777777778
2023-01-07T00:00:00-05:00,2023-01-07T05:00:00+00:00,2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,3600.76041666667
2023-01-08T00:00:00-05:00,2023-01-08T05:00:00+00:00,2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,6782.21527777778
2023-01-09T00:00:00-05:00,2023-01-09T05:00:00+00:00,2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,14677.5972222222
2023-01-10T00:00:00-05:00,2023-01-10T05:00:00+00:00,2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,5333.53125
2023-01-11T00:00:00-05:00,2023-01-11T05:00:00+00:00,2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,7866.20486111111
2023-01-12T00:00:00-05:00,2023-01-12T05:00:00+00:00,2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,18177.4618055556
2023-01-13T00:00:00-05:00,2023-01-13T05:00:00+00:00,2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,10299.8576388889
2023-01-14T00:00:00-05:00,2023-01-14T05:00:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,15212.1180555556
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,17509.3112373737
2023-01-16T00:00:00-05:00,2023-01-16T05:00:00+00:00,2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,15789.8680555556
2023-01-17T00:00:00-05:00,2023-01-17T05:00:00+00:00,2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,13440.1875
2023-01-18T00:00:00-05:00,2023-01-18T05:00:00+00:00,2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,7737.43055555556
2023-01-19T00:00:00-05:00,2023-01-19T05:00:00+00:00,2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,13047.8194444444
2023-01-20T00:00:00-05:00,2023-01-20T05:00:00+00:00,2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,7206.42708333333
2023-01-21T00:00:00-05:00,2023-01-21T05:00:00+00:00,2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,1881.62847222222
2023-01-22T00:00:00-05:00,2023-01-22T05:00:00+00:00,2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,1724.54166666667
2023-01-23T00:00:00-05:00,2023-01-23T05:00:00+00:00,2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,11110.7269570707
2023-01-24T00:00:00-05:00,2023-01-24T05:00:00+00:00,2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,7695.21875
2023-01-25T00:00:00-05:00,2023-01-25T05:00:00+00:00,2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,14238.3958333333
2023-01-26T00:00:00-05:00,2023-01-26T05:00:00+00:00,2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,15055.4270833333
2023-01-27T00:00:00-05:00,2023-01-27T05:00:00+00:00,2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,18746.8333333333
2023-01-28T00:00:00-05:00,2023-01-28T05:00:00+00:00,2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,14017.2708333333
2023-01-29T00:00:00-05:00,2023-01-29T05:00:00+00:00,2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,12913.1944444444
2023-01-30T00:00:00-05:00,2023-01-30T05:00:00+00:00,2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,9598.46180555555
2023-01-31T00:00:00-05:00,2023-01-31T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,12003.9097222222
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,13051.8705808081
2023-02-02T00:00:00-05:00,2023-02-02T05:00:00+00:00,2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,
2023-02-03T00:00:00-05:00,2023-02-03T05:00:00+00:00,2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,
2023-02-04T00:00:00-05:00,2023-02-04T05:00:00+00:00,2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,
2023-02-05T00:00:00-05:00,2023-02-05T05:00:00+00:00,2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,
2023-02-06T00:00:00-05:00,2023-02-06T05:00:00+00:00,2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,
2023-02-07T00:00:00-05:00,2023-02-07T05:00:00+00:00,2023-02-08T00:00:00-05:00,2023-02-08T05:00:00+00:00,
2023-02-08T00:00:00-05:00,2023-02-08T05:00:00+00:00,2023-02-09T00:00:00-05:00,2023-02-09T05:00:00+00:00,
2023-02-09T00:00:00-05:00,2023-02-09T05:00:00+00:00,2023-02-10T00:00:00-05:00,2023-02-10T05:00:00+00:00,
2023-02-10T00:00:00-05:00,2023-02-10T05:00:00+00:00,2023-02-11T00:00:00-05:00,2023-02-11T05:00:00+00:00,
2023-02-11T00:00:00-05:00,2023-02-11T05:00:00+00:00,2023-02-12T00:00:00-05:00,2023-02-12T05:00:00+00:00,
2023-02-12T00:00:00-05:00,2023-02-12T05:00:00+00:00,2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,
2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,
2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,
2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,
2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,
2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,
