interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,nuclear
2023-12-02T09:00:00-05:00,2023-12-02T14:00:00+00:00,2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,2562.70833333333
2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,2569.83333333333
2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,2582.4375
2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,2637.60416666667
2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,2653.91666666667
2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,2666.22222222222
2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,2660.77777777778
2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,2677.20833333333
2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,2688.34722222222
2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,2023-12-02T19:00:00-05:00,2023-12-03T00:00:00+00:00,2685.81944444444
