interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,rto
2022-12-01T00:00:00-05:00,2022-12-01T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,25801.092
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2912685.32
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,3440072.794
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,3573420.51
2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,2797678.99300001
2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2062019.25
2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,1658790.31
2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,998277.221999999
2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,1427666.022
2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,1276281.5
2023-10-01T00:00:00-04:00,2023-10-01T04:00:00+00:00,2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,2666252.207
2023-11-01T00:00:00-04:00,2023-11-01T04:00:00+00:00,2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,3145710.963
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2893161.003
