interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,SPPSOUTH_HUB,Hub
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,SPPSOUTH_HUB,Hub
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,SPPSOUTH_HUB,Hub
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,SPPSOUTH_HUB,Hub
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,SPPSOUTH_HUB,Hub
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,SPPNORTH_HUB,Hub
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,SPPSOUTH_HUB,Hub
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,SPPNORTH_HUB,Hub
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,SPPSOUTH_HUB,Hub
