interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,27.3803,25.8619,0.5945,0.9239
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.5175,25.862,-0.2834,-1.0611
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.7035,22.7141,-0.7067,0.6961
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,22.8004,22.7142,0.9444,-0.8582
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,21.4782,21.5111,-0.5574,0.5245
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.1518,21.5112,0.3018,-0.6612
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.5295,20.4718,-0.4484,0.5061
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,19.3341,20.4718,-0.4968,-0.6409
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.6436,22.2733,-0.4037,0.774
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,17.7257,22.2733,-3.7075,-0.8401
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,18.8836,19.5304,-1.1726,0.5258
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,17.5236,19.5304,-1.3057,-0.7011
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,23.0874,21.878,0.4732,0.7362
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.3946,21.878,3.0202,-0.5036
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.836,19.7634,0.3631,0.7095
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.5156,19.7633,1.3484,-0.5961
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.352,21.2459,0.3089,0.7972
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.3502,21.246,0.8121,-0.7079
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,21.4418,20.6537,0.0342,0.7539
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.188,20.6537,0.3085,-0.7742
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.051,21.4173,0.0069,0.6268
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.5704,21.4173,-0.1053,-0.7416
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,21.6856,20.8662,0.2539,0.5655
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,20.1827,20.8663,-0.0013,-0.6823
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.9405,22.2581,0.2173,0.4651
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.5462,22.2581,-0.1087,-0.6032
