interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,market,spp
2024-06-02T01:00:00-05:00,2024-06-02T06:00:00+00:00,2024-06-02T02:00:00-05:00,2024-06-02T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.87
2024-06-02T02:00:00-05:00,2024-06-02T07:00:00+00:00,2024-06-02T03:00:00-05:00,2024-06-02T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.24
2024-06-02T03:00:00-05:00,2024-06-02T08:00:00+00:00,2024-06-02T04:00:00-05:00,2024-06-02T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,12.75
2024-06-02T04:00:00-05:00,2024-06-02T09:00:00+00:00,2024-06-02T05:00:00-05:00,2024-06-02T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.48
2024-06-02T05:00:00-05:00,2024-06-02T10:00:00+00:00,2024-06-02T06:00:00-05:00,2024-06-02T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,14.94
2024-06-02T06:00:00-05:00,2024-06-02T11:00:00+00:00,2024-06-02T07:00:00-05:00,2024-06-02T12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.16
2024-06-02T07:00:00-05:00,2024-06-02T12:00:00+00:00,2024-06-02T08:00:00-05:00,2024-06-02T13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,12.54
2024-06-02T08:00:00-05:00,2024-06-02T13:00:00+00:00,2024-06-02T09:00:00-05:00,2024-06-02T14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,10.02
2024-06-02T09:00:00-05:00,2024-06-02T14:00:00+00:00,2024-06-02T10:00:00-05:00,2024-06-02T15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,10.49
2024-06-02T10:00:00-05:00,2024-06-02T15:00:00+00:00,2024-06-02T11:00:00-05:00,2024-06-02T16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.26
2024-06-02T11:00:00-05:00,2024-06-02T16:00:00+00:00,2024-06-02T12:00:00-05:00,2024-06-02T17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.08
2024-06-02T12:00:00-05:00,2024-06-02T17:00:00+00:00,2024-06-02T13:00:00-05:00,2024-06-02T18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.79
2024-06-02T13:00:00-05:00,2024-06-02T18:00:00+00:00,2024-06-02T14:00:00-05:00,2024-06-02T19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,29.83
2024-06-02T14:00:00-05:00,2024-06-02T19:00:00+00:00,2024-06-02T15:00:00-05:00,2024-06-02T20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,30.64
2024-06-02T15:00:00-05:00,2024-06-02T20:00:00+00:00,2024-06-02T16:00:00-05:00,2024-06-02T21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,34.63
2024-06-02T16:00:00-05:00,2024-06-02T21:00:00+00:00,2024-06-02T17:00:00-05:00,2024-06-02T22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,36.97
2024-06-02T17:00:00-05:00,2024-06-02T22:00:00+00:00,2024-06-02T18:00:00-05:00,2024-06-02T23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,33.02
2024-06-02T18:00:00-05:00,2024-06-02T23:00:00+00:00,2024-06-02T19:00:00-05:00,2024-06-03T00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,32.71
2024-06-02T19:00:00-05:00,2024-06-03T00:00:00+00:00,2024-06-02T20:00:00-05:00,2024-06-03T01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,40.82
2024-06-02T20:00:00-05:00,2024-06-03T01:00:00+00:00,2024-06-02T21:00:00-05:00,2024-06-03T02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,37.8
2024-06-02T21:00:00-05:00,2024-06-03T02:00:00+00:00,2024-06-02T22:00:00-05:00,2024-06-03T03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,25.82
2024-06-02T22:00:00-05:00,2024-06-03T03:00:00+00:00,2024-06-02T23:00:00-05:00,2024-06-03T04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.75
2024-06-02T23:00:00-05:00,2024-06-03T04:00:00+00:00,2024-06-03T00:00:00-05:00,2024-06-03T05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.64
2024-06-03T00:00:00-05:00,2024-06-03T05:00:00+00:00,2024-06-03T01:00:00-05:00,2024-06-03T06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.18
2024-06-03T01:00:00-05:00,2024-06-03T06:00:00+00:00,2024-06-03T02:00:00-05:00,2024-06-03T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.28
2024-06-03T02:00:00-05:00,2024-06-03T07:00:00+00:00,2024-06-03T03:00:00-05:00,2024-06-03T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,11.32
2024-06-03T03:00:00-05:00,2024-06-03T08:00:00+00:00,2024-06-03T04:00:00-05:00,2024-06-03T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,10.42
2024-06-03T04:00:00-05:00,2024-06-03T09:00:00+00:00,2024-06-03T05:00:00-05:00,2024-06-03T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,10.43
2024-06-03T05:00:00-05:00,2024-06-03T10:00:00+00:00,2024-06-03T06:00:00-05:00,2024-06-03T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,12.42
2024-06-03T06:00:00-05:00,2024-06-03T11:00:00+00:00,2024-06-03T07:00:00-05:00,2024-06-03T12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,12.17
2024-06-03T07:00:00-05:00,2024-06-03T12:00:00+00:00,2024-06-03T08:00:00-05:00,2024-06-03T13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,11.11
2024-06-03T08:00:00-05:00,2024-06-03T13:00:00+00:00,2024-06-03T09:00:00-05:00,2024-06-03T14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,9.41
