interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CROSSROADS3
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CROSSROADS4
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CRTH_SPA
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWARSENALHILL5
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWCOMANCHE1
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWETTURK
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWFLINTCREEK1
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWJLSTALL
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWKNOXLEE5
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWLIEBERMAN3
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWLIEBERMAN4
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWMATTISON1
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWMATTISON2
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWMATTISON3
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,CSWMATTISON4
