timestamp,value
1325376000000,{'electricity': 0.744}
1325379600000,{'electricity': 0.819}
1325383200000,{'electricity': 0.951}
1325386800000,{'electricity': 0.988}
1325390400000,{'electricity': 0.984}
1325394000000,{'electricity': 0.966}
1325397600000,{'electricity': 0.959}
1325401200000,{'electricity': 0.91}
1325404800000,{'electricity': 0.822}
1325408400000,{'electricity': 0.678}
1325412000000,{'electricity': 0.521}
1325415600000,{'electricity': 0.486}
1325419200000,{'electricity': 0.498}
1325422800000,{'electricity': 0.529}
1325426400000,{'electricity': 0.4}
1325430000000,{'electricity': 0.243}
1325433600000,{'electricity': 0.335}
1325437200000,{'electricity': 0.238}
1325440800000,{'electricity': 0.155}
1325444400000,{'electricity': 0.115}
1325448000000,{'electricity': 0.105}
1325451600000,{'electricity': 0.12}
1325455200000,{'electricity': 0.139}
1325458800000,{'electricity': 0.184}
1325462400000,{'electricity': 0.22}
1325466000000,{'electricity': 0.234}
1325469600000,{'electricity': 0.245}
1325473200000,{'electricity': 0.244}
1325476800000,{'electricity': 0.214}
1325480400000,{'electricity': 0.158}
1325484000000,{'electricity': 0.11}
1325487600000,{'electricity': 0.067}
1325491200000,{'electricity': 0.028}
1325494800000,{'electricity': 0.019}
1325498400000,{'electricity': 0.049}
1325502000000,{'electricity': 0.154}
1325505600000,{'electricity': 0.286}
1325509200000,{'electricity': 0.352}
1325512800000,{'electricity': 0.266}
1325516400000,{'electricity': 0.102}
1325520000000,{'electricity': 0.079}
1325523600000,{'electricity': 0.013}
1325527200000,{'electricity': 0.0}
1325530800000,{'electricity': 0.0}
1325534400000,{'electricity': 0.001}
1325538000000,{'electricity': 0.002}
1325541600000,{'electricity': 0.001}
1325545200000,{'electricity': 0.0}
1325548800000,{'electricity': 0.0}
1325552400000,{'electricity': 0.001}
1325556000000,{'electricity': 0.021}
1325559600000,{'electricity': 0.093}
1325563200000,{'electricity': 0.218}
1325566800000,{'electricity': 0.364}
1325570400000,{'electricity': 0.491}
1325574000000,{'electricity': 0.571}
1325577600000,{'electricity': 0.599}
1325581200000,{'electricity': 0.593}
1325584800000,{'electricity': 0.583}
1325588400000,{'electricity': 0.586}
1325592000000,{'electricity': 0.605}
1325595600000,{'electricity': 0.631}
1325599200000,{'electricity': 0.51}
1325602800000,{'electricity': 0.261}
1325606400000,{'electricity': 0.427}
1325610000000,{'electricity': 0.788}
1325613600000,{'electricity': 0.818}
1325617200000,{'electricity': 0.82}
1325620800000,{'electricity': 0.822}
1325624400000,{'electricity': 0.823}
1325628000000,{'electricity': 0.797}
1325631600000,{'electricity': 0.847}
1325635200000,{'electricity': 0.907}
1325638800000,{'electricity': 0.901}
1325642400000,{'electricity': 0.874}
1325646000000,{'electricity': 0.86}
1325649600000,{'electricity': 0.855}
1325653200000,{'electricity': 0.855}
1325656800000,{'electricity': 0.847}
1325660400000,{'electricity': 0.811}
1325664000000,{'electricity': 0.746}
1325667600000,{'electricity': 0.649}
1325671200000,{'electricity': 0.497}
1325674800000,{'electricity': 0.325}
1325678400000,{'electricity': 0.358}
1325682000000,{'electricity': 0.55}
1325685600000,{'electricity': 0.602}
1325689200000,{'electricity': 0.65}
1325692800000,{'electricity': 0.895}
1325696400000,{'electricity': 0.906}
1325700000000,{'electricity': 0.872}
1325703600000,{'electricity': 0.817}
1325707200000,{'electricity': 0.742}
1325710800000,{'electricity': 0.663}
1325714400000,{'electricity': 0.55}
1325718000000,{'electricity': 0.516}
1325721600000,{'electricity': 0.494}
1325725200000,{'electricity': 0.41}
1325728800000,{'electricity': 0.284}
1325732400000,{'electricity': 0.145}
1325736000000,{'electricity': 0.041}
1325739600000,{'electricity': 0.002}
1325743200000,{'electricity': 0.0}
1325746800000,{'electricity': 0.0}
1325750400000,{'electricity': 0.015}
1325754000000,{'electricity': 0.061}
1325757600000,{'electricity': 0.106}
1325761200000,{'electricity': 0.144}
1325764800000,{'electricity': 0.186}
1325768400000,{'electricity': 0.234}
1325772000000,{'electricity': 0.311}
1325775600000,{'electricity': 0.198}
1325779200000,{'electricity': 0.137}
1325782800000,{'electricity': 0.256}
1325786400000,{'electricity': 0.287}
1325790000000,{'electricity': 0.305}
1325793600000,{'electricity': 0.294}
1325797200000,{'electricity': 0.259}
1325800800000,{'electricity': 0.223}
1325804400000,{'electricity': 0.276}
1325808000000,{'electricity': 0.424}
1325811600000,{'electricity': 0.613}
1325815200000,{'electricity': 0.747}
1325818800000,{'electricity': 0.806}
1325822400000,{'electricity': 0.82}
1325826000000,{'electricity': 0.818}
1325829600000,{'electricity': 0.808}
1325833200000,{'electricity': 0.79}
1325836800000,{'electricity': 0.765}
1325840400000,{'electricity': 0.762}
1325844000000,{'electricity': 0.767}
1325847600000,{'electricity': 0.777}
1325851200000,{'electricity': 0.786}
1325854800000,{'electricity': 0.791}
1325858400000,{'electricity': 0.707}
1325862000000,{'electricity': 0.491}
1325865600000,{'electricity': 0.425}
1325869200000,{'electricity': 0.722}
1325872800000,{'electricity': 0.865}
1325876400000,{'electricity': 0.866}
1325880000000,{'electricity': 0.835}
1325883600000,{'electricity': 0.781}
1325887200000,{'electricity': 0.679}
1325890800000,{'electricity': 0.653}
1325894400000,{'electricity': 0.519}
1325898000000,{'electricity': 0.394}
1325901600000,{'electricity': 0.64}
1325905200000,{'electricity': 0.844}
1325908800000,{'electricity': 0.864}
1325912400000,{'electricity': 0.853}
1325916000000,{'electricity': 0.829}
1325919600000,{'electricity': 0.793}
1325923200000,{'electricity': 0.759}
1325926800000,{'electricity': 0.727}
1325930400000,{'electricity': 0.71}
1325934000000,{'electricity': 0.69}
1325937600000,{'electricity': 0.661}
1325941200000,{'electricity': 0.635}
1325944800000,{'electricity': 0.481}
1325948400000,{'electricity': 0.454}
1325952000000,{'electricity': 0.319}
1325955600000,{'electricity': 0.152}
1325959200000,{'electricity': 0.049}
1325962800000,{'electricity': 0.008}
1325966400000,{'electricity': 0.002}
1325970000000,{'electricity': 0.001}
1325973600000,{'electricity': 0.0}
1325977200000,{'electricity': 0.0}
1325980800000,{'electricity': 0.002}
1325984400000,{'electricity': 0.021}
1325988000000,{'electricity': 0.071}
1325991600000,{'electricity': 0.141}
1325995200000,{'electricity': 0.166}
1325998800000,{'electricity': 0.134}
1326002400000,{'electricity': 0.092}
1326006000000,{'electricity': 0.062}
1326009600000,{'electricity': 0.036}
1326013200000,{'electricity': 0.013}
1326016800000,{'electricity': 0.003}
1326020400000,{'electricity': 0.004}
1326024000000,{'electricity': 0.033}
1326027600000,{'electricity': 0.134}
1326031200000,{'electricity': 0.163}
1326034800000,{'electricity': 0.09}
1326038400000,{'electricity': 0.105}
1326042000000,{'electricity': 0.135}
1326045600000,{'electricity': 0.147}
1326049200000,{'electricity': 0.161}
1326052800000,{'electricity': 0.196}
1326056400000,{'electricity': 0.264}
1326060000000,{'electricity': 0.368}
1326063600000,{'electricity': 0.47}
1326067200000,{'electricity': 0.566}
1326070800000,{'electricity': 0.56}
1326074400000,{'electricity': 0.528}
1326078000000,{'electricity': 0.501}
1326081600000,{'electricity': 0.502}
1326085200000,{'electricity': 0.488}
1326088800000,{'electricity': 0.573}
1326092400000,{'electricity': 0.466}
1326096000000,{'electricity': 0.436}
1326099600000,{'electricity': 0.58}
1326103200000,{'electricity': 0.626}
1326106800000,{'electricity': 0.645}
1326110400000,{'electricity': 0.746}
1326114000000,{'electricity': 0.74}
1326117600000,{'electricity': 0.695}
1326121200000,{'electricity': 0.786}
1326124800000,{'electricity': 0.827}
1326128400000,{'electricity': 0.792}
1326132000000,{'electricity': 0.799}
1326135600000,{'electricity': 0.714}
1326139200000,{'electricity': 0.516}
1326142800000,{'electricity': 0.341}
1326146400000,{'electricity': 0.234}
1326150000000,{'electricity': 0.209}
1326153600000,{'electricity': 0.214}
