interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,MILLWD,Zone,56.45
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,NORTH,Zone,40.08
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,NPX,Zone,56.97
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,N.Y.C.,Zone,57.25
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,O H,Zone,42.71
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,PJM,Zone,50.22
2022-07-01T02:00:00-04:00,2022-07-01T06:00:00+00:00,2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,WEST,Zone,43.22
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,CAPITL,Zone,57.92
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,CENTRL,Zone,39.45
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,DUNWOD,Zone,53.92
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,GENESE,Zone,38.55
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,H Q,Zone,35.68
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,HUD VL,Zone,53.14
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,LONGIL,Zone,53.93
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,MHK VL,Zone,39.69
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,MILLWD,Zone,53.72
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,NORTH,Zone,35.2
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,NPX,Zone,55.05
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,N.Y.C.,Zone,54.37
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,O H,Zone,38.05
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,PJM,Zone,46.63
2022-07-01T03:00:00-04:00,2022-07-01T07:00:00+00:00,2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,WEST,Zone,38.55
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,CAPITL,Zone,57.27
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,CENTRL,Zone,40.05
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,DUNWOD,Zone,53.72
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,GENESE,Zone,39.18
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,H Q,Zone,36.43
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,HUD VL,Zone,52.95
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,LONGIL,Zone,53.88
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,MHK VL,Zone,40.33
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,MILLWD,Zone,53.47
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,NORTH,Zone,35.9
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,NPX,Zone,54.61
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,N.Y.C.,Zone,54.14
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,O H,Zone,38.63
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,PJM,Zone,46.76
2022-07-01T04:00:00-04:00,2022-07-01T08:00:00+00:00,2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,WEST,Zone,39.09
2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,CAPITL,Zone,56.71
2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,CENTRL,Zone,41.77
2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,DUNWOD,Zone,53.96
2022-07-01T05:00:00-04:00,2022-07-01T09:00:00+00:00,2022-07-01T06:00:00-04:00,2022-07-01T10:00:00+00:00,GENESE,Zone,40.95
