title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
"Answer of BII BID Solar II Aggregator LP Requesting that the Commission Reject the 12/10/2025 Comments of the Independent Market Monitor for PJM Interconnection, L.L.C. and Expeditiously Approve the Proposed Transaction under EC26-31.",12/12/2025,['EC26-31-000'],Submittal,['Electric'],,"[{'file_name': 'EC26-31 Answer FINAL.pdf', 'file_desc': 'Answer', 'file_size': 225831, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B15E4B18-8AC3-CD82-9FCE-9B147B200000'}]","['AUTHOR: BII BID Solar II Aggregator LP', 'AGENT: Rock Creek Energy Group, LLP', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Paige Lambermont of the Competitive Enterprise Institute on the Advance Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'CEI CRE Reply Comment.pdf', 'file_desc': 'Reply Comments of Paige Lambermont of the Competitive Enterprise Institute', 'file_size': 236481, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=E7234C78-4F4C-C492-9D30-9AF001D00000'}]","['AUTHOR: COMPETITIVE ENTERPRISE INSTITUTE', 'AGENT: COMPETITIVE ENTERPRISE INSTITUTE', 'RECIPIENT: Office of the Secretary, FERC']"
"PJM Interconnection, L.L.C. submits request to update the service list under EL26-30 et al.",12/29/2025,"['RM26-4-000', 'EL25-49-001', 'EL25-20-000', 'EL26-30-000', 'EL25-49-000', 'AD24-11-000']",Submittal,['Electric'],,"[{'file_name': '20251229 Request to Update Service List AHelfer.pdf', 'file_desc': 'PJM Request to Update Service Lists', 'file_size': 133968, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BF17ACCB-E799-CCF5-968F-9B6B18500000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: PJM Interconnection, L.L.C.', 'AGENT: PJM Interconnection, L.L.C.']"
"Motion for Leave to Answer and Answer of Enchanted Rock, LLC in response to Southwest Power Pool, Inc.'s 12/04/2025 Motion filed under ER26-247.",12/10/2025,['ER26-247-000'],Submittal,['Electric'],,"[{'file_name': 'Motion for Leave to Answer and Answer of Enchanted Rock, LLC (ER26-247) (12.10.25).pdf', 'file_desc': 'Motion for Leave to Answer and Answer', 'file_size': 12698, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=921E4E0D-E0F7-C0E9-990B-9B0979A00000'}]","['AGENT: Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.', 'RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: Enchanted Rock, LLC', 'AUTHOR: Enchanted Rock, LLC', 'AGENT: Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.']"
"Motion for Leave to Answer and Limited Answer of the Southwest Power Pool Transmission Owner Group in response to comments of Eolian L.P. and Enchanted Rock, LLC under ER26-247.",12/02/2025,['ER26-247-000'],Submittal,['Electric'],,"[{'file_name': 'ER26-247 20251202 HILL Limited Answer of SPP TO Group.pdf', 'file_desc': 'SPP TO Group Answer to Comments', 'file_size': 215691, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=FB12825C-63DD-C443-9D0A-9AE021200000'}]","['AUTHOR: Southwest Power Pool Transmission Owner Group', 'AGENT: Hunton Andrews Kurth LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"PJM Interconnection, L.L.C. submits tariff filing per 35.13(a)(2)(iii: Order Nos. 1920, 1920-A, 1920-B Compliance Filing to be effective 12/31/9998 under ER26-751 Filing Type : 10",12/12/2025,['ER26-751-000'],Submittal,['Electric'],,"[{'file_name': 'PJM Order 1920 Compliance (Transmittal Letter).pdf', 'file_desc': 'Transmittal Letter', 'file_size': 1418433, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=AB593D1B-A946-C9AC-9E13-9B1482100000'}, {'file_name': 'Attachment A (clean).pdf', 'file_desc': 'Attachment A', 'file_size': 294565, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=82D587A7-650C-C216-A434-9B1482100000'}, {'file_name': 'Attachment B (marked).pdf', 'file_desc': 'Attachment B', 'file_size': 459998, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=698F2ACB-AA5D-C4DC-AC7C-9B1482100000'}, {'file_name': 'Attachment C (clean).pdf', 'file_desc': 'Attachment C', 'file_size': 454339, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=64F68B7D-D2C8-CC8C-B506-9B1482100000'}, {'file_name': 'Attachment D (Abdulsalam Declaration).pdf', 'file_desc': 'Attachment D', 'file_size': 1651972, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BDD20713-EB0C-CA8C-BEF1-9B1482100000'}, {'file_name': 'FERC GENERATED TARIFF FILING.PDF', 'file_desc': 'FERC GENERATED TARIFF FILING', 'file_size': 3501758, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6AB7A81C-54BD-C8C0-8B13-9B1482200000'}]","['AUTHOR: PJM Interconnection, L.L.C.', 'AGENT: Wright & Talisman, PC', 'RECIPIENT: Office of the Secretary, FERC']"
Application for Authorization Under Section 203 of the Federal Power Act of Wisconsin Electric Power Company under EC26-35.,12/05/2025,['EC26-35-000'],Submittal,['Electric'],,"[{'file_name': 'WEPCO (Weston 4) -  203 Application.pdf', 'file_desc': 'Application for Authorization Under Section 203 of the Federal Power Act', 'file_size': 2518314, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A66911B1-7CFB-C5E3-9E6E-9AFF49500000'}, {'file_name': '20171117-5087_Public Version - 2017 SIL Report.PDF', 'file_desc': 'No description given', 'file_size': 186731, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=426500CD-BEEE-C71E-B1EA-9AFF49800000'}, {'file_name': 'data definitions.pdf', 'file_desc': 'No description given', 'file_size': 286368, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=9B89EA58-6541-C468-A753-9AFF4A000000'}, {'file_name': 'PJM_oatt.pdf', 'file_desc': 'No description given', 'file_size': 60889128, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=4E64C849-7B18-CABE-9A80-9AFF4A300000'}, {'file_name': 'prices_MISO.pdf', 'file_desc': 'No description given', 'file_size': 12286, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B009BA53-206F-C740-A296-9AFF4A300000'}]","['AUTHOR: Wisconsin Electric Power Company', 'AGENT: Troutman Pepper Locke LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"Protest of Maryland Office of People's Counsel re PJM Interconnection, L.L.C.'s Sixth Periodic Review of the Variable Resource Requirement Curve Shape and Key Parameters under ER26-455.",12/08/2025,['ER26-455-000'],Submittal,['Electric'],,"[{'file_name': 'OPC ER26-455 VRR Curve Comments Final.pdf', 'file_desc': ""Protest of the Maryland Office of People's Counsel of PJM’s Sixth Periodic Review of the VRR curve"", 'file_size': 326360, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=C252F8F9-1E64-CA6B-9C13-9AFFF5300000'}, {'file_name': 'VRR Affidavit_2025-12-08V3Clean.pdf', 'file_desc': 'Supporting affidavit of Mario S. DePillis Jr.', 'file_size': 692668, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=05D07195-ACF1-C1DA-A75D-9AFFF5300000'}]","[""AUTHOR: Maryland Office of People's Counsel"", 'RECIPIENT: Office of the Secretary, FERC']"
"Midcontinent Independent System Operator, Inc. submits tariff filing per 35.13(a)(2)(iii: 2025-12-05_Att X - Improvements and Clarification filing to be effective 2/4/2026 under ER26-677 Filing Type : 10",12/05/2025,['ER26-677-000'],Submittal,['Electric'],,"[{'file_name': 'Transmittal Letter-Att X Improvements and Clarification.pdf', 'file_desc': 'Transmittal Letter', 'file_size': 350926, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=9D0ADCE2-988F-C693-9D8C-9AF04D800000'}, {'file_name': 'Tab A-Redline Tariff Sheets.pdf', 'file_desc': 'Tab A-Redline Tariff Sheets', 'file_size': 1289481, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=4A002C04-CEE9-CCEA-A7B1-9AF04D800000'}, {'file_name': 'Tab B-Clean Tariff Sheets.pdf', 'file_desc': 'Tab B-Clean Tariff Sheets', 'file_size': 1282760, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=47472E12-5F68-C2DE-AFB4-9AF04D800000'}, {'file_name': 'FERC GENERATED TARIFF FILING.PDF', 'file_desc': 'FERC GENERATED TARIFF FILING', 'file_size': 2255829, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=DB8753B1-A67C-C0A6-84BA-9AF04D900000'}]","['AUTHOR: Midcontinent Independent System Operator, Inc.', 'AGENT: Midcontinent Independent System Operator, Inc.', 'RECIPIENT: Office of the Secretary, FERC']"
"Motion for Leave to Answer and Answer of Southwest Power Pool, Inc. to the comments and conditional protest under ER26-414.",12/09/2025,['ER26-414-000'],Submittal,['Electric'],,"[{'file_name': 'SPP Answer CPP ER26-414.pdf', 'file_desc': 'Motion for Leave to Answer and Answer of Southwest Power Pool, Inc.', 'file_size': 323914, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A8BFE57D-71B3-C5EA-A628-9B050D400000'}]","['AUTHOR: Southwest Power Pool, Inc.', 'AGENT: Wright & Talisman, PC', 'AUTHOR: Southwest Power Pool, Inc.', 'AGENT: Wright & Talisman P.C.', 'RECIPIENT: Office of the Secretary, FERC']"
