operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
0.0,0.5,664.5,664.5,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-77.7778,0.675,-2246.9998,-0.0,-302.5555,-1944.4443
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0002,-0.0,-0.0,-0.0002
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
-0.0,0.675,-0.0,0.0,-0.0,-0.0
-0.0,0.675,0.0,0.0,-0.0,0.0
