interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ARTHUR_KILL_3,Generator,31.82,29.990000000000002,-0.0,1.83
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ARTHUR_KILL_COGEN,Generator,31.75,29.99,-0.01,1.77
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ARTHUR KILL_GT_1,Generator,31.75,29.99,-0.01,1.77
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASHOKAN____,Generator,31.88,29.99,-0.0,1.89
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,AST_ENERGY_2_CC3,Generator,31.85,29.990000000000002,-0.0,1.86
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,AST_ENERGY_2_CC4,Generator,31.85,29.990000000000002,-0.0,1.86
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA___2,Generator,32.09,29.990000000000002,-0.0,2.1
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA___3,Generator,31.94,29.990000000000002,-0.0,1.95
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA___4,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA___5,Generator,31.94,29.990000000000002,-0.0,1.95
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_EAST_ENERGY_CC1,Generator,32.06,29.990000000000002,-0.0,2.07
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_EAST_ENERGY_CC2,Generator,32.06,29.990000000000002,-0.0,2.07
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT_1,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT_10,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT_11,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT_12,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT_13,Generator,32.12,29.99,-0.0,2.13
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT2_1,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT2_2,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT2_3,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT2_4,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT3_1,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT3_2,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT3_3,Generator,32.24,29.990000000000002,-0.0,2.25
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,ASTORIA_GT3_4,Generator,32.24,29.990000000000002,-0.0,2.25
