interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,mkt_region,zone,load_area,mw
2022-12-31T19:00:00-05:00,2023-01-01T00:00:00+00:00,2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,MIDATL,AE,AECO,1097.759
2022-12-31T19:00:00-05:00,2023-01-01T00:00:00+00:00,2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,MIDATL,AE,VMEU,75.26
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,AE,AECO,1055.584
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,AE,VMEU,73.172
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,AE,AECO,1015.435
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,AE,VMEU,70.739
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,AE,AECO,975.766
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,AE,VMEU,67.997
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,AE,AECO,925.102
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,AE,VMEU,66.185
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,AE,AECO,872.8
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,AE,VMEU,63.856
2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,MIDATL,AE,AECO,837.773
2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,MIDATL,AE,VMEU,62.807
2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,2023-01-01T03:00:00-05:00,2023-01-01T08:00:00+00:00,MIDATL,AE,AECO,806.782
2023-01-01T02:00:00-05:00,2023-01-01T07:00:00+00:00,2023-01-01T03:00:00-05:00,2023-01-01T08:00:00+00:00,MIDATL,AE,VMEU,60.962
