interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reserve_zone_id,reserve_zone_name,ten_min_spin_requirement,tmnsr_clearing_price,tmnsr_designated_mw,tmor_clearing_price,tmor_designated_mw,tmsr_clearing_price,tmsr_designated_mw,total_10_min_requirement,total_30_min_requirement
2022-06-01T01:00:00-04:00,2022-06-01T05:00:00+00:00,2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,7001,SWCT,0.0,0.0,387.8,0.0,159.742,0.0,11.2,0.0,1290.958
2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,124.983,0.0,48.7,0.0,721.483
2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,85.267,0.0,7.1,0.0,1435.0
2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,7000,ROS,472.5,0.0,817.8,0.0,2016.017,0.0,1052.275,1887.333,2672.333
2022-06-01T02:00:00-04:00,2022-06-01T06:00:00+00:00,2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,7001,SWCT,0.0,0.0,387.8,0.0,159.517,0.0,6.667,0.0,1200.25
2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,108.342,0.0,30.925,0.0,730.583
2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,84.0,0.0,6.433,0.0,1435.0
2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,7000,ROS,472.583,0.0,725.167,0.0,2166.058,0.0,1173.617,1887.833,2672.833
2022-06-01T03:00:00-04:00,2022-06-01T07:00:00+00:00,2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,7001,SWCT,0.0,0.0,363.467,0.0,146.25,0.0,14.917,0.0,1208.9
2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,91.942,0.0,16.183,0.0,751.158
2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,82.608,0.0,3.392,0.0,1435.0
2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,7000,ROS,472.917,0.0,720.858,0.0,2271.142,0.0,1137.292,1888.167,2673.167
