interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2024-06-02T09:00:00-05:00,2024-06-02T14:00:00+00:00,2024-06-02T10:00:00-05:00,2024-06-02T15:00:00+00:00,HB_HOUSTON,10.49
2024-06-02T10:00:00-05:00,2024-06-02T15:00:00+00:00,2024-06-02T11:00:00-05:00,2024-06-02T16:00:00+00:00,HB_HOUSTON,13.26
2024-06-02T11:00:00-05:00,2024-06-02T16:00:00+00:00,2024-06-02T12:00:00-05:00,2024-06-02T17:00:00+00:00,HB_HOUSTON,16.08
2024-06-02T12:00:00-05:00,2024-06-02T17:00:00+00:00,2024-06-02T13:00:00-05:00,2024-06-02T18:00:00+00:00,HB_HOUSTON,23.79
2024-06-02T13:00:00-05:00,2024-06-02T18:00:00+00:00,2024-06-02T14:00:00-05:00,2024-06-02T19:00:00+00:00,HB_HOUSTON,29.83
2024-06-02T14:00:00-05:00,2024-06-02T19:00:00+00:00,2024-06-02T15:00:00-05:00,2024-06-02T20:00:00+00:00,HB_HOUSTON,30.64
2024-06-02T15:00:00-05:00,2024-06-02T20:00:00+00:00,2024-06-02T16:00:00-05:00,2024-06-02T21:00:00+00:00,HB_HOUSTON,34.63
2024-06-02T16:00:00-05:00,2024-06-02T21:00:00+00:00,2024-06-02T17:00:00-05:00,2024-06-02T22:00:00+00:00,HB_HOUSTON,36.97
2024-06-02T17:00:00-05:00,2024-06-02T22:00:00+00:00,2024-06-02T18:00:00-05:00,2024-06-02T23:00:00+00:00,HB_HOUSTON,33.02
2024-06-02T18:00:00-05:00,2024-06-02T23:00:00+00:00,2024-06-02T19:00:00-05:00,2024-06-03T00:00:00+00:00,HB_HOUSTON,32.71
2024-06-02T19:00:00-05:00,2024-06-03T00:00:00+00:00,2024-06-02T20:00:00-05:00,2024-06-03T01:00:00+00:00,HB_HOUSTON,40.82
2024-06-02T20:00:00-05:00,2024-06-03T01:00:00+00:00,2024-06-02T21:00:00-05:00,2024-06-03T02:00:00+00:00,HB_HOUSTON,37.8
2024-06-02T21:00:00-05:00,2024-06-03T02:00:00+00:00,2024-06-02T22:00:00-05:00,2024-06-03T03:00:00+00:00,HB_HOUSTON,25.82
2024-06-02T22:00:00-05:00,2024-06-03T03:00:00+00:00,2024-06-02T23:00:00-05:00,2024-06-03T04:00:00+00:00,HB_HOUSTON,19.75
2024-06-02T23:00:00-05:00,2024-06-03T04:00:00+00:00,2024-06-03T00:00:00-05:00,2024-06-03T05:00:00+00:00,HB_HOUSTON,17.64
2024-06-03T00:00:00-05:00,2024-06-03T05:00:00+00:00,2024-06-03T01:00:00-05:00,2024-06-03T06:00:00+00:00,HB_HOUSTON,16.18
2024-06-03T01:00:00-05:00,2024-06-03T06:00:00+00:00,2024-06-03T02:00:00-05:00,2024-06-03T07:00:00+00:00,HB_HOUSTON,13.28
2024-06-03T02:00:00-05:00,2024-06-03T07:00:00+00:00,2024-06-03T03:00:00-05:00,2024-06-03T08:00:00+00:00,HB_HOUSTON,11.32
2024-06-03T03:00:00-05:00,2024-06-03T08:00:00+00:00,2024-06-03T04:00:00-05:00,2024-06-03T09:00:00+00:00,HB_HOUSTON,10.42
2024-06-03T04:00:00-05:00,2024-06-03T09:00:00+00:00,2024-06-03T05:00:00-05:00,2024-06-03T10:00:00+00:00,HB_HOUSTON,10.43
2024-06-03T05:00:00-05:00,2024-06-03T10:00:00+00:00,2024-06-03T06:00:00-05:00,2024-06-03T11:00:00+00:00,HB_HOUSTON,12.42
2024-06-03T06:00:00-05:00,2024-06-03T11:00:00+00:00,2024-06-03T07:00:00-05:00,2024-06-03T12:00:00+00:00,HB_HOUSTON,12.17
2024-06-03T07:00:00-05:00,2024-06-03T12:00:00+00:00,2024-06-03T08:00:00-05:00,2024-06-03T13:00:00+00:00,HB_HOUSTON,11.11
2024-06-03T08:00:00-05:00,2024-06-03T13:00:00+00:00,2024-06-03T09:00:00-05:00,2024-06-03T14:00:00+00:00,HB_HOUSTON,9.41
2024-06-03T09:00:00-05:00,2024-06-03T14:00:00+00:00,2024-06-03T10:00:00-05:00,2024-06-03T15:00:00+00:00,HB_HOUSTON,11.3
2024-06-03T10:00:00-05:00,2024-06-03T15:00:00+00:00,2024-06-03T11:00:00-05:00,2024-06-03T16:00:00+00:00,HB_HOUSTON,13.98
2024-06-03T11:00:00-05:00,2024-06-03T16:00:00+00:00,2024-06-03T12:00:00-05:00,2024-06-03T17:00:00+00:00,HB_HOUSTON,21.52
2024-06-03T12:00:00-05:00,2024-06-03T17:00:00+00:00,2024-06-03T13:00:00-05:00,2024-06-03T18:00:00+00:00,HB_HOUSTON,23.35
2024-06-03T13:00:00-05:00,2024-06-03T18:00:00+00:00,2024-06-03T14:00:00-05:00,2024-06-03T19:00:00+00:00,HB_HOUSTON,31.61
2024-06-03T14:00:00-05:00,2024-06-03T19:00:00+00:00,2024-06-03T15:00:00-05:00,2024-06-03T20:00:00+00:00,HB_HOUSTON,31.63
2024-06-03T15:00:00-05:00,2024-06-03T20:00:00+00:00,2024-06-03T16:00:00-05:00,2024-06-03T21:00:00+00:00,HB_HOUSTON,35.04
2024-06-03T16:00:00-05:00,2024-06-03T21:00:00+00:00,2024-06-03T17:00:00-05:00,2024-06-03T22:00:00+00:00,HB_HOUSTON,46.99
2024-06-03T17:00:00-05:00,2024-06-03T22:00:00+00:00,2024-06-03T18:00:00-05:00,2024-06-03T23:00:00+00:00,HB_HOUSTON,43.93
2024-06-03T18:00:00-05:00,2024-06-03T23:00:00+00:00,2024-06-03T19:00:00-05:00,2024-06-04T00:00:00+00:00,HB_HOUSTON,39.42
2024-06-03T19:00:00-05:00,2024-06-04T00:00:00+00:00,2024-06-03T20:00:00-05:00,2024-06-04T01:00:00+00:00,HB_HOUSTON,53.25
2024-06-03T20:00:00-05:00,2024-06-04T01:00:00+00:00,2024-06-03T21:00:00-05:00,2024-06-04T02:00:00+00:00,HB_HOUSTON,38.82
2024-06-03T21:00:00-05:00,2024-06-04T02:00:00+00:00,2024-06-03T22:00:00-05:00,2024-06-04T03:00:00+00:00,HB_HOUSTON,24.58
2024-06-03T22:00:00-05:00,2024-06-04T03:00:00+00:00,2024-06-03T23:00:00-05:00,2024-06-04T04:00:00+00:00,HB_HOUSTON,20.76
2024-06-03T23:00:00-05:00,2024-06-04T04:00:00+00:00,2024-06-04T00:00:00-05:00,2024-06-04T05:00:00+00:00,HB_HOUSTON,18.15
2024-06-04T00:00:00-05:00,2024-06-04T05:00:00+00:00,2024-06-04T01:00:00-05:00,2024-06-04T06:00:00+00:00,HB_HOUSTON,16.04
2024-06-04T01:00:00-05:00,2024-06-04T06:00:00+00:00,2024-06-04T02:00:00-05:00,2024-06-04T07:00:00+00:00,HB_HOUSTON,13.76
2024-06-04T02:00:00-05:00,2024-06-04T07:00:00+00:00,2024-06-04T03:00:00-05:00,2024-06-04T08:00:00+00:00,HB_HOUSTON,11.98
2024-06-04T03:00:00-05:00,2024-06-04T08:00:00+00:00,2024-06-04T04:00:00-05:00,2024-06-04T09:00:00+00:00,HB_HOUSTON,12.4
2024-06-04T04:00:00-05:00,2024-06-04T09:00:00+00:00,2024-06-04T05:00:00-05:00,2024-06-04T10:00:00+00:00,HB_HOUSTON,13.35
2024-06-04T05:00:00-05:00,2024-06-04T10:00:00+00:00,2024-06-04T06:00:00-05:00,2024-06-04T11:00:00+00:00,HB_HOUSTON,15.34
2024-06-04T06:00:00-05:00,2024-06-04T11:00:00+00:00,2024-06-04T07:00:00-05:00,2024-06-04T12:00:00+00:00,HB_HOUSTON,14.69
2024-06-04T07:00:00-05:00,2024-06-04T12:00:00+00:00,2024-06-04T08:00:00-05:00,2024-06-04T13:00:00+00:00,HB_HOUSTON,13.42
2024-06-04T08:00:00-05:00,2024-06-04T13:00:00+00:00,2024-06-04T09:00:00-05:00,2024-06-04T14:00:00+00:00,HB_HOUSTON,11.32
2024-06-04T09:00:00-05:00,2024-06-04T14:00:00+00:00,2024-06-04T10:00:00-05:00,2024-06-04T15:00:00+00:00,HB_HOUSTON,13.99
2024-06-04T10:00:00-05:00,2024-06-04T15:00:00+00:00,2024-06-04T11:00:00-05:00,2024-06-04T16:00:00+00:00,HB_HOUSTON,17.04
2024-06-04T11:00:00-05:00,2024-06-04T16:00:00+00:00,2024-06-04T12:00:00-05:00,2024-06-04T17:00:00+00:00,HB_HOUSTON,21.69
2024-06-04T12:00:00-05:00,2024-06-04T17:00:00+00:00,2024-06-04T13:00:00-05:00,2024-06-04T18:00:00+00:00,HB_HOUSTON,30.59
2024-06-04T13:00:00-05:00,2024-06-04T18:00:00+00:00,2024-06-04T14:00:00-05:00,2024-06-04T19:00:00+00:00,HB_HOUSTON,35.74
2024-06-04T14:00:00-05:00,2024-06-04T19:00:00+00:00,2024-06-04T15:00:00-05:00,2024-06-04T20:00:00+00:00,HB_HOUSTON,41.61
2024-06-04T15:00:00-05:00,2024-06-04T20:00:00+00:00,2024-06-04T16:00:00-05:00,2024-06-04T21:00:00+00:00,HB_HOUSTON,51.05
2024-06-04T16:00:00-05:00,2024-06-04T21:00:00+00:00,2024-06-04T17:00:00-05:00,2024-06-04T22:00:00+00:00,HB_HOUSTON,63.77
2024-06-04T17:00:00-05:00,2024-06-04T22:00:00+00:00,2024-06-04T18:00:00-05:00,2024-06-04T23:00:00+00:00,HB_HOUSTON,60.5
2024-06-04T18:00:00-05:00,2024-06-04T23:00:00+00:00,2024-06-04T19:00:00-05:00,2024-06-05T00:00:00+00:00,HB_HOUSTON,61.88
2024-06-04T19:00:00-05:00,2024-06-05T00:00:00+00:00,2024-06-04T20:00:00-05:00,2024-06-05T01:00:00+00:00,HB_HOUSTON,112.54
2024-06-04T20:00:00-05:00,2024-06-05T01:00:00+00:00,2024-06-04T21:00:00-05:00,2024-06-05T02:00:00+00:00,HB_HOUSTON,79.07
2024-06-04T21:00:00-05:00,2024-06-05T02:00:00+00:00,2024-06-04T22:00:00-05:00,2024-06-05T03:00:00+00:00,HB_HOUSTON,38.57
2024-06-04T22:00:00-05:00,2024-06-05T03:00:00+00:00,2024-06-04T23:00:00-05:00,2024-06-05T04:00:00+00:00,HB_HOUSTON,26.92
2024-06-04T23:00:00-05:00,2024-06-05T04:00:00+00:00,2024-06-05T00:00:00-05:00,2024-06-05T05:00:00+00:00,HB_HOUSTON,21.91
2024-06-05T00:00:00-05:00,2024-06-05T05:00:00+00:00,2024-06-05T01:00:00-05:00,2024-06-05T06:00:00+00:00,HB_HOUSTON,18.54
2024-06-05T01:00:00-05:00,2024-06-05T06:00:00+00:00,2024-06-05T02:00:00-05:00,2024-06-05T07:00:00+00:00,HB_HOUSTON,17.12
2024-06-05T02:00:00-05:00,2024-06-05T07:00:00+00:00,2024-06-05T03:00:00-05:00,2024-06-05T08:00:00+00:00,HB_HOUSTON,16.57
2024-06-05T03:00:00-05:00,2024-06-05T08:00:00+00:00,2024-06-05T04:00:00-05:00,2024-06-05T09:00:00+00:00,HB_HOUSTON,16.83
2024-06-05T04:00:00-05:00,2024-06-05T09:00:00+00:00,2024-06-05T05:00:00-05:00,2024-06-05T10:00:00+00:00,HB_HOUSTON,17.77
2024-06-05T05:00:00-05:00,2024-06-05T10:00:00+00:00,2024-06-05T06:00:00-05:00,2024-06-05T11:00:00+00:00,HB_HOUSTON,19.76
2024-06-05T06:00:00-05:00,2024-06-05T11:00:00+00:00,2024-06-05T07:00:00-05:00,2024-06-05T12:00:00+00:00,HB_HOUSTON,22.15
2024-06-05T07:00:00-05:00,2024-06-05T12:00:00+00:00,2024-06-05T08:00:00-05:00,2024-06-05T13:00:00+00:00,HB_HOUSTON,19.71
2024-06-05T08:00:00-05:00,2024-06-05T13:00:00+00:00,2024-06-05T09:00:00-05:00,2024-06-05T14:00:00+00:00,HB_HOUSTON,17.09
2024-06-05T09:00:00-05:00,2024-06-05T14:00:00+00:00,2024-06-05T10:00:00-05:00,2024-06-05T15:00:00+00:00,HB_HOUSTON,17.75
2024-06-05T10:00:00-05:00,2024-06-05T15:00:00+00:00,2024-06-05T11:00:00-05:00,2024-06-05T16:00:00+00:00,HB_HOUSTON,20.88
2024-06-05T11:00:00-05:00,2024-06-05T16:00:00+00:00,2024-06-05T12:00:00-05:00,2024-06-05T17:00:00+00:00,HB_HOUSTON,24.14
2024-06-05T12:00:00-05:00,2024-06-05T17:00:00+00:00,2024-06-05T13:00:00-05:00,2024-06-05T18:00:00+00:00,HB_HOUSTON,31.37
2024-06-05T13:00:00-05:00,2024-06-05T18:00:00+00:00,2024-06-05T14:00:00-05:00,2024-06-05T19:00:00+00:00,HB_HOUSTON,41.26
2024-06-05T14:00:00-05:00,2024-06-05T19:00:00+00:00,2024-06-05T15:00:00-05:00,2024-06-05T20:00:00+00:00,HB_HOUSTON,46.02
2024-06-05T15:00:00-05:00,2024-06-05T20:00:00+00:00,2024-06-05T16:00:00-05:00,2024-06-05T21:00:00+00:00,HB_HOUSTON,65.33
2024-06-05T16:00:00-05:00,2024-06-05T21:00:00+00:00,2024-06-05T17:00:00-05:00,2024-06-05T22:00:00+00:00,HB_HOUSTON,78.78
