title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
Triennial Market Power Analysis for Southwest Power Pool Inc. Region of Google Energy LLC under ER10-2835.,12/27/2024,['ER10-2835-012'],Submittal,['Electric'],,"[{'file_name': 'Google Energy_SPP Triennial (12-27-24).pdf', 'file_desc': 'Triennial Market Power Analysis for SPP Region of Google Energy LLC under ER10-2835', 'file_size': 916385, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=C2EFEA4A-2E9B-C10E-9FCC-941827300000'}]","['AUTHOR: Google Energy LLC', 'AGENT: Perkins Coie LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"Joint Application for Authorization Under Section 203 of the Federal Power Act of Rhode Island State Energy Center, LP, et al. under EC25-14.",10/24/2024,['EC25-14-000'],Submittal,['Electric'],,"[{'file_name': 'Exhibit I - PSA PRIVILEGED FINAL.pdf', 'file_desc': 'Exhibit I - PSA PRIVILEGED FINAL', 'file_size': 1908245, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=40B5D081-1599-CC90-A172-92BF30900000'}]","['AUTHOR: Shell Energy North America (US), L.P.', 'AUTHOR: Rhode Island State Energy Center, LP', 'AGENT: No Organization Found', 'AGENT: Rock Creek Energy Group, LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"Joint Application for Authorization Under Section 203 of the Federal Power Act of Green Country Energy, LLC, et al. under EC25-9.",10/15/2024,['EC25-9-000'],Submittal,['Electric'],,"[{'file_name': '2024-10-15 Green Country 203 FINAL.pdf', 'file_desc': 'No description given', 'file_size': 1629606, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=7443FB03-6C39-C88D-A4E7-9295DD100000'}, {'file_name': 'MISO_20230530-8061.PDF', 'file_desc': 'No description given', 'file_size': 931312, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=56C1C536-C46C-C2A2-B307-9295DD200000'}, {'file_name': 'PJM_20230530-8095.PDF', 'file_desc': 'No description given', 'file_size': 766816, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=D36D947C-C003-C1C7-8890-9295DD500000'}, {'file_name': 'sample-form.pdf', 'file_desc': 'No description given', 'file_size': 325570, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=44265F6C-4FF5-C731-A3D5-9295DD500000'}, {'file_name': 'EIA-860 Instructions.pdf', 'file_desc': 'No description given', 'file_size': 866373, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=AB583F17-5FA5-C83D-B08B-9295DD500000'}, {'file_name': 'EIA-861 Instructions.pdf', 'file_desc': 'No description given', 'file_size': 431240, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6E09102E-5E5E-C008-8729-9295DD600000'}, {'file_name': '2021 SO2 Allowance Auction _ Clean Air Markets _ US EPA.pdf', 'file_desc': 'No description given', 'file_size': 107946, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=8A8909AF-ABCF-C1B2-840F-9295DDC00001'}, {'file_name': '774-auction-2021-2.pdf', 'file_desc': 'No description given', 'file_size': 278540, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=15D17BB0-54F3-C4FC-8E5A-9295DDC00001'}, {'file_name': 'CIQ Pro_ Environmental Summary_NOx SO2 prices, 032023.pdf', 'file_desc': 'No description given', 'file_size': 321351, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=4EFF1345-0CDB-C443-9695-9295DDC00001'}, {'file_name': 'CSAPR State Groups 2 and 3.pdf', 'file_desc': 'No description given', 'file_size': 148732, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A39EDF32-C5E4-C67C-9FE4-9295DDC00001'}, {'file_name': 'EOD_FUTURES_REPORT.PDF', 'file_desc': 'No description given', 'file_size': 11883013, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=7634BB78-EBCF-C907-8B21-9295DDD00000'}, {'file_name': 'data definitions.pdf', 'file_desc': 'No description given', 'file_size': 286368, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A1A5CC63-BBDF-CE76-BAEE-9295DDD00000'}, {'file_name': '20171117-5087_Public Version - 2017 SIL Report.PDF', 'file_desc': 'No description given', 'file_size': 186731, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=CFFBE802-AFD2-C8CC-8A22-9295DDD00001'}, {'file_name': '20210921-5098.PDF', 'file_desc': 'No description given', 'file_size': 1796177, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=26CD004D-0865-C659-9379-9295DDD00001'}]","['AUTHOR: Green Country Energy, LLC', 'AUTHOR: Public Service Company of Oklahoma', 'AGENT: AEP Service Corporation', 'AGENT: McDermott Will & Emery LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"Supplement to 01/31/2024, Notice of Change in Status of Google Energy LLC under ER10-2835.",11/05/2024,['ER10-2835-011'],Submittal,['Electric'],,"[{'file_name': 'Google Energy Supplement to Notice of CIS (11-05-24).pdf', 'file_desc': 'No description given', 'file_size': 168999, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BCDE1244-B37A-C2C0-9C7A-9307FCA00000'}]","['AUTHOR: Google Energy LLC', 'AGENT: Perkins Coie LLP', 'RECIPIENT: Office of the Secretary, FERC']"
"Response to 10/03/2024, Shady Hills Power Company, L.L.C. request for additional information for Application for Authorization Under Section 203 of the Federal Power Act under EC24-118.",10/30/2024,['EC24-118-000'],Submittal,['Electric'],,"[{'file_name': 'PRIV_SECI Notification of 2025 Elections_20231215.pdf', 'file_desc': 'Workpapers', 'file_size': 31384, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=49FCED2B-4E07-C825-89C1-92E2CF300000'}]","['AUTHOR: Shady Hills Power Company, L.L.C.', 'RECIPIENT: Office of the Secretary, FERC', 'AGENT: Sidley Austin LLP']"
"Joint Application for Authorization Under Section 203 of the Federal Power Act of Rhode Island State Energy Center, LP et al. under EC25-14.",10/24/2024,['EC25-14-000'],Submittal,['Electric'],,"[{'file_name': '2024-10-24 Patriot 203 FINAL - PUBLIC.pdf', 'file_desc': '203 Application', 'file_size': 3137894, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=35D51B25-7F5C-CB84-A49C-92BF2F800000'}, {'file_name': 'prices_ISONE.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 20947, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=384008B5-FBB3-CBE8-B484-92BF2F800000'}, {'file_name': 'ISONE_20230621-8000.PDF', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 1061203, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=47C646AD-D356-CCE5-9ADE-92BF2FA00000'}, {'file_name': 'NYISO_20230531-8020.PDF', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 710588, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=16A37BB1-B058-CC1D-A1A2-92BF2FA00000'}, {'file_name': 'sample-form.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 325570, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=C46BFFAD-8070-CBA3-945B-92BF2FD00000'}, {'file_name': 'EIA-860 Instructions.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 866373, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=C460AF8F-7F1D-C853-A40E-92BF2FD00000'}, {'file_name': 'EIA-861 Instructions.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 431240, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=3ACE1D84-6196-C190-B775-92BF2FD00000'}, {'file_name': '2021 SO2 Allowance Auction _ Clean Air Markets _ US EPA.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 107946, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=DC769FE1-D232-C714-A037-92BF30500000'}, {'file_name': '774-auction-2021-2.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 278540, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=2D349ADF-707B-C3A7-AAEE-92BF30500000'}, {'file_name': 'CIQ Pro_ Environmental Summary_NOx SO2 prices, 032023.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 321351, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=4ECA0D3A-D2F2-CCF0-B3B7-92BF30500000'}, {'file_name': 'CSAPR State Groups 2 and 3.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 148732, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=48928F79-2CFD-C6EA-BB13-92BF30500000'}, {'file_name': 'EOD_FUTURES_REPORT.PDF', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 11883013, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=07DA79B4-BF96-CC57-8234-92BF30500001'}, {'file_name': 'data definitions.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 286368, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=3B8B3F19-F666-CC84-A2FF-92BF30600000'}, {'file_name': 'ad10-2_simultaneous_import_limit_for_2015.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 4587992, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=93C8C893-7CE5-C40A-B3F7-92BF30600000'}, {'file_name': 'npcc-2023-summer-reliability-assessment.pdf', 'file_desc': 'SENA-RISEC Public Workpapers, Oct 2024', 'file_size': 3140094, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=0AC88641-DF75-CBD7-B886-92BF30600000'}]","['AUTHOR: Shell Energy North America (US), L.P.', 'AGENT: Rock Creek Energy Group, LLP', 'AUTHOR: Rhode Island State Energy Center, LP', 'RECIPIENT: Office of the Secretary, FERC']"
"Supplement to 08/13/2024 Joint Application for Authorization Under Section 203 of the Federal Power Act of Algonquin Power Co., et al. under EC24-111.",08/15/2024,['EC24-111-000'],Submittal,['Electric'],,"[{'file_name': 'Project Power 203 Workpapers Cover Letter (FINAL 8.14.24).pdf', 'file_desc': 'No description given', 'file_size': 243042, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=64DC3835-3A55-C7FF-936C-916B5CE00000'}, {'file_name': 'prices_PJM.pdf', 'file_desc': 'No description given', 'file_size': 38051, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A0EC4DDB-63EF-CDCE-A97B-916B5CE00000'}, {'file_name': 'prices_PJME50.pdf', 'file_desc': 'No description given', 'file_size': 35345, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A179F021-B081-C9AE-B22B-916B5CE00000'}, {'file_name': 'prices_PJMEAPS.pdf', 'file_desc': 'No description given', 'file_size': 35565, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=495BE83E-E8BF-C598-BB92-916B5CE00000'}, {'file_name': 'prices_PJMEX.pdf', 'file_desc': 'No description given', 'file_size': 35332, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=60FC32EE-158E-C27A-806D-916B5CE00001'}, {'file_name': 'MISO_20230530-8061.PDF', 'file_desc': 'No description given', 'file_size': 931312, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B76AEE41-6744-C650-A081-916B5CF00000'}, {'file_name': 'PJM_20230530-8095.PDF', 'file_desc': 'No description given', 'file_size': 766816, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=F2DAE3DB-D018-C1B9-8B9C-916B5D300000'}, {'file_name': 'sample-form.pdf', 'file_desc': 'No description given', 'file_size': 325570, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=E406B725-D054-C11F-A24C-916B5D300000'}, {'file_name': 'EIA-860 Instructions.pdf', 'file_desc': 'No description given', 'file_size': 866373, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=DA0EC5CC-67F8-C15F-B328-916B5D300000'}, {'file_name': 'EIA-861 Instructions.pdf', 'file_desc': 'No description given', 'file_size': 431240, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=D68BE73F-3C8D-CD17-90A2-916B5D400000'}, {'file_name': '2021 SO2 Allowance Auction _ Clean Air Markets _ US EPA.pdf', 'file_desc': 'No description given', 'file_size': 107946, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6BA6F21A-39B2-C590-8E85-916B5DD00000'}, {'file_name': '774-auction-2021-2.pdf', 'file_desc': 'No description given', 'file_size': 278540, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=36D63B44-E782-C86A-94F5-916B5DD00000'}, {'file_name': 'CIQ Pro_ Environmental Summary_NOx SO2 prices, 032023.pdf', 'file_desc': 'No description given', 'file_size': 321351, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=CD3B5808-919C-C319-9EC1-916B5DD00000'}, {'file_name': 'CSAPR State Groups 2 and 3.pdf', 'file_desc': 'No description given', 'file_size': 148732, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=722ADF23-2D5E-C6B3-A5FB-916B5DD00000'}, {'file_name': 'EOD_FUTURES_REPORT.PDF', 'file_desc': 'No description given', 'file_size': 11883013, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6B04B39E-3401-C6BA-ADFC-916B5DD00000'}, {'file_name': 'data definitions.pdf', 'file_desc': 'No description given', 'file_size': 286368, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=68E04D72-94FE-CAF0-A106-916B5DE00000'}, {'file_name': '2022-RNA-Report.pdf', 'file_desc': 'No description given', 'file_size': 3444989, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=0B022AF2-3119-C0A8-B183-916B5DE00000'}, {'file_name': 'PJM_oatt.pdf', 'file_desc': 'No description given', 'file_size': 60889128, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=2B3C9A21-0480-CCCA-AB8C-916B5E400000'}, {'file_name': '20160902-5155_2016 PJM SIL Study.docx.PDF', 'file_desc': 'No description given', 'file_size': 43425, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=1FB5987C-3A08-C22E-8ABF-916B5E500000'}, {'file_name': '20171117-5087_Public Version - 2017 SIL Report.PDF', 'file_desc': 'No description given', 'file_size': 186731, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=19D38D04-D678-C995-99FD-916B5E500000'}, {'file_name': '20221220-5220_20221220-NYISO SILS Infrmtnl Rprt Flng-Cmplt (1).pdf', 'file_desc': 'No description given', 'file_size': 655728, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=18650A67-25B0-CA02-A37D-916B5E500000'}, {'file_name': 'tsc_ntac_NYISO.pdf', 'file_desc': 'No description given', 'file_size': 8467, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=472A5021-13D3-CB02-AABB-916B5E500000'}]","['AGENT: Gibson, Dunn & Crutcher LLP', 'AUTHOR: Algonquin Power Co.', 'RECIPIENT: Office of the Secretary, FERC']"
"Supplement to the 07/31/024 Notice of Change in Status of Tri-State Generation and Transmission Association, Inc. under ER20-681.",08/01/2024,['ER20-681-010'],Submittal,['Electric'],,[],"['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: Tri-State Generation and Transmission Association, Inc.', 'AGENT: Norton Rose Fulbright (US) LLP']"
Notice of Change in Status of NorthWestern Corporation under ER18-2511.,07/29/2024,['ER18-2511-009'],Submittal,['Electric'],,"[{'file_name': 'Letter_CIS 100 MW Threshold.pdf', 'file_desc': 'Transmittal letter ', 'file_size': 414686, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=8D49F94D-E8A0-C2D7-802F-91038FA00001'}, {'file_name': 'Solomon_Affidavit_Final_NWE_Change_in_Status_Filing_July_2024.pdf', 'file_desc': 'J. Solomon Affidavit ', 'file_size': 1106563, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=4931BF09-B61F-CEB8-8957-91038FA00001'}, {'file_name': 'prices_NWMT.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 32249, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=3637B8FB-5C81-C5DC-A1D4-91038FB00000'}, {'file_name': '20210420-8040.PDF', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 903457, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=59BBC34B-26CC-C592-8875-91038FE00000'}, {'file_name': 'sample-form.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 325570, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BB5307D9-EDA8-CE5E-A2A8-910390100000'}, {'file_name': 'EIA-860 Instructions.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 866373, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6B37912B-2B96-C30E-8D22-910390200000'}, {'file_name': 'EIA-861 Instructions.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 431240, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BC8FF33B-50B8-CDCD-9F2D-910390200000'}, {'file_name': '2021 SO2 Allowance Auction _ Clean Air Markets _ US EPA.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 107946, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=912D68F4-8437-CAF7-9B35-910390600000'}, {'file_name': '774-auction-2021-2.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 278540, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B5F3E43A-907E-C026-A2B8-910390600000'}, {'file_name': 'CB0_2021_05_12.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 91504, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BAD6CA1D-2BC6-C494-AB8E-910390600000'}, {'file_name': 'CB1_2021_05_12.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 90980, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=267266E0-3FDF-C1E6-B2BC-910390600000'}, {'file_name': 'CIQ Pro_ Environmental Summary_NOx SO2 prices, 032023.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 321351, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=5C51BBC7-42B0-C512-B900-910390600000'}, {'file_name': 'CSAPR State Groups 2 and 3.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 148732, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6FA0710E-2CE9-CD55-83E3-910390600001'}, {'file_name': 'EOD_FUTURES_REPORT.PDF', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 11883013, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=EF0E7EE4-D348-CE4D-8BDA-910390600001'}, {'file_name': 'data definitions.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 286368, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=808162FD-FE3D-C8A1-A309-910390700000'}, {'file_name': 'AVA Master_Tariff_OATT_11-1-2017.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 2936242, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B8559D82-1D5A-C525-B166-910390700000'}, {'file_name': 'BPAT BP-18 Final Transmission Rate Schedules and GRSPs.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 2067711, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6C2FC29C-25F1-C88C-B9BB-910390700000'}, {'file_name': 'IPCO_Current_Transmission_Rates_08-28-17.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 45744, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=9C400536-5A9F-CD20-88B9-910390800000'}, {'file_name': 'NWMT Losses 2_-_Part_II_-_Point-to-Point_Transmission_Service.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 613657, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=7878A135-4745-CD89-9202-910390800000'}, {'file_name': 'NWMT Schedule_1_-_Scheduling_System_Control_and_Dispatch_Service.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 32183, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=37C892BA-422D-C191-9A8C-910390800000'}, {'file_name': 'NWMT Schedule_2_-_Reactive_Supply_and_Voltage_Control.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 38589, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=392C4E87-5003-CB25-A234-910390800000'}, {'file_name': 'NWMT Schedule_3_Calculation_Posted_For_April_2017.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 43293, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=63FD842C-C277-CA87-A966-910390800000'}, {'file_name': 'NWMT Schedule_8_-_Non-Firm_PTP_Transmission_Service.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 34315, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A7B88A08-ABAD-CC02-B0BD-910390800000'}, {'file_name': 'PACE PACW 20170713_OATTMASTER.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 2922498, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=2A1F128A-B83E-CF3D-B9B7-910390800000'}, {'file_name': 'PacifiCorp 20120209_OATTMASTERwRateCase.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 1759964, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6751244D-C5B2-C6B5-80CF-910390800001'}, {'file_name': 'WAUE Basin West_Side_Tariff.pdf', 'file_desc': 'Public Workpapers (DPT & Screens) J. Solomon', 'file_size': 3338338, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=C9989861-A0A1-C046-8ADD-910390900000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: NorthWestern Corporation']"
"Joint Application for Authorization Under Section 203 of the Federal Power Act of Coso Geothermal Power Holdings LLC, et al. under EC24-96.",06/27/2024,['EC24-96-000'],Submittal,['Electric'],,[],"['AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: Telocaset Wind Power Partners, LLC', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: High Prairie Wind Farm II, LLC', 'AUTHOR: Coso Geothermal Power Holdings LLC', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: Arizona Solar One LLC', 'AUTHOR: Mojave Solar LLC', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: Old Trail Wind Farm, LLC', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: DCR Transmission, L.L.C.', 'AGENT: Skadden Arps Slate Meagher & Flom, LLP', 'AUTHOR: ECP ControlCo, LLC', 'AGENT: Latham & Watkins LLP', 'AUTHOR: ECP ControlCo, LLC', 'AGENT: Latham & Watkins LLP', 'AUTHOR: ECP ControlCo, LLC', 'AGENT: Latham & Watkins LLP', 'RECIPIENT: Office of the Secretary, FERC']"
