interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,mkt_region,zone,load_area,mw
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,ME,ME,1600.645
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PE,PE,4150.302
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PEP,PEPCO,2580.053
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PEP,SMECO,393.581
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PL,PLCO,4276.686
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PL,UGI,121.484
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PN,PN,1781.319
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,PS,PS,4586.631
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,MIDATL,RECO,RECO,153.81
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,RTO,RTO,RTO,82952.538
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,SOUTH,DOM,DOM,12109.594
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,AEP,AEPAPT,3937.192
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,AEP,AEPIMP,2799.138
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,AEP,AEPKPT,620.885
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,AEP,AEPOPT,5711.584
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,AP,AP,5169.238
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,ATSI,OE,6172.016
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,ATSI,PAPWR,492.351
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,CE,CE,10255.383
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,DAY,DAY,1673.0
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,DEOK,DEOK,2660.786
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,DUQ,DUQ,1355.903
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,EKPC,EKPC,1387.652
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,WEST,OVEC,OVEC,43.0
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,AE,AECO,1015.435
