interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,149.613222,149.05,3.293076,-2.729854
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,AEP GEN HUB,34497125,AEP GEN HUB,HUB,141.646579,149.05,-0.990526,-6.412895
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,150.258182,149.05,1.045227,0.162955
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO GEN HUB,33092311,CHICAGO GEN HUB,HUB,144.970769,149.05,3.707,-7.786231
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,147.169183,149.05,3.683688,-5.564505
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,DOMINION HUB,35010337,DOMINION HUB,HUB,165.038411,149.05,12.320135,3.668276
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,EASTERN HUB,51217,EASTERN HUB,HUB,123.797697,149.05,-29.539576,4.287273
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,NEW JERSEY HUB,4669664,NEW JERSEY HUB,HUB,114.247365,149.05,-34.872658,0.070023
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,N ILLINOIS HUB,33092315,N ILLINOIS HUB,HUB,146.212746,149.05,3.692853,-6.530107
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,OHIO HUB,34497151,OHIO HUB,HUB,150.146633,149.05,3.531004,-2.434371
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,WESTERN HUB,51288,WESTERN HUB,HUB,159.886845,149.05,11.561436,-0.724591
2024-01-15T07:00:00-05:00,2024-01-15T12:00:00+00:00,2024-01-15T08:00:00-05:00,2024-01-15T13:00:00+00:00,DAY_AHEAD_HOURLY,WEST INT HUB,51287,WEST INT HUB,HUB,153.086662,149.05,5.523329,-1.486667
