interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,31.1,29.990000000000002,-0.0,1.11
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,29.96,29.990000000000002,-0.0,-0.03
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,31.97,29.99,-0.0,1.98
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,29.18,29.99,-0.0,-0.81
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,H Q,Zone,26.18,29.99,-0.0,-3.81
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,31.52,29.99,-0.0,1.53
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,43.6,29.990000000000002,10.88,2.73
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,30.53,29.990000000000002,-0.0,0.54
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,31.73,29.990000000000002,-0.0,1.74
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,26.6,29.990000000000002,-0.0,-3.39
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,NPX,Zone,31.07,29.990000000000002,-0.0,1.08
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.06,29.990000000000002,-0.0,2.07
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,O H,Zone,28.4,29.99,-0.0,-1.59
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,PJM,Zone,30.29,29.99,-0.0,0.3
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,29.03,29.990000000000002,-0.0,-0.96
