interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,spinning_reserves,regulation_up,regulation_down,regulation_mileage_up,regulation_mileage_down
2022-05-31T21:00:00-07:00,2022-06-01T04:00:00+00:00,2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,AS_SP26_EXP,DAM,0.0,5.46039,5.46039,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_CAISO_EXP,DAM,0.27,10.68,10.68,3.07,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,3.04,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T22:00:00-07:00,2022-06-01T05:00:00+00:00,2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_CAISO_EXP,DAM,0.15,10.0,10.0,3.06,0.0,0.01
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,2.19001,8.55141,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31T23:00:00-07:00,2022-06-01T06:00:00+00:00,2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.53642,1.53642,4.3,0.07986,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,3.69,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T00:00:00-07:00,2022-06-01T07:00:00+00:00,2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.0,1.22,4.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,8.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_SP26_EXP,DAM,0.0,1.5,1.5,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.56426,1.65,5.9589,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,6.0411,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.07,0.0,0.0,0.0
