interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind
2023-02-12T00:00:00-05:00,2023-02-12T05:00:00+00:00,2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,
2023-02-13T00:00:00-05:00,2023-02-13T05:00:00+00:00,2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,
2023-02-14T00:00:00-05:00,2023-02-14T05:00:00+00:00,2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,
2023-02-15T00:00:00-05:00,2023-02-15T05:00:00+00:00,2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,
2023-02-16T00:00:00-05:00,2023-02-16T05:00:00+00:00,2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,
2023-02-17T00:00:00-05:00,2023-02-17T05:00:00+00:00,2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,
2023-02-18T00:00:00-05:00,2023-02-18T05:00:00+00:00,2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,
2023-02-19T00:00:00-05:00,2023-02-19T05:00:00+00:00,2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,
2023-02-20T00:00:00-05:00,2023-02-20T05:00:00+00:00,2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,3849510.0
2023-02-21T00:00:00-05:00,2023-02-21T05:00:00+00:00,2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,3992164.0
2023-02-22T00:00:00-05:00,2023-02-22T05:00:00+00:00,2023-02-23T00:00:00-05:00,2023-02-23T05:00:00+00:00,5458626.0
2023-02-23T00:00:00-05:00,2023-02-23T05:00:00+00:00,2023-02-24T00:00:00-05:00,2023-02-24T05:00:00+00:00,3657098.0
2023-02-24T00:00:00-05:00,2023-02-24T05:00:00+00:00,2023-02-25T00:00:00-05:00,2023-02-25T05:00:00+00:00,1010026.0
2023-02-25T00:00:00-05:00,2023-02-25T05:00:00+00:00,2023-02-26T00:00:00-05:00,2023-02-26T05:00:00+00:00,3073504.0
2023-02-26T00:00:00-05:00,2023-02-26T05:00:00+00:00,2023-02-27T00:00:00-05:00,2023-02-27T05:00:00+00:00,3712286.0
2023-02-27T00:00:00-05:00,2023-02-27T05:00:00+00:00,2023-02-28T00:00:00-05:00,2023-02-28T05:00:00+00:00,5476517.0
2023-02-28T00:00:00-05:00,2023-02-28T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2757115.0
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-03-02T00:00:00-05:00,2023-03-02T05:00:00+00:00,4052264.0
2023-03-02T00:00:00-05:00,2023-03-02T05:00:00+00:00,2023-03-03T00:00:00-05:00,2023-03-03T05:00:00+00:00,2126051.0
2023-03-03T00:00:00-05:00,2023-03-03T05:00:00+00:00,2023-03-04T00:00:00-05:00,2023-03-04T05:00:00+00:00,2814020.0
2023-03-04T00:00:00-05:00,2023-03-04T05:00:00+00:00,2023-03-05T00:00:00-05:00,2023-03-05T05:00:00+00:00,1727705.0
2023-03-05T00:00:00-05:00,2023-03-05T05:00:00+00:00,2023-03-06T00:00:00-05:00,2023-03-06T05:00:00+00:00,3916797.0
2023-03-06T00:00:00-05:00,2023-03-06T05:00:00+00:00,2023-03-07T00:00:00-05:00,2023-03-07T05:00:00+00:00,4447019.0
2023-03-07T00:00:00-05:00,2023-03-07T05:00:00+00:00,2023-03-08T00:00:00-05:00,2023-03-08T05:00:00+00:00,3708915.0
2023-03-08T00:00:00-05:00,2023-03-08T05:00:00+00:00,2023-03-09T00:00:00-05:00,2023-03-09T05:00:00+00:00,2772326.0
2023-03-09T00:00:00-05:00,2023-03-09T05:00:00+00:00,2023-03-10T00:00:00-05:00,2023-03-10T05:00:00+00:00,2516134.0
2023-03-10T00:00:00-05:00,2023-03-10T05:00:00+00:00,2023-03-11T00:00:00-05:00,2023-03-11T05:00:00+00:00,2629807.0
