interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2023-01-14T22:40:00-05:00,2023-01-15T03:40:00+00:00,2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,76724
2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,76391
2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,76293
2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,76104
2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,76015
2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,2023-01-14T23:10:00-05:00,2023-01-15T04:10:00+00:00,75521
2023-01-14T23:10:00-05:00,2023-01-15T04:10:00+00:00,2023-01-14T23:15:00-05:00,2023-01-15T04:15:00+00:00,75456
2023-01-14T23:15:00-05:00,2023-01-15T04:15:00+00:00,2023-01-14T23:20:00-05:00,2023-01-15T04:20:00+00:00,75274
2023-01-14T23:20:00-05:00,2023-01-15T04:20:00+00:00,2023-01-14T23:25:00-05:00,2023-01-15T04:25:00+00:00,75268
2023-01-14T23:25:00-05:00,2023-01-15T04:25:00+00:00,2023-01-14T23:30:00-05:00,2023-01-15T04:30:00+00:00,75179
2023-01-14T23:30:00-05:00,2023-01-15T04:30:00+00:00,2023-01-14T23:35:00-05:00,2023-01-15T04:35:00+00:00,74752
2023-01-14T23:35:00-05:00,2023-01-15T04:35:00+00:00,2023-01-14T23:40:00-05:00,2023-01-15T04:40:00+00:00,74621
2023-01-14T23:40:00-05:00,2023-01-15T04:40:00+00:00,2023-01-14T23:45:00-05:00,2023-01-15T04:45:00+00:00,74635
2023-01-14T23:45:00-05:00,2023-01-15T04:45:00+00:00,2023-01-14T23:50:00-05:00,2023-01-15T04:50:00+00:00,74636
2023-01-14T23:50:00-05:00,2023-01-15T04:50:00+00:00,2023-01-14T23:55:00-05:00,2023-01-15T04:55:00+00:00,74486
2023-01-14T23:55:00-05:00,2023-01-15T04:55:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,74175
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-15T00:05:00-05:00,2023-01-15T05:05:00+00:00,73976
2023-01-15T00:05:00-05:00,2023-01-15T05:05:00+00:00,2023-01-15T00:10:00-05:00,2023-01-15T05:10:00+00:00,73710
2023-01-15T00:10:00-05:00,2023-01-15T05:10:00+00:00,2023-01-15T00:15:00-05:00,2023-01-15T05:15:00+00:00,73458
2023-01-15T00:15:00-05:00,2023-01-15T05:15:00+00:00,2023-01-15T00:20:00-05:00,2023-01-15T05:20:00+00:00,73369
2023-01-15T00:20:00-05:00,2023-01-15T05:20:00+00:00,2023-01-15T00:25:00-05:00,2023-01-15T05:25:00+00:00,73340
2023-01-15T00:25:00-05:00,2023-01-15T05:25:00+00:00,2023-01-15T00:30:00-05:00,2023-01-15T05:30:00+00:00,73325
2023-01-15T00:30:00-05:00,2023-01-15T05:30:00+00:00,2023-01-15T00:35:00-05:00,2023-01-15T05:35:00+00:00,73059
2023-01-15T00:35:00-05:00,2023-01-15T05:35:00+00:00,2023-01-15T00:40:00-05:00,2023-01-15T05:40:00+00:00,73045
2023-01-15T00:40:00-05:00,2023-01-15T05:40:00+00:00,2023-01-15T00:45:00-05:00,2023-01-15T05:45:00+00:00,72843
2023-01-15T00:45:00-05:00,2023-01-15T05:45:00+00:00,2023-01-15T00:50:00-05:00,2023-01-15T05:50:00+00:00,72552
2023-01-15T00:50:00-05:00,2023-01-15T05:50:00+00:00,2023-01-15T00:55:00-05:00,2023-01-15T05:55:00+00:00,72604
2023-01-15T00:55:00-05:00,2023-01-15T05:55:00+00:00,2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,72413
2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,2023-01-15T01:05:00-05:00,2023-01-15T06:05:00+00:00,72083
2023-01-15T01:05:00-05:00,2023-01-15T06:05:00+00:00,2023-01-15T01:10:00-05:00,2023-01-15T06:10:00+00:00,71931
2023-01-15T01:10:00-05:00,2023-01-15T06:10:00+00:00,2023-01-15T01:15:00-05:00,2023-01-15T06:15:00+00:00,71919
2023-01-15T01:15:00-05:00,2023-01-15T06:15:00+00:00,2023-01-15T01:20:00-05:00,2023-01-15T06:20:00+00:00,71697
2023-01-15T01:20:00-05:00,2023-01-15T06:20:00+00:00,2023-01-15T01:25:00-05:00,2023-01-15T06:25:00+00:00,71699
2023-01-15T01:25:00-05:00,2023-01-15T06:25:00+00:00,2023-01-15T01:30:00-05:00,2023-01-15T06:30:00+00:00,71620
2023-01-15T01:30:00-05:00,2023-01-15T06:30:00+00:00,2023-01-15T01:35:00-05:00,2023-01-15T06:35:00+00:00,71306
2023-01-15T01:35:00-05:00,2023-01-15T06:35:00+00:00,2023-01-15T01:40:00-05:00,2023-01-15T06:40:00+00:00,71348
2023-01-15T01:40:00-05:00,2023-01-15T06:40:00+00:00,2023-01-15T01:45:00-05:00,2023-01-15T06:45:00+00:00,71338
2023-01-15T01:45:00-05:00,2023-01-15T06:45:00+00:00,2023-01-15T01:50:00-05:00,2023-01-15T06:50:00+00:00,71255
2023-01-15T01:50:00-05:00,2023-01-15T06:50:00+00:00,2023-01-15T01:55:00-05:00,2023-01-15T06:55:00+00:00,71310
2023-01-15T01:55:00-05:00,2023-01-15T06:55:00+00:00,2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,71071
2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,2023-01-15T02:05:00-05:00,2023-01-15T07:05:00+00:00,70980
2023-01-15T02:05:00-05:00,2023-01-15T07:05:00+00:00,2023-01-15T02:10:00-05:00,2023-01-15T07:10:00+00:00,70856
2023-01-15T02:10:00-05:00,2023-01-15T07:10:00+00:00,2023-01-15T02:15:00-05:00,2023-01-15T07:15:00+00:00,70796
2023-01-15T02:15:00-05:00,2023-01-15T07:15:00+00:00,2023-01-15T02:20:00-05:00,2023-01-15T07:20:00+00:00,70747
2023-01-15T02:20:00-05:00,2023-01-15T07:20:00+00:00,2023-01-15T02:25:00-05:00,2023-01-15T07:25:00+00:00,70633
2023-01-15T02:25:00-05:00,2023-01-15T07:25:00+00:00,2023-01-15T02:30:00-05:00,2023-01-15T07:30:00+00:00,70636
2023-01-15T02:30:00-05:00,2023-01-15T07:30:00+00:00,2023-01-15T02:35:00-05:00,2023-01-15T07:35:00+00:00,71111
2023-01-15T02:35:00-05:00,2023-01-15T07:35:00+00:00,2023-01-15T02:40:00-05:00,2023-01-15T07:40:00+00:00,71036
2023-01-15T02:40:00-05:00,2023-01-15T07:40:00+00:00,2023-01-15T02:45:00-05:00,2023-01-15T07:45:00+00:00,70993
2023-01-15T02:45:00-05:00,2023-01-15T07:45:00+00:00,2023-01-15T02:50:00-05:00,2023-01-15T07:50:00+00:00,70619
2023-01-15T02:50:00-05:00,2023-01-15T07:50:00+00:00,2023-01-15T02:55:00-05:00,2023-01-15T07:55:00+00:00,70718
2023-01-15T02:55:00-05:00,2023-01-15T07:55:00+00:00,2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,70721
2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,2023-01-15T03:05:00-05:00,2023-01-15T08:05:00+00:00,70313
2023-01-15T03:05:00-05:00,2023-01-15T08:05:00+00:00,2023-01-15T03:10:00-05:00,2023-01-15T08:10:00+00:00,70167
2023-01-15T03:10:00-05:00,2023-01-15T08:10:00+00:00,2023-01-15T03:15:00-05:00,2023-01-15T08:15:00+00:00,70439
2023-01-15T03:15:00-05:00,2023-01-15T08:15:00+00:00,2023-01-15T03:20:00-05:00,2023-01-15T08:20:00+00:00,70714
2023-01-15T03:20:00-05:00,2023-01-15T08:20:00+00:00,2023-01-15T03:25:00-05:00,2023-01-15T08:25:00+00:00,70812
2023-01-15T03:25:00-05:00,2023-01-15T08:25:00+00:00,2023-01-15T03:30:00-05:00,2023-01-15T08:30:00+00:00,70818
2023-01-15T03:30:00-05:00,2023-01-15T08:30:00+00:00,2023-01-15T03:35:00-05:00,2023-01-15T08:35:00+00:00,70735
2023-01-15T03:35:00-05:00,2023-01-15T08:35:00+00:00,2023-01-15T03:40:00-05:00,2023-01-15T08:40:00+00:00,70779
2023-01-15T03:40:00-05:00,2023-01-15T08:40:00+00:00,2023-01-15T03:45:00-05:00,2023-01-15T08:45:00+00:00,70503
2023-01-15T03:45:00-05:00,2023-01-15T08:45:00+00:00,2023-01-15T03:50:00-05:00,2023-01-15T08:50:00+00:00,70549
2023-01-15T03:50:00-05:00,2023-01-15T08:50:00+00:00,2023-01-15T03:55:00-05:00,2023-01-15T08:55:00+00:00,70456
2023-01-15T03:55:00-05:00,2023-01-15T08:55:00+00:00,2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,70370
2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,2023-01-15T04:05:00-05:00,2023-01-15T09:05:00+00:00,70416
2023-01-15T04:05:00-05:00,2023-01-15T09:05:00+00:00,2023-01-15T04:10:00-05:00,2023-01-15T09:10:00+00:00,70441
2023-01-15T04:10:00-05:00,2023-01-15T09:10:00+00:00,2023-01-15T04:15:00-05:00,2023-01-15T09:15:00+00:00,70466
2023-01-15T04:15:00-05:00,2023-01-15T09:15:00+00:00,2023-01-15T04:20:00-05:00,2023-01-15T09:20:00+00:00,70491
2023-01-15T04:20:00-05:00,2023-01-15T09:20:00+00:00,2023-01-15T04:25:00-05:00,2023-01-15T09:25:00+00:00,70516
2023-01-15T04:25:00-05:00,2023-01-15T09:25:00+00:00,2023-01-15T04:30:00-05:00,2023-01-15T09:30:00+00:00,70540
2023-01-15T04:30:00-05:00,2023-01-15T09:30:00+00:00,2023-01-15T04:35:00-05:00,2023-01-15T09:35:00+00:00,70565
2023-01-15T04:35:00-05:00,2023-01-15T09:35:00+00:00,2023-01-15T04:40:00-05:00,2023-01-15T09:40:00+00:00,70590
2023-01-15T04:40:00-05:00,2023-01-15T09:40:00+00:00,2023-01-15T04:45:00-05:00,2023-01-15T09:45:00+00:00,70615
2023-01-15T04:45:00-05:00,2023-01-15T09:45:00+00:00,2023-01-15T04:50:00-05:00,2023-01-15T09:50:00+00:00,70640
2023-01-15T04:50:00-05:00,2023-01-15T09:50:00+00:00,2023-01-15T04:55:00-05:00,2023-01-15T09:55:00+00:00,70665
2023-01-15T04:55:00-05:00,2023-01-15T09:55:00+00:00,2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,70836
