interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coal
2023-01-14T19:00:00-05:00,2023-01-15T00:00:00+00:00,2023-01-14T19:05:00-05:00,2023-01-15T00:05:00+00:00,24749.0
2023-01-14T19:05:00-05:00,2023-01-15T00:05:00+00:00,2023-01-14T19:10:00-05:00,2023-01-15T00:10:00+00:00,25070.0
2023-01-14T19:10:00-05:00,2023-01-15T00:10:00+00:00,2023-01-14T19:15:00-05:00,2023-01-15T00:15:00+00:00,25392.0
2023-01-14T19:15:00-05:00,2023-01-15T00:15:00+00:00,2023-01-14T19:20:00-05:00,2023-01-15T00:20:00+00:00,25424.0
2023-01-14T19:20:00-05:00,2023-01-15T00:20:00+00:00,2023-01-14T19:25:00-05:00,2023-01-15T00:25:00+00:00,25358.0
2023-01-14T19:25:00-05:00,2023-01-15T00:25:00+00:00,2023-01-14T19:30:00-05:00,2023-01-15T00:30:00+00:00,25383.0
2023-01-14T19:30:00-05:00,2023-01-15T00:30:00+00:00,2023-01-14T19:35:00-05:00,2023-01-15T00:35:00+00:00,25408.0
2023-01-14T19:35:00-05:00,2023-01-15T00:35:00+00:00,2023-01-14T19:40:00-05:00,2023-01-15T00:40:00+00:00,25445.0
2023-01-14T19:40:00-05:00,2023-01-15T00:40:00+00:00,2023-01-14T19:45:00-05:00,2023-01-15T00:45:00+00:00,25501.0
2023-01-14T19:45:00-05:00,2023-01-15T00:45:00+00:00,2023-01-14T19:50:00-05:00,2023-01-15T00:50:00+00:00,25496.0
2023-01-14T19:50:00-05:00,2023-01-15T00:50:00+00:00,2023-01-14T19:55:00-05:00,2023-01-15T00:55:00+00:00,25558.0
2023-01-14T19:55:00-05:00,2023-01-15T00:55:00+00:00,2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,25527.0
2023-01-14T20:00:00-05:00,2023-01-15T01:00:00+00:00,2023-01-14T20:05:00-05:00,2023-01-15T01:05:00+00:00,25334.0
2023-01-14T20:05:00-05:00,2023-01-15T01:05:00+00:00,2023-01-14T20:10:00-05:00,2023-01-15T01:10:00+00:00,25141.0
2023-01-14T20:10:00-05:00,2023-01-15T01:10:00+00:00,2023-01-14T20:15:00-05:00,2023-01-15T01:15:00+00:00,25195.0
2023-01-14T20:15:00-05:00,2023-01-15T01:15:00+00:00,2023-01-14T20:20:00-05:00,2023-01-15T01:20:00+00:00,25125.0
2023-01-14T20:20:00-05:00,2023-01-15T01:20:00+00:00,2023-01-14T20:25:00-05:00,2023-01-15T01:25:00+00:00,25261.0
2023-01-14T20:25:00-05:00,2023-01-15T01:25:00+00:00,2023-01-14T20:30:00-05:00,2023-01-15T01:30:00+00:00,25140.0
2023-01-14T20:30:00-05:00,2023-01-15T01:30:00+00:00,2023-01-14T20:35:00-05:00,2023-01-15T01:35:00+00:00,25085.0
2023-01-14T20:35:00-05:00,2023-01-15T01:35:00+00:00,2023-01-14T20:40:00-05:00,2023-01-15T01:40:00+00:00,24984.0
2023-01-14T20:40:00-05:00,2023-01-15T01:40:00+00:00,2023-01-14T20:45:00-05:00,2023-01-15T01:45:00+00:00,24883.0
2023-01-14T20:45:00-05:00,2023-01-15T01:45:00+00:00,2023-01-14T20:50:00-05:00,2023-01-15T01:50:00+00:00,24684.0
2023-01-14T20:50:00-05:00,2023-01-15T01:50:00+00:00,2023-01-14T20:55:00-05:00,2023-01-15T01:55:00+00:00,24486.0
2023-01-14T20:55:00-05:00,2023-01-15T01:55:00+00:00,2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,24309.0
2023-01-14T21:00:00-05:00,2023-01-15T02:00:00+00:00,2023-01-14T21:05:00-05:00,2023-01-15T02:05:00+00:00,24383.0
2023-01-14T21:05:00-05:00,2023-01-15T02:05:00+00:00,2023-01-14T21:10:00-05:00,2023-01-15T02:10:00+00:00,24204.0
