interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,SPPNORTH_HUB,Hub,31.6214
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,SPPSOUTH_HUB,Hub,30.2235
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,SPPNORTH_HUB,Hub,34.0041
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,SPPSOUTH_HUB,Hub,32.2821
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,SPPNORTH_HUB,Hub,37.3963
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,SPPSOUTH_HUB,Hub,35.815
2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,SPPNORTH_HUB,Hub,35.0336
2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,SPPSOUTH_HUB,Hub,33.5745
2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,SPPNORTH_HUB,Hub,30.5402
2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,SPPSOUTH_HUB,Hub,29.312
2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,SPPNORTH_HUB,Hub,34.2107
2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,SPPSOUTH_HUB,Hub,33.095
