operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
0.0,0.5,1197.9879,1197.9879,0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,0.0
-0.0,0.5,-0.0,-0.0,-0.0,-0.0
-34.5679,0.6556,-1559.6676,-0.0,-695.4699,-864.1977
-0.0,0.6556,-0.0,-0.0,-0.0,-0.0
-0.0,0.6556,-0.0,-0.0,-0.0,-0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,0.0
-0.0,0.6556,-0.0,-0.0,-0.0,-0.0
