title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
Reply Comments of American Transmission Company LLC in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Reply Comments of American Transmission Company.pdf', 'file_desc': 'Reply Comments of American Transmission Company in response to the Notice Inviting Comments and Adva', 'file_size': 217346, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A659E5EB-2339-C47C-9E5D-9AF05AE00000'}]","['AUTHOR: American Transmission Company LLC', 'AGENT: ATC 1, LLC', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of GridCARE, Inc. re Advanced Notice of Proposed Rulemaking on Interconnection of Large Loads to the Interstate Transmission System under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'FERC RM26-4-000 GridCARE Reply Comments.pdf', 'file_desc': 'No description given', 'file_size': 162213, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=F4C4E2E7-ADFB-CD28-9DB8-9AF047A00000'}]","['AUTHOR: GridCARE, Inc.', 'AGENT: No Organization Found', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Southern Environmental Law Center et al. in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'SPIOs ANOPR Reply Comments.pdf', 'file_desc': 'No description given', 'file_size': 243113, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=AEC17C3C-E96C-CAC0-B354-9AF043700000'}]","['AUTHOR: Appalachian Voices', 'AUTHOR: Southern Environmental Law Center', 'AGENT: Southern Environmental Law Center', 'AUTHOR: North Carolina Sustainable Energy Association', 'AGENT: Southern Environmental Law Center', 'AGENT: Southern Environmental Law Center', 'AUTHOR: Coastal Conservation League', 'AGENT: Southern Environmental Law Center', 'AUTHOR: Southern Alliance for Clean Energy', 'AGENT: Southern Environmental Law Center', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Oncor Electric Delivery Company LLC re the Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Oncor Reply Comments on Large Load Interconnection ANOPR.pdf', 'file_desc': 'Reply Comments of Oncor Electric Delivery Company LLC', 'file_size': 155201, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=DC2C285A-EFD1-CDF4-9FCD-9AF033900000'}]","['AGENT: Jenner & Block LLP', 'RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: Oncor Electric Delivery Company LLC']"
Reply Comments of the Virginia State Corporation Commission re Advance Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'RM26-4 VSCC Reply Comments_Final.pdf', 'file_desc': 'Reply Comments of the Virginia State Corporation Commission', 'file_size': 213796, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=F4640CBD-3FCF-C198-9D2C-9AF020500000'}]","['AUTHOR: Virginia State Corporation Commission', 'AGENT: Virginia State Corporation Commission', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of Emerald AI, Inc. in response to Notice Inviting Comments on Interconnection of Large Loads to the Interstate Transmission System under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'Emerald AI_large load ANOPR Reply Comments 12.5.25 VF.pdf', 'file_desc': 'Reply Comments of Emerald AI under RM26-4-000.', 'file_size': 137200, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=850B0667-502F-CA23-9E10-9AF01C700000'}]","['AUTHOR: Emerald AI', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Rewiring America re the Interconnection of Large Loads to the Interstate Transmission System under RM26-4.	,12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'Rewiring America Reply Comments to FERC Docket RM26-4-000.pdf', 'file_desc': 'Reply Comments of Rewiring America under RM26-4.', 'file_size': 156933, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=F71DAEEA-9AE1-C78D-9C6B-9AF01F100000'}]","['AUTHOR: Rewiring America', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comment of the Electric Power Supply Association under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'EPSA Reply Comments - ANOPR 12.5.25.pdf', 'file_desc': 'Reply Comments of the Electric Power Supply Association', 'file_size': 191484, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=F3A95EA2-65D4-CEE2-9F7C-9AEFAB700000'}]","['AUTHOR: Electric Power Supply Association', 'AGENT: No Organization Found', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of the National Association of Regulatory Utility Commissioners under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'RM26-4 NARUC Reply Comments 120525.pdf', 'file_desc': 'No description given', 'file_size': 220083, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=6FF6035A-06FD-C522-A556-9AEF9CF00000'}]","['AUTHOR: National Association of Regulatory Utility Commissioners', 'AUTHOR: National Association of Regulatory Utility Commissioners', 'AGENT: No Organization Found', 'RECIPIENT: Office of the Secretary, FERC', 'AGENT: National Association of Regulatory Utility Commissioners']"
Comments of Oklo Inc. re the Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/08/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'Oklo Reply Comment - Interconnection of Large Loads.pdf', 'file_desc': 'No description given', 'file_size': 149730, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=FB1B07D3-EC79-CF30-9A54-9AFE09E00000'}]","['AUTHOR: Oklo Inc.', 'RECIPIENT: Office of the Secretary, FERC']"
