interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2022-12-01T00:00:00-05:00,2022-12-01T05:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,0.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,1981784.0
2023-02-01T00:00:00-05:00,2023-02-01T05:00:00+00:00,2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,1257067.0
2023-03-01T00:00:00-05:00,2023-03-01T05:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,4803563.0
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,6044144.0
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,8350444.0
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,8903361.0
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,9294548.0
2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,9236636.0
2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,7860350.0
2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,6153716.0
2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,5201916.0
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,3887738.0
