interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.solar
2022-12-01T00:00:00-06:00,2022-12-01T06:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,4.675
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,28247.7791666667
2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,29218.4902777778
2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,42722.9515151516
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,60962.0213422689
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,67015.8640656565
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,73328.840974026
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,77002.3720454545
2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,72652.6384848484
2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,59370.196010101
2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,50074.5838383839
2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,35341.6465151515
2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,33213.8416666667
