operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
0.0,0.5,11.9512,11.9513,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,0.0,-0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-0.0,0.5,-0.0,-0.0,0.0,-0.0
-1.0,0.725,-21.17,-0.0,3.83,-25.0
-0.0,0.725,-0.0,-0.0,0.0,-0.0
