interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_id,lmp,energy,congestion,loss
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,AEP-DAYTON HUB,34497127.0,22.4375574,22.38,0.4904224,-0.432865
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,AEP GEN HUB,34497125.0,22.0238946,22.38,0.3921054,-0.7482108
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,ATSI GEN HUB,116013751.0,22.510909,22.38,0.4839544,-0.3530454
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,CHICAGO GEN HUB,33092311.0,21.5488922,22.38,0.6041078,-1.4352156
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,CHICAGO HUB,33092313.0,21.802461,22.38,0.6040562,-1.1815952
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,DOMINION HUB,35010337.0,23.6742384,22.38,0.771117,0.5231214
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,EASTERN HUB,51217.0,20.668313,22.38,-2.3062262,0.5945392
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,NEW JERSEY HUB,4669664.0,21.1152486,22.38,-1.578991,0.3142396
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,N ILLINOIS HUB,33092315.0,21.6923058,22.38,0.604122,-1.2918162
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,OHIO HUB,34497151.0,22.416122,22.38,0.5297268,-0.4936048
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,WESTERN HUB,51288.0,23.213165,22.38,0.453333,0.379832
2023-12-01T00:00:00-05:00,2023-12-01T05:00:00+00:00,2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,WEST INT HUB,51287.0,22.784444,22.38,0.5365554,-0.1321114
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,AEP-DAYTON HUB,34497127.0,43.0410307577808,45.7553315290934,-1.93319999729364,-0.781100774018944
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,AEP GEN HUB,34497125.0,41.4159472205683,45.7553315290934,-2.44977637753721,-1.88960793098782
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,ATSI GEN HUB,116013751.0,43.3668470987821,45.7553315290933,-1.88723826792963,-0.501246162381598
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,CHICAGO GEN HUB,33092311.0,40.118194631935,45.7553315290933,-3.04432966035183,-2.5928072368065
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,CHICAGO HUB,33092313.0,41.336200932341,45.7553315290934,-2.45748663193505,-1.96164396481732
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,DOMINION HUB,35010337.0,50.4887525033829,45.7553315290933,4.44539730852503,0.288023665764547
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,EASTERN HUB,51217.0,46.008701052774,45.7553315290934,-1.56863072395128,1.82200024763194
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,NEW JERSEY HUB,4669664.0,44.4205178768606,45.7553315290934,-2.26037442219215,0.925560769959404
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,N ILLINOIS HUB,33092315.0,40.3469312341002,45.7553315290934,-3.16860642489851,-2.23979387009472
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,OHIO HUB,34497151.0,43.1191711677943,45.7553315290934,-1.89979152909337,-0.736368832205683
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,WESTERN HUB,51288.0,48.6995070257105,45.7553315290933,2.529815338295,0.414360158322057
2024-01-01T00:00:00-05:00,2024-01-01T05:00:00+00:00,2024-02-01T00:00:00-05:00,2024-02-01T05:00:00+00:00,WEST INT HUB,51287.0,44.9816006657645,45.7553315290933,-0.127770939106901,-0.645959924221922
