interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.solar,btm_solar.btm_solar
2023-04-01T00:00:00-04:00,2023-04-01T04:00:00+00:00,2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,28.0,0.729166666666667
2023-05-01T00:00:00-04:00,2023-05-01T04:00:00+00:00,2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,129153.395833333,1078283.02269697
2023-06-01T00:00:00-04:00,2023-06-01T04:00:00+00:00,2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,94479.4722222221,771222.000000001
2023-07-01T00:00:00-04:00,2023-07-01T04:00:00+00:00,2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,96477.6770833333,953845.000000001
2023-08-01T00:00:00-04:00,2023-08-01T04:00:00+00:00,2023-09-01T00:00:00-04:00,2023-09-01T04:00:00+00:00,86868.34375,842142.841633333
