interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CAPITL,Zone,60.76,56.05,-0.0,4.71
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,CENTRL,Zone,58.48,56.05,1.14,1.29
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,DUNWOD,Zone,62.43,56.04,-0.0,6.39
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,GENESE,Zone,56.94,56.05,-0.0,0.89
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,H Q,Zone,45.47,56.05,-8.45,-2.13
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,HUD VL,Zone,61.48,56.04,-0.0,5.44
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,LONGIL,Zone,68.02,56.03999999999999,4.02,7.96
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MHK VL,Zone,60.02,56.050000000000004,2.57,1.4
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,MILLWD,Zone,61.99,56.050000000000004,-0.0,5.94
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NORTH,Zone,45.79,56.05,-7.12,-3.14
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,NPX,Zone,60.25,56.04,-0.0,4.21
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,N.Y.C.,Zone,63.23,56.05,-0.0,7.18
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,O H,Zone,55.88,56.050000000000004,-0.0,-0.17
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,PJM,Zone,59.41,56.05,-0.0,3.36
2022-07-01T00:00:00-04:00,2022-07-01T04:00:00+00:00,2022-07-01T01:00:00-04:00,2022-07-01T05:00:00+00:00,WEST,Zone,57.17,56.050000000000004,-0.0,1.12
