interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-02-12T00:00:00-06:00,2023-02-12T06:00:00+00:00,2023-02-13T00:00:00-06:00,2023-02-13T06:00:00+00:00,9711.50000000001
2023-02-13T00:00:00-06:00,2023-02-13T06:00:00+00:00,2023-02-14T00:00:00-06:00,2023-02-14T06:00:00+00:00,9541.50000000001
2023-02-14T00:00:00-06:00,2023-02-14T06:00:00+00:00,2023-02-15T00:00:00-06:00,2023-02-15T06:00:00+00:00,10957.9
2023-02-15T00:00:00-06:00,2023-02-15T06:00:00+00:00,2023-02-16T00:00:00-06:00,2023-02-16T06:00:00+00:00,10688.4
2023-02-16T00:00:00-06:00,2023-02-16T06:00:00+00:00,2023-02-17T00:00:00-06:00,2023-02-17T06:00:00+00:00,9492.53333333331
2023-02-17T00:00:00-06:00,2023-02-17T06:00:00+00:00,2023-02-18T00:00:00-06:00,2023-02-18T06:00:00+00:00,14892.5
2023-02-18T00:00:00-06:00,2023-02-18T06:00:00+00:00,2023-02-19T00:00:00-06:00,2023-02-19T06:00:00+00:00,6788.4
2023-02-19T00:00:00-06:00,2023-02-19T06:00:00+00:00,2023-02-20T00:00:00-06:00,2023-02-20T06:00:00+00:00,7233.9
2023-02-20T00:00:00-06:00,2023-02-20T06:00:00+00:00,2023-02-21T00:00:00-06:00,2023-02-21T06:00:00+00:00,14945.0
2023-02-21T00:00:00-06:00,2023-02-21T06:00:00+00:00,2023-02-22T00:00:00-06:00,2023-02-22T06:00:00+00:00,5094.9
2023-02-22T00:00:00-06:00,2023-02-22T06:00:00+00:00,2023-02-23T00:00:00-06:00,2023-02-23T06:00:00+00:00,16071.0
2023-02-23T00:00:00-06:00,2023-02-23T06:00:00+00:00,2023-02-24T00:00:00-06:00,2023-02-24T06:00:00+00:00,22310.1
2023-02-24T00:00:00-06:00,2023-02-24T06:00:00+00:00,2023-02-25T00:00:00-06:00,2023-02-25T06:00:00+00:00,19704.6
2023-02-25T00:00:00-06:00,2023-02-25T06:00:00+00:00,2023-02-26T00:00:00-06:00,2023-02-26T06:00:00+00:00,14514.8
2023-02-26T00:00:00-06:00,2023-02-26T06:00:00+00:00,2023-02-27T00:00:00-06:00,2023-02-27T06:00:00+00:00,17954.5
2023-02-27T00:00:00-06:00,2023-02-27T06:00:00+00:00,2023-02-28T00:00:00-06:00,2023-02-28T06:00:00+00:00,22980.4
2023-02-28T00:00:00-06:00,2023-02-28T06:00:00+00:00,2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,17256.7
2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,2023-03-02T00:00:00-06:00,2023-03-02T06:00:00+00:00,17545.1
2023-03-02T00:00:00-06:00,2023-03-02T06:00:00+00:00,2023-03-03T00:00:00-06:00,2023-03-03T06:00:00+00:00,16130.4
2023-03-03T00:00:00-06:00,2023-03-03T06:00:00+00:00,2023-03-04T00:00:00-06:00,2023-03-04T06:00:00+00:00,24598.7
2023-03-04T00:00:00-06:00,2023-03-04T06:00:00+00:00,2023-03-05T00:00:00-06:00,2023-03-05T06:00:00+00:00,23534.8
2023-03-05T00:00:00-06:00,2023-03-05T06:00:00+00:00,2023-03-06T00:00:00-06:00,2023-03-06T06:00:00+00:00,10581.3
2023-03-06T00:00:00-06:00,2023-03-06T06:00:00+00:00,2023-03-07T00:00:00-06:00,2023-03-07T06:00:00+00:00,17802.9
2023-03-07T00:00:00-06:00,2023-03-07T06:00:00+00:00,2023-03-08T00:00:00-06:00,2023-03-08T06:00:00+00:00,9045.7
2023-03-08T00:00:00-06:00,2023-03-08T06:00:00+00:00,2023-03-09T00:00:00-06:00,2023-03-09T06:00:00+00:00,18504.7
2023-03-09T00:00:00-06:00,2023-03-09T06:00:00+00:00,2023-03-10T00:00:00-06:00,2023-03-10T06:00:00+00:00,15283.0
2023-03-10T00:00:00-06:00,2023-03-10T06:00:00+00:00,2023-03-11T00:00:00-06:00,2023-03-11T06:00:00+00:00,16629.1
2023-03-11T00:00:00-06:00,2023-03-11T06:00:00+00:00,2023-03-12T00:00:00-06:00,2023-03-12T06:00:00+00:00,15866.5
2023-03-12T00:00:00-06:00,2023-03-12T06:00:00+00:00,2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,20556.15
2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,23072.6
2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,16452.15
2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,9600.13333333333
2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,8339.95000000001
2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,12748.0666666667
2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,12084.8
2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,17144.9
2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,8155.51666666667
2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,12417.0833333333
2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,8765.99999999998
2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,11889.25
2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,24340.6
2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,26925.0
2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,26019.2
2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,23691.2
2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,23413.6
2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,20364.5
2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,9081.0
2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,12089.4
