utc_timestamp,date_local,hour_ending,location_name,lmp_dam,energy_component,congestion_component,marginal_loss_component
2023-07-01 05:00:00+00:00,07/01/2023,1,.Z.CONNECTICUT,34.87,35.82,0.0,-0.95
2023-07-01 06:00:00+00:00,07/01/2023,2,.Z.CONNECTICUT,36.16,37.36,0.0,-1.2
2023-07-01 07:00:00+00:00,07/01/2023,3,.Z.CONNECTICUT,32.28,33.37,0.0,-1.09
2023-07-01 08:00:00+00:00,07/01/2023,4,.Z.CONNECTICUT,27.94,28.9,0.0,-0.96
2023-07-01 09:00:00+00:00,07/01/2023,5,.Z.CONNECTICUT,29.85,30.91,0.0,-1.06
2023-07-01 10:00:00+00:00,07/01/2023,6,.Z.CONNECTICUT,27.24,28.21,0.0,-0.97
2023-07-01 11:00:00+00:00,07/01/2023,7,.Z.CONNECTICUT,28.05,29.06,0.0,-1.01
2023-07-01 12:00:00+00:00,07/01/2023,8,.Z.CONNECTICUT,28.97,30.11,0.0,-1.14
2023-07-01 13:00:00+00:00,07/01/2023,9,.Z.CONNECTICUT,32.04,33.27,0.0,-1.23
2023-07-01 14:00:00+00:00,07/01/2023,10,.Z.CONNECTICUT,27.36,28.38,0.0,-1.02
2023-07-01 15:00:00+00:00,07/01/2023,11,.Z.CONNECTICUT,27.4,28.36,0.0,-0.96
2023-07-01 16:00:00+00:00,07/01/2023,12,.Z.CONNECTICUT,33.55,34.6,0.0,-1.05
2023-07-01 17:00:00+00:00,07/01/2023,13,.Z.CONNECTICUT,29.15,29.98,0.0,-0.83
2023-07-01 18:00:00+00:00,07/01/2023,14,.Z.CONNECTICUT,33.5,34.36,0.0,-0.86
2023-07-01 19:00:00+00:00,07/01/2023,15,.Z.CONNECTICUT,30.05,30.57,0.0,-0.52
2023-07-01 20:00:00+00:00,07/01/2023,16,.Z.CONNECTICUT,37.04,37.42,0.0,-0.38
2023-07-01 21:00:00+00:00,07/01/2023,17,.Z.CONNECTICUT,44.59,45.19,0.0,-0.6
2023-07-01 22:00:00+00:00,07/01/2023,18,.Z.CONNECTICUT,44.95,45.58,0.0,-0.63
2023-07-01 23:00:00+00:00,07/01/2023,19,.Z.CONNECTICUT,45.42,46.14,0.0,-0.72
2023-07-02 00:00:00+00:00,07/01/2023,20,.Z.CONNECTICUT,42.8,43.73,0.0,-0.93
2023-07-02 01:00:00+00:00,07/01/2023,21,.Z.CONNECTICUT,42.39,43.21,0.0,-0.82
2023-07-02 02:00:00+00:00,07/01/2023,22,.Z.CONNECTICUT,41.4,42.14,0.0,-0.74
2023-07-02 03:00:00+00:00,07/01/2023,23,.Z.CONNECTICUT,35.52,36.26,0.0,-0.74
2023-07-02 04:00:00+00:00,07/01/2023,24,.Z.CONNECTICUT,31.0,31.74,0.0,-0.74
2023-07-02 05:00:00+00:00,07/02/2023,1,.Z.CONNECTICUT,30.62,31.46,0.0,-0.84
2023-07-02 06:00:00+00:00,07/02/2023,2,.Z.CONNECTICUT,30.22,30.96,0.0,-0.74
2023-07-02 07:00:00+00:00,07/02/2023,3,.Z.CONNECTICUT,26.29,26.95,0.0,-0.66
2023-07-02 08:00:00+00:00,07/02/2023,4,.Z.CONNECTICUT,26.32,26.94,0.0,-0.62
2023-07-02 09:00:00+00:00,07/02/2023,5,.Z.CONNECTICUT,26.07,26.66,0.0,-0.59
2023-07-02 10:00:00+00:00,07/02/2023,6,.Z.CONNECTICUT,25.43,25.98,0.0,-0.55
2023-07-02 11:00:00+00:00,07/02/2023,7,.Z.CONNECTICUT,25.36,25.96,0.0,-0.6
2023-07-02 12:00:00+00:00,07/02/2023,8,.Z.CONNECTICUT,25.01,25.7,0.0,-0.69
2023-07-02 13:00:00+00:00,07/02/2023,9,.Z.CONNECTICUT,29.15,30.0,0.0,-0.85
2023-07-02 14:00:00+00:00,07/02/2023,10,.Z.CONNECTICUT,30.23,31.16,0.0,-0.93
2023-07-02 15:00:00+00:00,07/02/2023,11,.Z.CONNECTICUT,32.07,32.97,0.0,-0.9
2023-07-02 16:00:00+00:00,07/02/2023,12,.Z.CONNECTICUT,28.76,29.58,0.0,-0.82
2023-07-02 17:00:00+00:00,07/02/2023,13,.Z.CONNECTICUT,31.93,32.63,0.0,-0.7
2023-07-02 18:00:00+00:00,07/02/2023,14,.Z.CONNECTICUT,30.67,31.33,0.0,-0.66
2023-07-02 19:00:00+00:00,07/02/2023,15,.Z.CONNECTICUT,30.28,30.81,0.0,-0.53
2023-07-02 20:00:00+00:00,07/02/2023,16,.Z.CONNECTICUT,30.29,30.87,0.0,-0.58
2023-07-02 21:00:00+00:00,07/02/2023,17,.Z.CONNECTICUT,31.77,32.44,0.0,-0.67
2023-07-02 22:00:00+00:00,07/02/2023,18,.Z.CONNECTICUT,30.33,30.87,0.0,-0.54
2023-07-02 23:00:00+00:00,07/02/2023,19,.Z.CONNECTICUT,35.47,36.06,0.0,-0.59
2023-07-03 00:00:00+00:00,07/02/2023,20,.Z.CONNECTICUT,35.33,36.01,0.0,-0.68
2023-07-03 01:00:00+00:00,07/02/2023,21,.Z.CONNECTICUT,39.34,40.08,0.0,-0.74
2023-07-03 02:00:00+00:00,07/02/2023,22,.Z.CONNECTICUT,33.99,34.66,0.0,-0.67
2023-07-03 03:00:00+00:00,07/02/2023,23,.Z.CONNECTICUT,33.8,34.64,0.0,-0.84
2023-07-03 04:00:00+00:00,07/02/2023,24,.Z.CONNECTICUT,32.16,33.02,0.0,-0.86
2023-07-03 05:00:00+00:00,07/03/2023,1,.Z.CONNECTICUT,31.07,32.04,0.0,-0.97
2023-07-03 06:00:00+00:00,07/03/2023,2,.Z.CONNECTICUT,31.34,32.34,0.0,-1.0
2023-07-03 07:00:00+00:00,07/03/2023,3,.Z.CONNECTICUT,33.28,34.3,0.0,-1.02
2023-07-03 08:00:00+00:00,07/03/2023,4,.Z.CONNECTICUT,30.56,31.55,0.0,-0.99
2023-07-03 09:00:00+00:00,07/03/2023,5,.Z.CONNECTICUT,30.75,31.79,0.0,-1.04
2023-07-03 10:00:00+00:00,07/03/2023,6,.Z.CONNECTICUT,30.6,31.53,0.0,-0.93
2023-07-03 11:00:00+00:00,07/03/2023,7,.Z.CONNECTICUT,31.82,32.85,0.0,-1.03
2023-07-03 12:00:00+00:00,07/03/2023,8,.Z.CONNECTICUT,30.76,31.56,0.0,-0.8
2023-07-03 13:00:00+00:00,07/03/2023,9,.Z.CONNECTICUT,36.68,37.6,0.0,-0.92
2023-07-03 14:00:00+00:00,07/03/2023,10,.Z.CONNECTICUT,37.22,37.97,0.0,-0.75
2023-07-03 15:00:00+00:00,07/03/2023,11,.Z.CONNECTICUT,38.75,39.55,0.0,-0.8
2023-07-03 16:00:00+00:00,07/03/2023,12,.Z.CONNECTICUT,44.42,45.38,0.0,-0.96
2023-07-03 17:00:00+00:00,07/03/2023,13,.Z.CONNECTICUT,44.48,45.23,0.0,-0.75
2023-07-03 18:00:00+00:00,07/03/2023,14,.Z.CONNECTICUT,45.26,45.73,0.0,-0.47
2023-07-03 19:00:00+00:00,07/03/2023,15,.Z.CONNECTICUT,47.5,47.79,0.0,-0.29
2023-07-03 20:00:00+00:00,07/03/2023,16,.Z.CONNECTICUT,55.13,55.67,0.0,-0.54
2023-07-03 21:00:00+00:00,07/03/2023,17,.Z.CONNECTICUT,59.36,59.82,0.0,-0.46
2023-07-03 22:00:00+00:00,07/03/2023,18,.Z.CONNECTICUT,64.14,64.59,0.0,-0.45
2023-07-03 23:00:00+00:00,07/03/2023,19,.Z.CONNECTICUT,63.74,64.42,0.0,-0.68
2023-07-04 00:00:00+00:00,07/03/2023,20,.Z.CONNECTICUT,58.22,58.53,0.0,-0.31
2023-07-04 01:00:00+00:00,07/03/2023,21,.Z.CONNECTICUT,52.05,52.63,0.0,-0.58
2023-07-04 02:00:00+00:00,07/03/2023,22,.Z.CONNECTICUT,46.42,47.25,0.0,-0.83
2023-07-04 03:00:00+00:00,07/03/2023,23,.Z.CONNECTICUT,41.9,42.71,0.0,-0.81
2023-07-04 04:00:00+00:00,07/03/2023,24,.Z.CONNECTICUT,39.13,40.1,0.0,-0.97
2023-07-04 05:00:00+00:00,07/04/2023,1,.Z.CONNECTICUT,39.02,39.85,0.0,-0.83
2023-07-04 06:00:00+00:00,07/04/2023,2,.Z.CONNECTICUT,35.67,36.83,0.0,-1.16
2023-07-04 07:00:00+00:00,07/04/2023,3,.Z.CONNECTICUT,31.81,33.0,0.0,-1.19
2023-07-04 08:00:00+00:00,07/04/2023,4,.Z.CONNECTICUT,29.79,30.81,0.0,-1.02
2023-07-04 09:00:00+00:00,07/04/2023,5,.Z.CONNECTICUT,29.25,30.24,0.0,-0.99
2023-07-04 10:00:00+00:00,07/04/2023,6,.Z.CONNECTICUT,29.45,30.5,0.0,-1.05
2023-07-04 11:00:00+00:00,07/04/2023,7,.Z.CONNECTICUT,29.63,30.63,0.0,-1.0
2023-07-04 12:00:00+00:00,07/04/2023,8,.Z.CONNECTICUT,28.75,29.72,0.0,-0.97
2023-07-04 13:00:00+00:00,07/04/2023,9,.Z.CONNECTICUT,30.5,31.44,0.0,-0.94
2023-07-04 14:00:00+00:00,07/04/2023,10,.Z.CONNECTICUT,29.93,30.83,0.0,-0.9
2023-07-04 15:00:00+00:00,07/04/2023,11,.Z.CONNECTICUT,30.51,31.27,0.0,-0.76
2023-07-04 16:00:00+00:00,07/04/2023,12,.Z.CONNECTICUT,30.51,31.38,0.0,-0.87
2023-07-04 17:00:00+00:00,07/04/2023,13,.Z.CONNECTICUT,34.92,35.47,0.0,-0.55
2023-07-04 18:00:00+00:00,07/04/2023,14,.Z.CONNECTICUT,33.43,33.77,0.0,-0.34
2023-07-04 19:00:00+00:00,07/04/2023,15,.Z.CONNECTICUT,33.25,33.61,0.0,-0.36
2023-07-04 20:00:00+00:00,07/04/2023,16,.Z.CONNECTICUT,37.08,37.41,0.0,-0.33
2023-07-04 21:00:00+00:00,07/04/2023,17,.Z.CONNECTICUT,37.08,37.43,0.0,-0.35
2023-07-04 22:00:00+00:00,07/04/2023,18,.Z.CONNECTICUT,41.46,42.04,0.0,-0.58
2023-07-04 23:00:00+00:00,07/04/2023,19,.Z.CONNECTICUT,44.64,45.35,0.0,-0.71
2023-07-05 00:00:00+00:00,07/04/2023,20,.Z.CONNECTICUT,44.57,45.26,0.0,-0.69
2023-07-05 01:00:00+00:00,07/04/2023,21,.Z.CONNECTICUT,43.63,44.27,0.0,-0.64
2023-07-05 02:00:00+00:00,07/04/2023,22,.Z.CONNECTICUT,33.77,34.24,0.0,-0.47
2023-07-05 03:00:00+00:00,07/04/2023,23,.Z.CONNECTICUT,37.66,38.3,0.0,-0.64
2023-07-05 04:00:00+00:00,07/04/2023,24,.Z.CONNECTICUT,40.11,41.16,0.0,-1.05
