timestamp,utc_timestamp,lmp
2024-04-01 00:00:00,2024-04-01 05:00:00,1.88
2024-04-01 00:00:00,2024-04-01 05:00:00,1.59
2024-04-01 00:15:00,2024-04-01 05:15:00,2.86
2024-04-01 00:15:00,2024-04-01 05:15:00,2.55
2024-04-01 00:30:00,2024-04-01 05:30:00,3.1
2024-04-01 00:30:00,2024-04-01 05:30:00,2.8
2024-04-01 00:45:00,2024-04-01 05:45:00,2.0
2024-04-01 00:45:00,2024-04-01 05:45:00,1.7
2024-04-01 01:00:00,2024-04-01 06:00:00,1.93
2024-04-01 01:00:00,2024-04-01 06:00:00,1.6
2024-04-01 01:15:00,2024-04-01 06:15:00,1.14
2024-04-01 01:15:00,2024-04-01 06:15:00,0.825
2024-04-01 01:30:00,2024-04-01 06:30:00,1.46
2024-04-01 01:30:00,2024-04-01 06:30:00,1.13
2024-04-01 01:45:00,2024-04-01 06:45:00,1.3
2024-04-01 01:45:00,2024-04-01 06:45:00,1.03
2024-04-01 02:00:00,2024-04-01 07:00:00,1.18
2024-04-01 02:00:00,2024-04-01 07:00:00,0.94
2024-04-01 02:15:00,2024-04-01 07:15:00,1.94
2024-04-01 02:15:00,2024-04-01 07:15:00,1.7
2024-04-01 02:30:00,2024-04-01 07:30:00,1.87
2024-04-01 02:30:00,2024-04-01 07:30:00,1.66
2024-04-01 02:45:00,2024-04-01 07:45:00,0.48
2024-04-01 02:45:00,2024-04-01 07:45:00,0.37
2024-04-01 03:00:00,2024-04-01 08:00:00,1.35
2024-04-01 03:00:00,2024-04-01 08:00:00,1.21
2024-04-01 03:15:00,2024-04-01 08:15:00,1.85
2024-04-01 03:15:00,2024-04-01 08:15:00,1.74
2024-04-01 03:30:00,2024-04-01 08:30:00,2.05
2024-04-01 03:30:00,2024-04-01 08:30:00,1.91
2024-04-01 03:45:00,2024-04-01 08:45:00,4.19
2024-04-01 03:45:00,2024-04-01 08:45:00,4.06
2024-04-01 04:00:00,2024-04-01 09:00:00,4.46
2024-04-01 04:00:00,2024-04-01 09:00:00,4.25
2024-04-01 04:15:00,2024-04-01 09:15:00,5.75
2024-04-01 04:15:00,2024-04-01 09:15:00,5.54
2024-04-01 04:30:00,2024-04-01 09:30:00,6.34
2024-04-01 04:30:00,2024-04-01 09:30:00,6.09
2024-04-01 04:45:00,2024-04-01 09:45:00,7.32
2024-04-01 04:45:00,2024-04-01 09:45:00,7.14
2024-04-01 05:00:00,2024-04-01 10:00:00,7.17
2024-04-01 05:00:00,2024-04-01 10:00:00,7.01
2024-04-01 05:15:00,2024-04-01 10:15:00,12.66
2024-04-01 05:15:00,2024-04-01 10:15:00,12.77
2024-04-01 05:30:00,2024-04-01 10:30:00,14.4
2024-04-01 05:30:00,2024-04-01 10:30:00,14.36
2024-04-01 05:45:00,2024-04-01 10:45:00,12.02
2024-04-01 05:45:00,2024-04-01 10:45:00,12.06
2024-04-01 06:00:00,2024-04-01 11:00:00,11.01
2024-04-01 06:00:00,2024-04-01 11:00:00,11.04
2024-04-01 06:15:00,2024-04-01 11:15:00,13.11
2024-04-01 06:15:00,2024-04-01 11:15:00,13.35
2024-04-01 06:30:00,2024-04-01 11:30:00,16.37
2024-04-01 06:30:00,2024-04-01 11:30:00,16.66
2024-04-01 06:45:00,2024-04-01 11:45:00,19.16
2024-04-01 06:45:00,2024-04-01 11:45:00,19.48
2024-04-01 07:00:00,2024-04-01 12:00:00,17.64
2024-04-01 07:00:00,2024-04-01 12:00:00,17.93
2024-04-01 07:15:00,2024-04-01 12:15:00,18.1
2024-04-01 07:15:00,2024-04-01 12:15:00,18.42
2024-04-01 07:30:00,2024-04-01 12:30:00,18.1
2024-04-01 07:30:00,2024-04-01 12:30:00,18.42
2024-04-01 07:45:00,2024-04-01 12:45:00,18.08
2024-04-01 07:45:00,2024-04-01 12:45:00,18.4
2024-04-01 08:00:00,2024-04-01 13:00:00,22.48
2024-04-01 08:00:00,2024-04-01 13:00:00,22.83
2024-04-01 08:15:00,2024-04-01 13:15:00,21.37
2024-04-01 08:15:00,2024-04-01 13:15:00,21.55
2024-04-01 08:30:00,2024-04-01 13:30:00,22.58
2024-04-01 08:30:00,2024-04-01 13:30:00,22.69
2024-04-01 08:45:00,2024-04-01 13:45:00,22.82
2024-04-01 08:45:00,2024-04-01 13:45:00,23.055
2024-04-01 09:00:00,2024-04-01 14:00:00,18.73
2024-04-01 09:00:00,2024-04-01 14:00:00,18.95
2024-04-01 09:15:00,2024-04-01 14:15:00,21.45
2024-04-01 09:15:00,2024-04-01 14:15:00,21.56
2024-04-01 09:30:00,2024-04-01 14:30:00,24.32
2024-04-01 09:30:00,2024-04-01 14:30:00,24.6
2024-04-01 09:45:00,2024-04-01 14:45:00,21.64
2024-04-01 09:45:00,2024-04-01 14:45:00,21.965
2024-04-01 10:00:00,2024-04-01 15:00:00,21.95
2024-04-01 10:00:00,2024-04-01 15:00:00,22.26
2024-04-01 10:15:00,2024-04-01 15:15:00,20.49
2024-04-01 10:15:00,2024-04-01 15:15:00,20.79
2024-04-01 10:30:00,2024-04-01 15:30:00,20.67
2024-04-01 10:30:00,2024-04-01 15:30:00,20.89
2024-04-01 10:45:00,2024-04-01 15:45:00,18.99
2024-04-01 10:45:00,2024-04-01 15:45:00,19.33
2024-04-01 11:00:00,2024-04-01 16:00:00,17.82
2024-04-01 11:00:00,2024-04-01 16:00:00,18.14
2024-04-01 11:15:00,2024-04-01 16:15:00,20.22
2024-04-01 11:15:00,2024-04-01 16:15:00,20.54
2024-04-01 11:30:00,2024-04-01 16:30:00,18.65
2024-04-01 11:30:00,2024-04-01 16:30:00,18.74
2024-04-01 11:45:00,2024-04-01 16:45:00,18.41
2024-04-01 11:45:00,2024-04-01 16:45:00,18.33
2024-04-01 12:00:00,2024-04-01 17:00:00,16.31
2024-04-01 12:00:00,2024-04-01 17:00:00,16.18
2024-04-01 12:15:00,2024-04-01 17:15:00,17.72
2024-04-01 12:15:00,2024-04-01 17:15:00,17.62
2024-04-01 12:30:00,2024-04-01 17:30:00,15.69
2024-04-01 12:30:00,2024-04-01 17:30:00,15.55
2024-04-01 12:45:00,2024-04-01 17:45:00,20.17
2024-04-01 12:45:00,2024-04-01 17:45:00,20.14
2024-04-01 13:00:00,2024-04-01 18:00:00,20.98
2024-04-01 13:00:00,2024-04-01 18:00:00,20.935000000000002
2024-04-01 13:15:00,2024-04-01 18:15:00,16.58
2024-04-01 13:15:00,2024-04-01 18:15:00,16.545
2024-04-01 13:30:00,2024-04-01 18:30:00,13.5
2024-04-01 13:30:00,2024-04-01 18:30:00,13.38
2024-04-01 13:45:00,2024-04-01 18:45:00,13.3
2024-04-01 13:45:00,2024-04-01 18:45:00,12.7
2024-04-01 14:00:00,2024-04-01 19:00:00,12.99
2024-04-01 14:00:00,2024-04-01 19:00:00,12.36
2024-04-01 14:15:00,2024-04-01 19:15:00,13.52
2024-04-01 14:15:00,2024-04-01 19:15:00,13.035
2024-04-01 14:30:00,2024-04-01 19:30:00,12.12
2024-04-01 14:30:00,2024-04-01 19:30:00,11.81
2024-04-01 14:45:00,2024-04-01 19:45:00,9.94
2024-04-01 14:45:00,2024-04-01 19:45:00,9.46
2024-04-01 15:00:00,2024-04-01 20:00:00,7.55
2024-04-01 15:00:00,2024-04-01 20:00:00,7.03
2024-04-01 15:15:00,2024-04-01 20:15:00,3.71
2024-04-01 15:15:00,2024-04-01 20:15:00,2.41
2024-04-01 15:30:00,2024-04-01 20:30:00,3.88
2024-04-01 15:30:00,2024-04-01 20:30:00,2.65
2024-04-01 15:45:00,2024-04-01 20:45:00,2.32
2024-04-01 15:45:00,2024-04-01 20:45:00,1.43
2024-04-01 16:00:00,2024-04-01 21:00:00,1.77
2024-04-01 16:00:00,2024-04-01 21:00:00,0.96
2024-04-01 16:15:00,2024-04-01 21:15:00,1.42
2024-04-01 16:15:00,2024-04-01 21:15:00,0.69
2024-04-01 16:30:00,2024-04-01 21:30:00,1.22
2024-04-01 16:30:00,2024-04-01 21:30:00,0.56
2024-04-01 16:45:00,2024-04-01 21:45:00,-2.92
2024-04-01 16:45:00,2024-04-01 21:45:00,5.375
2024-04-01 17:00:00,2024-04-01 22:00:00,-4.28
2024-04-01 17:00:00,2024-04-01 22:00:00,6.585
2024-04-01 17:15:00,2024-04-01 22:15:00,-1.98
2024-04-01 17:15:00,2024-04-01 22:15:00,3.91
2024-04-01 17:30:00,2024-04-01 22:30:00,-0.22
2024-04-01 17:30:00,2024-04-01 22:30:00,3.39
2024-04-01 17:45:00,2024-04-01 22:45:00,2.4
2024-04-01 17:45:00,2024-04-01 22:45:00,2.09
2024-04-01 18:00:00,2024-04-01 23:00:00,2.38
2024-04-01 18:00:00,2024-04-01 23:00:00,2.27
2024-04-01 18:15:00,2024-04-01 23:15:00,5.24
2024-04-01 18:15:00,2024-04-01 23:15:00,5.0
2024-04-01 18:30:00,2024-04-01 23:30:00,6.8
2024-04-01 18:30:00,2024-04-01 23:30:00,6.25
2024-04-01 18:45:00,2024-04-01 23:45:00,12.27
2024-04-01 18:45:00,2024-04-01 23:45:00,11.29
