month_num,year,avg_daily_norm_rev,std_dev_daily_norm_rev,data_points
1,2021,0.0,0.0,403
2,2021,0.0,0.0,413
3,2021,0.0,0.0,488
4,2021,0.0,0.0,557
5,2021,0.01297701845584767,0.27289804215435703,621
6,2021,0.0050704225352112674,0.1351055925073443,710
7,2021,0.0,0.0,879
8,2021,0.0,0.0,952
9,2021,0.0,0.0,959
10,2021,0.24881294301758264,7.646428118666977,1065
11,2021,0.07667340659340657,1.7566911428809533,1050
12,2021,0.5480298256576892,16.30158538662762,1231
1,2022,0.03266593580607832,1.1609052615591275,1263
2,2022,0.0,0.0,1174
3,2022,0.0,0.0,1328
4,2022,0.0,0.0,1336
5,2022,0.461203678929766,17.387251230578794,1610
6,2022,0.3180770650380882,4.264758520438719,1642
7,2022,1.9560636936273237,16.063892905069984,1706
8,2022,2.077299556146279,12.371792388145755,1790
9,2022,1.3001103086184442,10.021854335851225,1851
10,2022,1.2295510961821479,7.746848077348912,1996
11,2022,0.9492354359242288,7.4654412448650955,2030
12,2022,0.582301721317435,12.599068711891606,2116
1,2023,1.402836462319127,9.952772807157663,2120
2,2023,1.0428811410864725,7.649369547690709,2082
3,2023,2.8674421626239286,20.23499408476889,2431
4,2023,2.860273721176768,19.660591441024287,2465
5,2023,5.092867357772658,14.643095860792199,2680
6,2023,1.6832105440736693,9.613530867816372,2991
7,2023,2.299084200447099,19.908784655132063,3157
8,2023,12.755028661785369,107.11959665067349,3371
9,2023,2.80739709333634,28.206073042097394,3385
10,2023,1.7802658728554792,20.34720519775112,3551
11,2023,3.1857087535285626,19.354484034748825,3725
12,2023,3.1082147172768937,11.806337730291462,4408
1,2024,2.6766558616645093,34.29429778692698,4409
2,2024,1.440848180977428,8.52182060321249,4238
3,2024,4.476552798755263,24.356081182905385,4779
4,2024,5.479600105232864,25.854306209276775,4693
5,2024,10.323401475515475,76.61856598716935,5064
6,2024,5.6913784004854024,21.925883692221834,4879
7,2024,5.617938002522237,17.487443751071183,5100
8,2024,16.10737715454274,60.495485241337875,5445
9,2024,7.676109907793138,22.693924912072834,5426
10,2024,18.41601286564513,55.693863365515796,5651
11,2024,7.506178769519509,23.579220068874125,5561
12,2024,5.981597261205559,18.563707869946793,5878
