hour_ending,avg_lmp,p90,p99
0.0,19.839344262295125,24.311,37.70779999999999
1.0,18.3431762295082,22.785,30.126799999999992
2.0,17.13120901639344,22.077,27.797199999999997
3.0,16.778606557377064,21.116,26.936799999999998
4.0,17.152540983606567,21.399,28.9039
5.0,18.90551229508195,23.149,35.3725
6.0,20.676454918032796,26.935000000000002,42.4946
7.0,18.937336065573795,24.535,36.32839999999998
8.0,15.23571721311475,21.603,26.2989
9.0,14.86276639344262,22.005,27.885499999999993
10.0,19.44303278688525,26.488000000000003,54.176500000000004
11.0,21.946618852459014,31.026000000000003,61.465899999999976
12.0,26.1478893442623,37.897000000000006,78.04939999999999
13.0,28.613893442622928,47.08800000000001,79.41839999999998
14.0,30.272725409836053,47.173,111.6177
15.0,30.97907786885244,46.77300000000001,105.92829999999998
16.0,30.796618852459005,47.695,93.20549999999999
17.0,29.88704918032787,48.367000000000004,92.6771
18.0,37.226946721311485,61.788000000000004,169.10829999999993
19.0,90.63245901639343,96.012,913.0500999999988
20.0,66.00797131147547,85.691,437.61439999999953
21.0,29.553852459016387,42.86600000000001,75.91329999999995
22.0,23.608504098360648,28.846000000000004,47.1562
23.0,20.968831967213134,25.159000000000002,36.6908
