hr,avg_abs_loss,avg_abs_loss_share,avg_abs_lmp
0,1.8232154304029338,0.05413535687574648,33.45867292429784
1,1.613042998477927,0.05158664511425969,30.722127092846303
2,1.476127946127947,0.04971412661991929,28.982015993266018
3,1.4009664987790031,0.04884522015427354,27.847283272283263
4,1.3674160561660573,0.04796018317041615,27.999953449328494
5,1.5551030219780169,0.04983430238288554,30.495280067155093
6,1.9355158730158666,0.05429441479200023,35.207184256715536
7,2.3350511294261254,0.05910629626102931,40.5048187576312
8,2.2996924603174578,0.060216515819507196,39.82543765262514
9,2.1887614468864487,0.06135540130279527,37.461739735958474
10,2.3378710317460345,0.06360092534691197,40.03198000610496
11,2.399152167277172,0.06418525730033083,38.49784455128213
12,2.4082764804639845,0.06498212909132535,39.06188186813174
13,2.4527871260683773,0.06501997036483405,39.015784302502965
14,2.5137211920024494,0.06579467100066495,40.811171779609126
15,2.770779914529913,0.06639336398705763,43.14180898962158
16,3.0762870115995185,0.06698975643441331,47.281057692307854
17,3.8118200549450556,0.06814176525927752,57.91168746184363
18,3.755964781746027,0.06711227786657108,57.06284130799771
19,3.2391639957264977,0.06454635322316249,53.41868933150203
20,2.8449637515262522,0.06259065865289695,47.832369887057254
21,2.4693143315018338,0.06110663499479187,41.41504273504266
22,2.210924526862023,0.06027361048500133,37.16282547313803
23,2.008214285714287,0.057634399881980526,34.719206730769294
