year,hour,avg_solar_generation_mw
2021,0,0.03946593351610694
2021,1,0.04256658424657535
2021,2,0.05266983390410959
2021,3,0.05011247328767124
2021,4,0.05215174589041099
2021,5,0.04502869726027395
2021,6,0.09970977808219175
2021,7,29.621309411643818
2021,8,355.82545444931515
2021,9,851.551865523972
2021,10,1039.8068734301378
2021,11,1121.3346824383557
2021,12,1159.9292157931507
2021,13,1168.2933579089038
2021,14,1165.9937691698628
2021,15,1136.5611744630135
2021,16,1044.7436560157535
2021,17,820.5215981082192
2021,18,566.4749203993148
2021,19,263.248342340411
2021,20,36.792889579452066
2021,21,0.18302391917808228
2021,22,0.08238632534246573
2021,23,0.05680087739726029
2022,0,0.011915154794520546
2022,1,0.010624717123287672
2022,2,0.011352367465753424
2022,3,0.013825065068493151
2022,4,0.014544280136986304
2022,5,0.01613233082191781
2022,6,0.2759317342465754
2022,7,69.47290369383565
2022,8,632.5634126328766
2022,9,1361.09258280822
2022,10,1626.799063502055
2022,11,1726.0596805020548
2022,12,1762.554198198631
2022,13,1771.952533667809
2022,14,1761.5547321212332
2022,15,1710.7178233301374
2022,16,1573.42860909863
2022,17,1266.9100968376708
2022,18,858.062759662329
2022,19,394.84934213630135
2022,20,54.10690791849317
2022,21,0.07397379657534243
2022,22,0.006543632191780818
2022,23,0.010263071232876715
2023,0,0.014441632876712325
2023,1,0.004012839726027399
2023,2,0.0022418087671232873
2023,3,0.0016804069863013687
2023,4,0.002379484931506848
2023,5,0.004906665753424662
2023,6,0.30935585205479477
2023,7,95.15458404383564
2023,8,845.2875903280824
2023,9,1795.5556717945199
2023,10,2158.346968024657
2023,11,2316.822938473288
2023,12,2401.59238679726
2023,13,2426.4030431020537
2023,14,2404.5614292595887
2023,15,2324.3469035404105
2023,16,2098.4716570595892
2023,17,1642.4507512643838
2023,18,1119.856662019178
2023,19,499.19312264452043
2023,20,64.42312716232878
2023,21,0.11995258287671236
2023,22,0.027411503424657528
2023,23,0.0038408335616438353
2024,0,0.03151603756830601
2024,1,0.02806348121584696
2024,2,0.024016494672131135
2024,3,0.05359005655737701
2024,4,0.09863266734972695
2024,5,0.13222284016393449
2024,6,0.8992148510928958
2024,7,156.06782619467214
2024,8,1297.9869384952187
2024,9,2705.0614889132507
2024,10,3242.5517593920745
2024,11,3461.4035084986344
2024,12,3570.918613859975
2024,13,3600.4252232486315
2024,14,3588.084804096312
2024,15,3473.4392897527323
2024,16,3125.0261206851083
2024,17,2398.3011289576507
2024,18,1577.3806185553285
2024,19,659.9721791734974
2024,20,79.8801760635246
2024,21,0.3544679221311478
2024,22,0.037252596311475365
2024,23,0.032293630464480826
