year,mon,lmp
2023,1,23.72
2023,1,23.72
2023,1,22.25
2023,1,22.26
2023,1,21.93
2023,1,21.94
2023,1,20.99
2023,1,21.0
2023,1,20.53
2023,1,20.53
2023,1,20.07
2023,1,20.07
2023,1,19.39
2023,1,19.4
2023,1,20.81
2023,1,20.82
2023,1,66.05
2023,1,66.09
2023,1,37.86
2023,1,37.88
2023,1,26.9
2023,1,26.94
2023,1,22.31
2023,1,22.35
2023,1,22.03
2023,1,22.04
2023,1,21.68
2023,1,21.69
2023,1,21.26
2023,1,21.27
2023,1,16.28
2023,1,16.31
2023,1,15.22
2023,1,15.24
2023,1,16.64
2023,1,16.66
2023,1,17.84
2023,1,17.86
2023,1,19.2
2023,1,19.22
2023,1,21.87
2023,1,21.89
2023,1,26.8
2023,1,26.85
2023,1,29.1
2023,1,29.19
2023,1,23.77
2023,1,23.87
2023,1,20.15
2023,1,20.19
2023,1,19.26
2023,1,19.3
2023,1,19.38
2023,1,19.42
2023,1,19.9
2023,1,19.91
2023,1,20.26
2023,1,20.28
2023,1,20.75
2023,1,20.76
2023,1,21.67
2023,1,21.72
2023,1,25.18
2023,1,25.26
2023,1,70.9
2023,1,71.07
2023,1,48.11
2023,1,48.24
2023,1,33.24
2023,1,33.4
2023,1,30.08
2023,1,30.23
2023,1,27.68
2023,1,27.82
2023,1,23.03
2023,1,23.08
2023,1,22.47
2023,1,22.49
2023,1,18.96
2023,1,18.98
2023,1,15.34
2023,1,15.37
2023,1,13.03
2023,1,13.07
2023,1,12.31
2023,1,12.35
2023,1,13.97
2023,1,14.02
2023,1,17.33
2023,1,17.38
2023,1,28.84
2023,1,28.93
2023,1,29.19
2023,1,29.29
2023,1,23.86
2023,1,23.96
2023,1,20.49
2023,1,20.61
2023,1,19.53
2023,1,19.65
2023,1,19.47
2023,1,19.62
2023,1,19.71
2023,1,19.88
2023,1,19.1
2023,1,19.24
2023,1,21.27
2023,1,21.44
2023,1,22.29
2023,1,22.42
2023,1,25.93
2023,1,26.04
2023,1,54.89
2023,1,54.99
2023,1,33.5
2023,1,33.61
2023,1,22.35
2023,1,22.47
2023,1,20.17
2023,1,20.28
2023,1,17.81
2023,1,17.95
2023,1,19.95
2023,1,20.05
2023,1,16.25
2023,1,16.33
2023,1,10.38
2023,1,10.69
2023,1,7.87
2023,1,8.09
2023,1,7.51
2023,1,7.79
2023,1,7.61
2023,1,7.77
2023,1,10.34
2023,1,10.53
2023,1,14.17
2023,1,14.32
2023,1,28.4
2023,1,28.55
2023,1,28.05
2023,1,28.26
2023,1,21.27
2023,1,21.52
2023,1,18.36
2023,1,18.67
2023,1,19.18
2023,1,19.74
2023,1,20.09
2023,1,20.78
2023,1,20.43
2023,1,21.1
2023,1,21.75
2023,1,22.28
2023,1,22.16
2023,1,22.75
2023,1,22.27
2023,1,22.88
2023,1,25.89
2023,1,26.25
2023,1,48.27
2023,1,48.57
2023,1,36.86
2023,1,37.12
2023,1,24.66
2023,1,25.05
2023,1,20.69
2023,1,21.04
2023,1,19.36
2023,1,19.76
2023,1,18.0
2023,1,18.39
2023,1,15.51
2023,1,15.62
2023,1,11.72
2023,1,12.69
2023,1,9.39
2023,1,9.97
2023,1,10.26
2023,1,10.57
2023,1,11.65
2023,1,11.97
2023,1,13.16
2023,1,13.35
2023,1,17.84
2023,1,17.97
2023,1,31.46
2023,1,31.57
2023,1,27.02
2023,1,27.31
2023,1,20.61
2023,1,21.06
2023,1,17.48
2023,1,18.14
2023,1,17.47
2023,1,18.4
2023,1,18.76
2023,1,19.75
2023,1,20.51
2023,1,21.23
2023,1,21.49
2023,1,22.1
2023,1,23.38
2023,1,23.71
2023,1,23.39
2023,1,23.81
2023,1,23.74
2023,1,23.95
2023,1,44.89
2023,1,44.97
2023,1,49.64
2023,1,49.68
2023,1,41.65
2023,1,41.77
2023,1,36.96
2023,1,37.06
2023,1,36.36
2023,1,36.41
2023,1,35.02
2023,1,35.05
2023,1,30.04
2023,1,30.09
2023,1,25.25
2023,1,25.24
2023,1,25.2
2023,1,25.21
2023,1,25.28
2023,1,25.27
2023,1,25.5
2023,1,25.51
2023,1,26.77
2023,1,26.79
2023,1,37.77
2023,1,37.81
2023,1,63.04
2023,1,63.17
2023,1,72.85
2023,1,73.05
2023,1,40.0
2023,1,40.24
2023,1,30.97
2023,1,31.14
2023,1,28.2
2023,1,28.33
2023,1,25.65
2023,1,25.72
2023,1,24.97
2023,1,25.0
2023,1,23.7
2023,1,23.71
2023,1,22.56
2023,1,22.55
2023,1,22.07
2023,1,22.08
2023,1,25.26
2023,1,25.29
2023,1,45.71
2023,1,45.78
2023,1,35.0
2023,1,35.05
2023,1,27.33
2023,1,27.41
2023,1,27.81
2023,1,27.89
2023,1,25.34
2023,1,25.41
2023,1,25.14
2023,1,25.17
2023,1,25.86
2023,1,25.88
2023,1,20.72
2023,1,20.73
2023,1,20.37
2023,1,20.39
2023,1,20.73
2023,1,20.75
2023,1,20.9
2023,1,20.92
2023,1,21.62
2023,1,21.63
2023,1,24.07
2023,1,24.09
2023,1,29.16
2023,1,29.23
2023,1,30.59
2023,1,30.66
2023,1,28.38
2023,1,28.44
2023,1,21.33
2023,1,21.4
2023,1,19.22
2023,1,19.31
2023,1,17.48
2023,1,17.53
2023,1,15.28
2023,1,15.35
2023,1,11.86
2023,1,11.92
2023,1,9.99
2023,1,10.06
2023,1,9.64
2023,1,9.75
2023,1,11.46
2023,1,11.61
2023,1,19.27
2023,1,19.39
2023,1,20.19
2023,1,20.36
2023,1,17.73
2023,1,17.99
2023,1,15.59
2023,1,15.75
2023,1,14.73
2023,1,14.83
2023,1,14.42
2023,1,14.53
2023,1,9.68
2023,1,9.74
2023,1,6.02
2023,1,6.05
2023,1,4.69
2023,1,4.71
2023,1,4.13
2023,1,4.15
2023,1,4.79
2023,1,4.81
2023,1,5.38
2023,1,5.44
2023,1,7.03
2023,1,7.08
2023,1,11.52
2023,1,11.6
2023,1,15.15
2023,1,15.21
2023,1,15.21
2023,1,15.24
2023,1,10.8
2023,1,10.89
2023,1,9.22
2023,1,9.27
2023,1,8.44
2023,1,8.55
2023,1,8.81
2023,1,8.91
2023,1,9.28
2023,1,9.38
2023,1,9.3
2023,1,9.42
2023,1,9.8
2023,1,9.91
2023,1,15.31
2023,1,15.31
2023,1,26.61
2023,1,26.63
2023,1,24.37
2023,1,24.38
2023,1,19.98
2023,1,20.13
2023,1,16.0
2023,1,16.03
2023,1,13.67
2023,1,13.82
2023,1,12.64
2023,1,12.66
2023,1,6.14
2023,1,6.13
2023,1,5.36
2023,1,5.57
2023,1,3.65
2023,1,3.76
2023,1,4.47
2023,1,4.58
2023,1,5.58
2023,1,5.7
2023,1,7.62
2023,1,7.74
2023,1,14.33
2023,1,14.46
2023,1,21.7
2023,1,21.82
2023,1,24.98
2023,1,25.09
2023,1,23.91
2023,1,23.98
2023,1,22.37
2023,1,22.42
2023,1,18.32
2023,1,18.41
2023,1,21.32
2023,1,21.49
2023,1,24.8
2023,1,25.08
2023,1,21.06
2023,1,21.4
2023,1,21.59
2023,1,21.92
2023,1,21.47
2023,1,21.77
2023,1,25.02
2023,1,25.28
2023,1,52.99
2023,1,53.16
2023,1,48.7
2023,1,48.77
2023,1,31.98
2023,1,32.04
2023,1,27.7
2023,1,27.76
2023,1,20.03
2023,1,20.11
2023,1,22.75
2023,1,22.82
2023,1,19.65
2023,1,19.82
2023,1,17.23
2023,1,17.37
2023,1,16.8
2023,1,16.92
2023,1,17.89
2023,1,17.93
2023,1,19.94
2023,1,19.97
2023,1,23.8
2023,1,23.84
2023,1,26.68
2023,1,26.72
2023,1,31.44
2023,1,31.47
2023,1,29.94
2023,1,29.97
2023,1,26.6
2023,1,26.61
2023,1,30.94
2023,1,30.94
2023,1,32.76
2023,1,32.76
2023,1,31.27
2023,1,31.27
2023,1,29.67
2023,1,29.7
2023,1,26.11
2023,1,26.17
2023,1,24.66
2023,1,24.82
2023,1,22.73
2023,1,22.84
2023,1,29.94
2023,1,30.1
2023,1,74.23
2023,1,74.27
2023,1,50.77
2023,1,50.78
2023,1,34.97
2023,1,34.96
2023,1,27.89
2023,1,27.94
2023,1,24.1
2023,1,24.13
2023,1,22.61
2023,1,22.65
2023,1,19.98
2023,1,20.04
2023,1,17.28
2023,1,17.34
2023,1,12.02
2023,1,12.15
2023,1,10.9
2023,1,10.98
2023,1,11.77
2023,1,11.93
2023,1,14.84
2023,1,15.0
2023,1,19.91
2023,1,20.09
2023,1,29.23
2023,1,29.49
2023,1,26.47
2023,1,26.77
2023,1,24.32
2023,1,24.55
2023,1,18.08
2023,1,18.37
2023,1,17.47
2023,1,17.79
2023,1,17.52
2023,1,18.06
2023,1,17.66
2023,1,18.17
2023,1,17.64
2023,1,18.04
2023,1,17.13
2023,1,17.64
2023,1,17.59
2023,1,18.04
2023,1,21.57
2023,1,21.91
2023,1,39.48
2023,1,39.84
2023,1,41.64
2023,1,41.93
2023,1,28.86
2023,1,29.2
2023,1,26.21
2023,1,26.52
2023,1,22.21
2023,1,22.45
2023,1,21.48
2023,1,21.62
2023,1,18.98
2023,1,19.1
2023,1,15.83
2023,1,16.0
2023,1,16.36
2023,1,16.41
2023,1,17.61
2023,1,17.64
2023,1,20.1
2023,1,20.15
2023,1,21.44
2023,1,21.5
2023,1,24.96
2023,1,25.0
2023,1,30.6
2023,1,30.64
2023,1,36.07
2023,1,36.12
2023,1,32.49
2023,1,32.51
2023,1,25.88
2023,1,25.87
2023,1,25.5
2023,1,25.52
2023,1,25.44
2023,1,25.44
2023,1,25.77
2023,1,25.79
2023,1,24.98
2023,1,24.97
2023,1,23.36
2023,1,23.38
2023,1,23.0
2023,1,23.02
2023,1,27.31
2023,1,27.33
2023,1,54.45
2023,1,54.5
2023,1,44.6
2023,1,44.62
2023,1,32.92
2023,1,33.01
2023,1,30.59
2023,1,30.68
2023,1,24.5
2023,1,24.55
2023,1,21.42
2023,1,21.43
2023,1,20.5
2023,1,20.52
2023,1,17.96
2023,1,17.96
2023,1,16.13
2023,1,16.14
2023,1,15.97
2023,1,15.97
2023,1,16.45
2023,1,16.46
2023,1,16.82
2023,1,16.82
2023,1,20.3
2023,1,20.3
2023,1,26.2
2023,1,26.2
2023,1,25.25
2023,1,25.28
2023,1,21.16
2023,1,21.2
2023,1,20.15
2023,1,20.23
2023,1,18.18
2023,1,18.26
2023,1,18.07
2023,1,18.17
2023,1,17.39
2023,1,17.58
2023,1,17.1
2023,1,17.3
2023,1,16.66
2023,1,16.91
2023,1,16.18
2023,1,16.38
2023,1,17.19
2023,1,17.39
2023,1,23.04
2023,1,23.19
2023,1,24.56
2023,1,24.71
2023,1,22.23
2023,1,22.35
2023,1,20.46
2023,1,20.57
2023,1,19.14
2023,1,19.27
2023,1,19.43
2023,1,19.48
2023,1,16.71
2023,1,16.78
2023,1,17.45
2023,1,17.47
2023,1,17.78
2023,1,17.78
2023,1,19.92
2023,1,19.92
2023,1,20.2
2023,1,20.2
2023,1,22.37
2023,1,22.37
2023,1,23.5
2023,1,23.51
2023,1,24.46
2023,1,24.47
2023,1,30.09
2023,1,30.11
2023,1,33.37
2023,1,33.38
2023,1,30.0
2023,1,30.01
2023,1,25.13
2023,1,25.14
2023,1,20.5
2023,1,20.53
2023,1,19.47
2023,1,19.48
2023,1,18.53
2023,1,18.56
2023,1,15.89
2023,1,15.97
2023,1,14.87
2023,1,14.98
2023,1,15.68
2023,1,15.8
2023,1,26.87
2023,1,27.0
2023,1,28.13
2023,1,28.23
2023,1,25.3
2023,1,25.4
2023,1,24.76
2023,1,24.85
2023,1,21.32
2023,1,21.41
2023,1,22.48
2023,1,22.56
2023,1,20.3
2023,1,20.36
2023,1,23.22
2023,1,23.22
2023,1,21.16
2023,1,21.16
2023,1,21.73
2023,1,21.73
2023,1,23.75
2023,1,23.75
2023,1,24.72
2023,1,24.72
2023,1,25.76
2023,1,25.75
2023,1,26.44
2023,1,26.42
2023,1,33.49
2023,1,33.47
2023,1,31.77
2023,1,31.77
2023,1,25.19
2023,1,25.19
2023,1,22.1
2023,1,22.1
2023,1,20.82
2023,1,20.83
2023,1,20.01
2023,1,20.01
2023,1,19.64
2023,1,19.64
2023,1,18.94
2023,1,18.94
2023,1,19.02
2023,1,19.02
2023,1,22.59
2023,1,22.6
2023,1,43.44
2023,1,43.45
2023,1,48.74
2023,1,48.74
2023,1,43.78
2023,1,43.79
2023,1,30.9
2023,1,30.91
2023,1,28.44
2023,1,28.44
2023,1,24.92
2023,1,24.92
2023,1,22.92
2023,1,22.92
2023,1,22.76
2023,1,22.75
2023,1,20.68
2023,1,20.68
2023,1,20.71
2023,1,20.71
2023,1,21.18
2023,1,21.18
2023,1,20.61
2023,1,20.6
2023,1,24.05
2023,1,24.07
2023,1,40.13
2023,1,40.17
2023,1,37.66
2023,1,39.66
2023,1,30.66
2023,1,31.66
2023,1,22.45
2023,1,23.23
2023,1,19.6
2023,1,20.46
2023,1,18.59
2023,1,19.36
2023,1,17.02
2023,1,17.81
2023,1,14.43
2023,1,15.14
2023,1,12.58
2023,1,13.52
2023,1,11.7
2023,1,12.65
2023,1,13.63
2023,1,14.36
2023,1,22.43
2023,1,23.0
2023,1,29.99
2023,1,30.44
2023,1,26.9
2023,1,27.32
2023,1,25.56
2023,1,26.02
2023,1,22.55
2023,1,23.25
2023,1,19.38
2023,1,19.82
2023,1,18.05
2023,1,18.52
2023,1,21.21
2023,1,21.53
2023,1,21.32
2023,1,21.55
2023,1,21.56
2023,1,21.83
2023,1,21.95
2023,1,22.23
2023,1,24.67
2023,1,24.9
2023,1,26.74
2023,1,26.89
2023,1,41.14
2023,1,41.43
2023,1,49.33
2023,1,49.66
2023,1,42.96
2023,1,43.27
2023,1,33.64
2023,1,33.83
2023,1,28.38
2023,1,28.59
2023,1,28.75
2023,1,28.99
2023,1,27.44
2023,1,27.88
2023,1,24.48
2023,1,24.93
2023,1,23.19
2023,1,23.68
2023,1,21.69
2023,1,21.99
2023,1,23.89
2023,1,24.19
2023,1,40.28
2023,1,40.62
2023,1,37.6
2023,1,37.86
2023,1,36.21
2023,1,36.7
2023,1,35.31
2023,1,35.68
2023,1,31.45
2023,1,31.81
2023,1,26.49
2023,1,26.72
2023,1,25.27
2023,1,25.77
2023,1,21.22
2023,1,21.19
2023,1,19.55
2023,1,19.54
2023,1,19.38
2023,1,19.38
2023,1,19.66
2023,1,19.71
2023,1,22.97
2023,1,23.03
2023,1,26.76
2023,1,26.97
2023,1,46.72
2023,1,46.92
2023,1,45.88
2023,1,46.44
2023,1,32.82
2023,1,33.33
2023,1,25.21
2023,1,25.73
2023,1,23.33
2023,1,24.01
2023,1,22.25
2023,1,22.9
2023,1,21.43
2023,1,21.89
2023,1,20.82
2023,1,21.31
2023,1,20.41
2023,1,20.91
2023,1,20.52
2023,1,21.02
2023,1,23.28
2023,1,23.78
2023,1,40.61
2023,1,41.11
2023,1,51.99
2023,1,52.36
2023,1,47.98
2023,1,48.7
2023,1,41.27
2023,1,41.9
2023,1,37.67
2023,1,38.2
2023,1,30.62
2023,1,30.84
2023,1,27.8
2023,1,28.02
2023,1,21.88
2023,1,21.87
2023,1,20.51
2023,1,20.49
2023,1,20.24
2023,1,20.21
2023,1,20.24
2023,1,20.21
2023,1,22.95
2023,1,22.89
2023,1,28.58
2023,1,28.5
2023,1,52.5
2023,1,52.26
2023,1,50.9
2023,1,50.65
2023,1,31.85
2023,1,31.97
2023,1,25.3
2023,1,25.4
2023,1,23.3
2023,1,23.44
2023,1,20.49
2023,1,20.73
2023,1,19.88
2023,1,20.12
2023,1,19.46
2023,1,19.93
2023,1,18.13
2023,1,18.27
2023,1,18.02
2023,1,18.16
2023,1,20.05
2023,1,20.24
2023,1,35.31
2023,1,35.38
2023,1,35.06
2023,1,35.05
2023,1,32.48
2023,1,32.58
2023,1,30.47
2023,1,30.67
2023,1,27.47
2023,1,27.83
2023,1,24.48
2023,1,24.81
2023,1,22.41
2023,1,22.66
2023,1,15.9
2023,1,15.95
2023,1,15.39
2023,1,15.46
2023,1,15.21
2023,1,15.33
2023,1,15.6
2023,1,15.66
2023,1,16.31
2023,1,16.43
2023,1,18.52
2023,1,18.55
2023,1,31.13
2023,1,30.98
2023,1,30.71
2023,1,30.56
2023,1,23.05
2023,1,23.32
2023,1,21.74
2023,1,22.02
2023,1,18.61
2023,1,18.57
2023,1,17.8
2023,1,17.84
2023,1,17.06
2023,1,17.07
2023,1,15.38
2023,1,15.48
2023,1,12.76
2023,1,12.82
2023,1,12.24
2023,1,12.34
2023,1,15.64
2023,1,15.69
2023,1,25.81
2023,1,25.81
2023,1,23.87
2023,1,23.87
2023,1,19.82
2023,1,19.91
2023,1,18.7
2023,1,18.8
2023,1,17.07
2023,1,17.17
2023,1,15.58
2023,1,15.77
2023,1,13.71
2023,1,13.95
2023,1,12.57
2023,1,12.8
2023,1,11.48
2023,1,11.69
2023,1,10.57
2023,1,10.81
2023,1,10.39
2023,1,10.6
2023,1,11.4
2023,1,11.62
2023,1,13.03
2023,1,13.28
2023,1,16.28
2023,1,16.44
2023,1,19.91
2023,1,19.93
2023,1,18.35
2023,1,18.4
2023,1,16.03
2023,1,16.17
2023,1,12.7
2023,1,13.09
2023,1,11.68
2023,1,12.0
2023,1,10.44
2023,1,10.65
2023,1,9.43
2023,1,9.57
2023,1,8.92
2023,1,9.07
2023,1,9.57
2023,1,9.68
2023,1,15.09
2023,1,15.22
2023,1,27.02
2023,1,27.12
2023,1,24.1
2023,1,24.06
2023,1,18.44
2023,1,18.44
2023,1,14.39
2023,1,14.66
2023,1,11.8
2023,1,11.87
2023,1,11.91
2023,1,11.96
2023,1,11.71
2023,1,11.7
2023,1,10.14
2023,1,10.16
2023,1,11.96
2023,1,11.97
2023,1,13.09
2023,1,13.09
2023,1,15.0
2023,1,15.0
2023,1,15.68
2023,1,15.68
2023,1,16.38
2023,1,16.39
2023,1,17.24
2023,1,17.24
