timestamp,avg_price
2023-01-01 00:00:00,15.795
2023-01-01 01:00:00,15.809999999999999
2023-01-01 02:00:00,14.049999999999999
2023-01-01 03:00:00,13.345
2023-01-01 04:00:00,13.185
2023-01-01 05:00:00,13.485
2023-01-01 06:00:00,17.895
2023-01-01 07:00:00,18.97
2023-01-01 08:00:00,16.91
2023-01-01 09:00:00,16.1
2023-01-01 10:00:00,18.36
2023-01-01 11:00:00,19.055
2023-01-01 12:00:00,18.91
2023-01-01 13:00:00,19.62
2023-01-01 14:00:00,20.985
2023-01-01 15:00:00,19.0
2023-01-01 16:00:00,27.855
2023-01-01 17:00:00,39.39
2023-01-01 18:00:00,31.195
2023-01-01 19:00:00,23.265
2023-01-01 20:00:00,20.305
2023-01-01 21:00:00,20.18
2023-01-01 22:00:00,13.75
2023-01-01 23:00:00,8.145
2023-01-02 00:00:00,12.364999999999998
2023-01-02 01:00:00,7.945
2023-01-02 02:00:00,7.135000000000001
2023-01-02 03:00:00,7.375
2023-01-02 04:00:00,11.42
2023-01-02 05:00:00,15.19
2023-01-02 06:00:00,19.419999999999998
2023-01-02 07:00:00,22.055
2023-01-02 08:00:00,22.57
2023-01-02 09:00:00,21.939999999999998
2023-01-02 10:00:00,21.795
2023-01-02 11:00:00,22.32
2023-01-02 12:00:00,20.525
2023-01-02 13:00:00,16.13
2023-01-02 14:00:00,12.23
2023-01-02 15:00:00,9.99
2023-01-02 16:00:00,14.885
2023-01-02 17:00:00,35.629999999999995
2023-01-02 18:00:00,22.765
2023-01-02 19:00:00,13.155000000000001
2023-01-02 20:00:00,9.870000000000001
2023-01-02 21:00:00,15.12
2023-01-02 22:00:00,12.845
2023-01-02 23:00:00,9.615
2023-01-03 00:00:00,14.875
2023-01-03 01:00:00,11.25
2023-01-03 02:00:00,8.195
2023-01-03 03:00:00,12.875
2023-01-03 04:00:00,15.295000000000002
2023-01-03 05:00:00,20.255000000000003
2023-01-03 06:00:00,24.119999999999997
2023-01-03 07:00:00,31.71
2023-01-03 08:00:00,23.68
2023-01-03 09:00:00,18.25
2023-01-03 10:00:00,14.0
2023-01-03 11:00:00,12.309999999999999
2023-01-03 12:00:00,11.925
2023-01-03 13:00:00,13.8
2023-01-03 14:00:00,14.405
2023-01-03 15:00:00,14.765
2023-01-03 16:00:00,19.11
2023-01-03 17:00:00,58.34
2023-01-03 18:00:00,46.879999999999995
2023-01-03 19:00:00,37.0
2023-01-03 20:00:00,35.005
2023-01-03 21:00:00,27.045
2023-01-03 22:00:00,22.29
2023-01-03 23:00:00,21.165
2023-01-04 00:00:00,17.5
2023-01-04 01:00:00,12.620000000000001
2023-01-04 02:00:00,12.035
2023-01-04 03:00:00,12.375
2023-01-04 04:00:00,15.149999999999999
2023-01-04 05:00:00,20.945
2023-01-04 06:00:00,31.23
2023-01-04 07:00:00,37.03
2023-01-04 08:00:00,24.14
2023-01-04 09:00:00,19.740000000000002
2023-01-04 10:00:00,15.425
2023-01-04 11:00:00,14.864999999999998
2023-01-04 12:00:00,15.125
2023-01-04 13:00:00,15.565
2023-01-04 14:00:00,16.92
2023-01-04 15:00:00,20.27
2023-01-04 16:00:00,32.975
2023-01-04 17:00:00,55.33
2023-01-04 18:00:00,62.985
2023-01-04 19:00:00,52.635
2023-01-04 20:00:00,50.055
2023-01-04 21:00:00,44.93
2023-01-04 22:00:00,39.545
2023-01-04 23:00:00,37.870000000000005
2023-01-05 00:00:00,41.26
2023-01-05 01:00:00,37.405
2023-01-05 02:00:00,38.565
2023-01-05 03:00:00,43.18
