market_time_local,timezone,day_ahead_lmp_$per_mwh,mcc_$per_mwh,mcl_$per_mwh
2022-07-02 15:00:00,EST,105.81,-45.57,6.74
2022-07-02 16:00:00,EST,108.5,-44.25,7.09
2022-07-02 17:00:00,EST,122.74,-55.26,7.5
2022-07-02 18:00:00,EST,104.36,-39.01,7.36
2022-07-02 19:00:00,EST,87.39,-23.28,7.37
2022-07-02 20:00:00,EST,84.73,-26.14,6.7
2022-07-02 21:00:00,EST,72.79,-18.49,6.33
2022-07-02 22:00:00,EST,69.25,-15.8,6.44
2022-07-02 23:00:00,EST,67.91,-12.98,6.7
2022-07-03 00:00:00,EST,57.47,-5.45,6.11
2022-07-03 01:00:00,EST,50.46,-0.17,5.75
2022-07-03 02:00:00,EST,49.49,-1.17,5.45
2022-07-03 03:00:00,EST,48.22,-2.33,5.1
2022-07-03 04:00:00,EST,47.06,-2.6,4.69
2022-07-03 05:00:00,EST,44.21,-1.19,4.44
2022-07-03 06:00:00,EST,43.07,-0.87,4.32
2022-07-03 07:00:00,EST,45.07,-3.26,4.14
2022-07-03 08:00:00,EST,47.17,0.0,5.09
2022-07-03 09:00:00,EST,48.93,-0.31,5.52
2022-07-03 10:00:00,EST,52.43,-4.33,5.34
2022-07-03 11:00:00,EST,57.22,-7.69,5.5
2022-07-03 12:00:00,EST,66.0,-17.74,5.36
2022-07-03 13:00:00,EST,70.27,-18.57,5.83
2022-07-03 14:00:00,EST,71.06,-19.72,5.7
2022-07-03 15:00:00,EST,80.89,-30.38,5.61
2022-07-03 16:00:00,EST,93.4,-38.31,6.12
2022-07-03 17:00:00,EST,103.09,-39.77,7.03
2022-07-03 18:00:00,EST,91.03,-15.58,8.32
2022-07-03 19:00:00,EST,80.45,-3.8,8.52
2022-07-03 20:00:00,EST,69.89,-2.96,7.54
2022-07-03 21:00:00,EST,66.6,-5.04,7.18
2022-07-03 22:00:00,EST,57.24,-2.63,6.49
2022-07-03 23:00:00,EST,56.03,-0.68,6.45
2022-07-04 00:00:00,EST,50.6,-0.11,5.53
2022-07-04 01:00:00,EST,46.89,0.0,4.68
2022-07-04 02:00:00,EST,44.52,0.0,4.23
2022-07-04 03:00:00,EST,43.43,0.0,4.16
2022-07-04 04:00:00,EST,42.19,0.0,3.87
2022-07-04 05:00:00,EST,42.04,0.0,3.82
2022-07-04 06:00:00,EST,43.59,0.0,4.18
2022-07-04 07:00:00,EST,45.11,0.0,4.36
2022-07-04 08:00:00,EST,48.37,0.0,5.22
2022-07-04 09:00:00,EST,48.91,-0.06,5.39
2022-07-04 10:00:00,EST,52.84,-0.56,5.81
2022-07-04 11:00:00,EST,59.52,-2.48,6.29
2022-07-04 12:00:00,EST,68.6,-13.93,6.21
2022-07-04 13:00:00,EST,70.9,-16.17,5.99
2022-07-04 14:00:00,EST,76.47,-16.03,6.52
2022-07-04 15:00:00,EST,85.36,-28.18,6.26
2022-07-04 16:00:00,EST,99.7,-30.19,7.5
2022-07-04 17:00:00,EST,107.35,-29.84,8.11
2022-07-04 18:00:00,EST,98.26,-16.15,8.6
2022-07-04 19:00:00,EST,83.87,-0.87,8.82
2022-07-04 20:00:00,EST,74.26,-1.3,7.06
2022-07-04 21:00:00,EST,70.9,-1.81,7.12
2022-07-04 22:00:00,EST,57.31,-0.32,6.29
2022-07-04 23:00:00,EST,55.43,-0.77,5.99
