hour,count,avg_price
0,460,23.023369565217394
1,460,20.691347826086954
2,460,19.068065217391304
3,460,18.323695652173914
4,460,18.355152173913044
5,460,19.349695652173914
6,460,19.439891304347825
7,460,19.026434782608696
8,460,18.245804347826088
9,460,19.211152173913046
10,460,23.24834782608696
11,460,29.065478260869558
12,460,39.25450000000001
13,460,81.7223260869565
14,460,166.51773913043482
15,460,317.14897826086957
16,460,410.7494130434781
17,460,424.39884782608704
18,460,443.7169347826088
19,460,566.6034565217393
20,460,303.55278260869557
21,460,57.581282608695666
22,460,31.565326086956528
23,460,25.527043478260875
