total_observations,min_load_mw,max_load_mw,avg_load_mw,std_dev_load_mw,date,hour,hourly_count,hourly_avg_load
12,4497.5947,4670.679,4567.614683333334,60.619927200847705,2022-01-01,0,12,4567.614683333334
12,4297.085,4533.3545,4368.504741666667,68.48275862164101,2022-01-01,1,12,4368.504741666667
12,4150.704,4263.1147,4209.0841666666665,40.94241697471646,2022-01-01,2,12,4209.0841666666665
12,4048.894,4143.7563,4098.385325,33.026170363685296,2022-01-01,3,12,4098.385325
12,4000.1145,4053.9775,4022.804316666666,19.447105244451606,2022-01-01,4,12,4022.804316666666
12,3983.7612,4064.6523,4031.766158333334,21.286396545786115,2022-01-01,5,12,4031.766158333334
12,4084.3865,4190.603,4135.784733333333,31.353927197034942,2022-01-01,6,12,4135.784733333333
12,4167.764,4262.017,4231.267133333334,28.91010812005653,2022-01-01,7,12,4231.267133333334
12,4277.0073,4386.1074,4324.956166666667,41.173088738913314,2022-01-01,8,12,4324.956166666667
12,4307.068,4444.368,4379.286125,44.412002484609935,2022-01-01,9,12,4379.286125
12,4454.8276,4728.1396,4597.600433333334,105.6119386645822,2022-01-01,10,12,4597.600433333334
12,4742.591,4876.1396,4792.534091666666,37.11345276258787,2022-01-01,11,12,4792.534091666666
12,4842.465,4917.465,4874.791383333333,23.547395045692156,2022-01-01,12,12,4874.791383333333
12,4912.228,4956.5967,4932.352858333333,14.946223186687849,2022-01-01,13,12,4932.352858333333
12,4894.548,4951.395,4928.573216666667,16.412398943251407,2022-01-01,14,12,4928.573216666667
12,4912.953,4973.3145,4939.866875000001,16.458922794814843,2022-01-01,15,12,4939.866875000001
12,4962.954,5130.3477,5041.7331416666675,60.039929035122945,2022-01-01,16,12,5041.7331416666675
12,5137.4746,5210.885,5166.884408333333,24.056634470291325,2022-01-01,17,12,5166.884408333333
12,5157.0264,5204.75,5181.021275,17.898059237558027,2022-01-01,18,12,5181.021275
12,5100.5645,5179.2183,5150.1405,20.26804638385749,2022-01-01,19,12,5150.1405
12,5009.833,5138.9204,5066.448291666667,33.16100855348794,2022-01-01,20,12,5066.448291666667
12,4922.9893,5057.415,4979.559266666667,42.19960012081877,2022-01-01,21,12,4979.559266666667
12,4778.1787,4931.618,4845.737691666666,50.688832226679416,2022-01-01,22,12,4845.737691666666
12,4554.05,4751.128,4653.563016666667,66.9013989593484,2022-01-01,23,12,4653.563016666667
12,4314.626,4539.3545,4428.772158333333,71.07788481200095,2022-01-02,0,12,4428.772158333333
12,4113.6807,4332.8345,4191.060908333333,64.79214663699523,2022-01-02,1,12,4191.060908333333
12,3977.3232,4095.5854,4041.664783333333,39.21619168638536,2022-01-02,2,12,4041.664783333333
12,3928.0483,4013.1362,3959.039491666667,25.59048794616207,2022-01-02,3,12,3959.039491666667
12,3904.3516,3954.8982,3930.047291666666,18.23937211885073,2022-01-02,4,12,3930.047291666666
12,3912.7026,3972.3765,3936.5547083333336,16.248791200100342,2022-01-02,5,12,3936.5547083333336
12,3951.2517,4138.545,4080.340658333333,56.008207655346986,2022-01-02,6,12,4080.340658333333
12,4156.7793,4257.463,4214.726275,33.09489208838827,2022-01-02,7,12,4214.726275
12,4263.255,4461.015,4367.197541666666,65.65788582525839,2022-01-02,8,12,4367.197541666666
12,4467.6494,4624.389,4553.185375,56.421327590228515,2022-01-02,9,12,4553.185375
12,4632.617,4801.7217,4729.200375,57.58032363951356,2022-01-02,10,12,4729.200375
12,4813.961,4910.3184,4869.791574999999,34.96926276663667,2022-01-02,11,12,4869.791574999999
12,4905.7827,4958.324,4934.5826,19.396251089790056,2022-01-02,12,12,4934.5826
12,4904.746,4981.37,4948.317883333333,26.76285228445743,2022-01-02,13,12,4948.317883333333
12,4954.532,5004.804,4975.347383333334,14.54783101414288,2022-01-02,14,12,4975.347383333334
12,4990.1963,5067.8213,5021.35775,20.82022858037545,2022-01-02,15,12,5021.35775
12,5018.6787,5241.834,5121.508266666667,77.06884499874481,2022-01-02,16,12,5121.508266666667
12,5277.35265,5379.9995,5329.512275,36.89195240704195,2022-01-02,17,12,5329.512275
12,5349.4277,5394.2827,5366.769883333333,13.352292919320137,2022-01-02,18,12,5366.769883333333
12,5320.1885,5379.283,5337.641316666667,19.270791562071174,2022-01-02,19,12,5337.641316666667
12,5218.861,5343.0103,5262.704491666666,35.03691244456522,2022-01-02,20,12,5262.704491666666
12,5086.2373,5208.103,5163.902383333333,40.729417968361886,2022-01-02,21,12,5163.902383333333
12,4846.7256,5094.7715,4961.166,78.76123592434907,2022-01-02,22,12,4961.166
12,4615.4014,4819.1313,4717.74075,69.20386002852811,2022-01-02,23,12,4717.74075
