timestamp,zone_name,lmp
2024-07-01 00:00:00,west,19.94
2024-07-01 01:00:00,west,18.37
2024-07-01 02:00:00,west,17.79
2024-07-01 03:00:00,west,17.63
2024-07-01 04:00:00,west,17.88
2024-07-01 05:00:00,west,18.37
2024-07-01 06:00:00,west,19.43
2024-07-01 07:00:00,west,17.66
2024-07-01 08:00:00,west,12.71
2024-07-01 09:00:00,west,8.67
2024-07-01 10:00:00,west,8.45
2024-07-01 11:00:00,west,9.42
2024-07-01 12:00:00,west,7.33
2024-07-01 13:00:00,west,7.67
2024-07-01 14:00:00,west,7.07
2024-07-01 15:00:00,west,8.14
2024-07-01 16:00:00,west,6.28
2024-07-01 17:00:00,west,5.75
2024-07-01 18:00:00,west,5.09
2024-07-01 19:00:00,west,21.07
2024-07-01 20:00:00,west,36.51
2024-07-01 21:00:00,west,27.86
2024-07-01 22:00:00,west,21.37
2024-07-01 23:00:00,west,13.86
2024-07-02 00:00:00,west,7.91
2024-07-02 01:00:00,west,5.91
2024-07-02 02:00:00,west,6.62
2024-07-02 03:00:00,west,6.04
2024-07-02 04:00:00,west,8.46
2024-07-02 05:00:00,west,13.87
2024-07-02 06:00:00,west,13.91
2024-07-02 07:00:00,west,7.77
2024-07-02 08:00:00,west,-2.03
2024-07-02 09:00:00,west,-3.86
2024-07-02 10:00:00,west,-1.76
2024-07-02 11:00:00,west,-1.33
2024-07-02 12:00:00,west,1.43
2024-07-02 13:00:00,west,4.59
2024-07-02 14:00:00,west,8.53
2024-07-02 15:00:00,west,13.96
2024-07-02 16:00:00,west,12.83
2024-07-02 17:00:00,west,11.82
2024-07-02 18:00:00,west,12.4
2024-07-02 19:00:00,west,33.86
2024-07-02 20:00:00,west,46.44
2024-07-02 21:00:00,west,29.7
2024-07-02 22:00:00,west,22.04
2024-07-02 23:00:00,west,17.7
2024-07-03 00:00:00,west,13.85
2024-07-03 01:00:00,west,12.72
2024-07-03 02:00:00,west,12.74
2024-07-03 03:00:00,west,14.05
2024-07-03 04:00:00,west,14.79
2024-07-03 05:00:00,west,15.83
2024-07-03 06:00:00,west,16.27
2024-07-03 07:00:00,west,13.58
2024-07-03 08:00:00,west,9.62
2024-07-03 09:00:00,west,7.07
2024-07-03 10:00:00,west,9.07
2024-07-03 11:00:00,west,14.63
2024-07-03 12:00:00,west,17.76
2024-07-03 13:00:00,west,24.05
2024-07-03 14:00:00,west,23.31
2024-07-03 15:00:00,west,24.18
2024-07-03 16:00:00,west,21.51
2024-07-03 17:00:00,west,18.02
2024-07-03 18:00:00,west,18.41
2024-07-03 19:00:00,west,40.64
2024-07-03 20:00:00,west,46.72
2024-07-03 21:00:00,west,28.15
2024-07-03 22:00:00,west,25.87
2024-07-03 23:00:00,west,20.52
2024-07-04 00:00:00,west,18.2
2024-07-04 01:00:00,west,15.09
2024-07-04 02:00:00,west,13.31
2024-07-04 03:00:00,west,12.49
2024-07-04 04:00:00,west,12.7
2024-07-04 05:00:00,west,13.55
2024-07-04 06:00:00,west,12.97
2024-07-04 07:00:00,west,11.48
2024-07-04 08:00:00,west,8.34
2024-07-04 09:00:00,west,5.52
2024-07-04 10:00:00,west,10.81
2024-07-04 11:00:00,west,17.0
2024-07-04 12:00:00,west,20.39
2024-07-04 13:00:00,west,26.82
2024-07-04 14:00:00,west,28.38
2024-07-04 15:00:00,west,30.89
2024-07-04 16:00:00,west,36.94
2024-07-04 17:00:00,west,40.17
2024-07-04 18:00:00,west,43.69
2024-07-04 19:00:00,west,88.75
2024-07-04 20:00:00,west,87.11
2024-07-04 21:00:00,west,44.66
2024-07-04 22:00:00,west,32.33
2024-07-04 23:00:00,west,24.99
