day_of_week_num,day_type,system_energy_price_da
2,Weekday,34.81
2,Weekday,31.23
2,Weekday,31.23
2,Weekday,27.37
2,Weekday,27.37
2,Weekday,23.43
2,Weekday,23.43
2,Weekday,19.47
2,Weekday,19.47
3,Weekday,17.17
3,Weekday,17.17
3,Weekday,14.96
3,Weekday,14.96
3,Weekday,13.9
3,Weekday,13.9
3,Weekday,14.54
3,Weekday,14.54
3,Weekday,17.21
3,Weekday,17.21
3,Weekday,19.75
3,Weekday,19.75
3,Weekday,19.81
3,Weekday,19.81
3,Weekday,20.24
3,Weekday,20.24
3,Weekday,22.22
3,Weekday,22.22
3,Weekday,23.12
3,Weekday,23.12
3,Weekday,23.9
3,Weekday,23.9
3,Weekday,26.24
3,Weekday,26.24
3,Weekday,27.53
3,Weekday,27.53
3,Weekday,27.6
3,Weekday,27.6
3,Weekday,29.99
3,Weekday,29.99
3,Weekday,34.53
3,Weekday,34.53
3,Weekday,38.52
3,Weekday,38.52
3,Weekday,35.67
3,Weekday,35.67
3,Weekday,28.96
3,Weekday,28.96
3,Weekday,27.76
3,Weekday,27.76
3,Weekday,26.57
3,Weekday,26.57
3,Weekday,20.34
3,Weekday,20.34
3,Weekday,18.24
3,Weekday,18.24
3,Weekday,16.02
3,Weekday,16.02
4,Weekday,15.1
4,Weekday,15.1
4,Weekday,13.0
4,Weekday,13.0
4,Weekday,12.39
4,Weekday,12.39
4,Weekday,12.8
4,Weekday,12.8
4,Weekday,15.83
4,Weekday,15.83
4,Weekday,19.45
4,Weekday,19.45
4,Weekday,19.95
4,Weekday,19.95
4,Weekday,21.61
4,Weekday,21.61
4,Weekday,21.96
4,Weekday,21.96
4,Weekday,24.07
4,Weekday,24.07
4,Weekday,24.42
4,Weekday,24.42
4,Weekday,25.63
4,Weekday,25.63
4,Weekday,28.25
4,Weekday,28.25
4,Weekday,29.0
4,Weekday,29.0
4,Weekday,30.13
4,Weekday,30.13
4,Weekday,31.99
4,Weekday,31.99
4,Weekday,33.7
4,Weekday,33.7
4,Weekday,32.2
4,Weekday,32.2
4,Weekday,31.28
4,Weekday,31.28
4,Weekday,30.45
4,Weekday,30.45
4,Weekday,28.93
4,Weekday,28.93
4,Weekday,22.36
4,Weekday,22.36
4,Weekday,18.71
4,Weekday,18.71
4,Weekday,17.2
4,Weekday,17.2
5,Weekday,15.66
5,Weekday,15.66
5,Weekday,13.88
5,Weekday,13.88
5,Weekday,13.14
5,Weekday,13.14
5,Weekday,13.33
5,Weekday,13.33
5,Weekday,16.53
5,Weekday,16.53
5,Weekday,19.72
5,Weekday,19.72
5,Weekday,20.37
5,Weekday,20.37
5,Weekday,21.73
5,Weekday,21.73
5,Weekday,22.09
5,Weekday,22.09
5,Weekday,23.58
5,Weekday,23.58
5,Weekday,25.26
5,Weekday,25.26
5,Weekday,26.34
5,Weekday,26.34
5,Weekday,27.8
5,Weekday,27.8
5,Weekday,28.26
5,Weekday,28.26
5,Weekday,30.06
5,Weekday,30.06
5,Weekday,31.08
5,Weekday,31.08
5,Weekday,32.03
5,Weekday,32.03
5,Weekday,30.39
5,Weekday,30.39
5,Weekday,29.24
5,Weekday,29.24
5,Weekday,28.43
5,Weekday,28.43
5,Weekday,27.78
5,Weekday,27.78
5,Weekday,21.76
5,Weekday,21.76
5,Weekday,18.68
5,Weekday,18.68
5,Weekday,16.3
5,Weekday,16.3
6,Weekend,14.71
6,Weekend,14.71
6,Weekend,14.75
6,Weekend,14.75
6,Weekend,12.66
6,Weekend,12.66
6,Weekend,12.29
6,Weekend,12.29
6,Weekend,12.36
6,Weekend,12.36
6,Weekend,12.59
6,Weekend,12.59
6,Weekend,14.61
6,Weekend,14.61
6,Weekend,15.46
6,Weekend,15.46
6,Weekend,16.47
6,Weekend,16.47
6,Weekend,16.22
6,Weekend,16.22
6,Weekend,18.9
6,Weekend,18.9
6,Weekend,21.88
6,Weekend,21.88
6,Weekend,22.94
6,Weekend,22.94
6,Weekend,26.32
6,Weekend,26.32
6,Weekend,29.6
6,Weekend,29.6
6,Weekend,33.21
6,Weekend,33.21
6,Weekend,34.28
6,Weekend,34.28
6,Weekend,34.52
6,Weekend,34.52
6,Weekend,31.04
6,Weekend,31.04
6,Weekend,28.39
6,Weekend,28.39
6,Weekend,26.59
6,Weekend,26.59
6,Weekend,21.24
6,Weekend,21.24
6,Weekend,17.09
6,Weekend,17.09
6,Weekend,15.22
6,Weekend,15.22
0,Weekend,11.9
0,Weekend,11.9
0,Weekend,11.42
0,Weekend,11.42
0,Weekend,10.73
0,Weekend,10.73
0,Weekend,10.83
0,Weekend,10.83
0,Weekend,10.4
0,Weekend,10.4
0,Weekend,9.22
0,Weekend,9.22
0,Weekend,9.55
0,Weekend,9.55
0,Weekend,11.12
0,Weekend,11.12
0,Weekend,13.88
0,Weekend,13.88
0,Weekend,16.55
0,Weekend,16.55
0,Weekend,19.08
0,Weekend,19.08
0,Weekend,22.31
0,Weekend,22.31
0,Weekend,25.06
0,Weekend,25.06
0,Weekend,27.18
0,Weekend,27.18
0,Weekend,30.67
0,Weekend,30.67
0,Weekend,35.03
0,Weekend,35.03
0,Weekend,38.7
0,Weekend,38.7
0,Weekend,34.25
0,Weekend,34.25
0,Weekend,29.64
0,Weekend,29.64
0,Weekend,27.3
0,Weekend,27.3
0,Weekend,25.63
0,Weekend,25.63
0,Weekend,19.68
0,Weekend,19.68
0,Weekend,18.05
0,Weekend,18.05
0,Weekend,15.64
0,Weekend,15.64
1,Weekday,15.15
1,Weekday,15.15
1,Weekday,13.16
1,Weekday,13.16
1,Weekday,12.73
1,Weekday,12.73
1,Weekday,13.21
1,Weekday,13.21
1,Weekday,15.55
1,Weekday,15.55
1,Weekday,17.65
1,Weekday,17.65
1,Weekday,20.39
1,Weekday,20.39
1,Weekday,21.16
1,Weekday,21.16
1,Weekday,23.46
1,Weekday,23.46
1,Weekday,23.31
1,Weekday,23.31
1,Weekday,24.21
1,Weekday,24.21
1,Weekday,24.82
1,Weekday,24.82
1,Weekday,25.7
1,Weekday,25.7
1,Weekday,25.02
1,Weekday,25.02
1,Weekday,25.2
1,Weekday,25.2
1,Weekday,25.54
1,Weekday,25.54
1,Weekday,25.88
1,Weekday,25.88
1,Weekday,24.95
1,Weekday,24.95
1,Weekday,24.06
1,Weekday,24.06
1,Weekday,23.25
1,Weekday,23.25
1,Weekday,22.13
1,Weekday,22.13
1,Weekday,18.13
1,Weekday,18.13
1,Weekday,15.34
1,Weekday,15.34
1,Weekday,15.28
1,Weekday,15.28
2,Weekday,13.9
2,Weekday,13.9
2,Weekday,12.35
2,Weekday,12.35
2,Weekday,11.55
2,Weekday,11.55
2,Weekday,11.85
2,Weekday,11.85
2,Weekday,13.52
2,Weekday,13.52
2,Weekday,15.97
2,Weekday,15.97
2,Weekday,17.82
2,Weekday,17.82
2,Weekday,18.29
2,Weekday,18.29
2,Weekday,19.45
2,Weekday,19.45
2,Weekday,20.01
2,Weekday,20.01
2,Weekday,21.13
2,Weekday,21.13
2,Weekday,22.55
2,Weekday,22.55
2,Weekday,24.1
2,Weekday,24.1
2,Weekday,24.63
2,Weekday,24.63
2,Weekday,25.93
2,Weekday,25.93
2,Weekday,27.57
2,Weekday,27.57
2,Weekday,29.57
2,Weekday,29.57
2,Weekday,29.85
2,Weekday,29.85
2,Weekday,29.12
