month_num,year,std_dev_daily_revenue,mean_daily_revenue,coeff_variation_daily,days_in_month,batteries_count
1,2021,0.0,0.0,,31,13
2,2021,0.0,0.0,,28,15
3,2021,0.0,0.0,,31,17
4,2021,0.0,0.0,,30,20
5,2021,0.27112187613275046,0.012825562537530082,21.13918008191807,31,21
6,2021,0.13354712339877448,0.004959816303099885,26.925820481558464,30,24
7,2021,0.0,0.0,,31,29
8,2021,0.0,0.0,,31,31
9,2021,0.0,0.0,,30,32
10,2021,8.091092889753353,0.27884854031811157,29.0160847911307,31,35
11,2021,1.7216891530624903,0.07370193187953336,23.36016314845872,30,35
12,2021,16.017915775096448,0.5294634783921115,30.2531079645759,31,40
1,2022,1.1402520969764713,0.031534071533561976,36.15936799543603,31,41
2,2022,0.0,0.0,,28,42
3,2022,0.0,0.0,,31,44
4,2022,0.0,0.0,,30,46
5,2022,16.973270817319946,0.43971847004160475,38.60031354997208,31,53
6,2022,4.494765769644975,0.3536447756320047,12.709832236634352,30,55
7,2022,16.75547429307791,2.1202214075679833,7.902700271429392,31,56
8,2022,12.87885779871674,2.2576601126301505,5.7045158067274375,31,59
9,2022,10.372238291066397,1.3949593630978125,7.435512865430411,30,63
10,2022,7.939768767995824,1.2861907922223828,6.17308786224232,31,68
11,2022,7.4512790542403655,0.9459734584811902,7.876837333474222,30,69
12,2022,12.596587359093173,0.5823017213174356,21.63240618728358,31,69
1,2023,9.9485167031414,1.4021750589894175,7.095060377347993,31,69
2,2023,7.644235667076092,1.04188029546163,7.3369615495886995,28,77
3,2023,20.2274487154011,2.866263115682058,7.0570802117682625,31,82
4,2023,19.59511358477711,2.8418277802098832,6.895250205249916,30,84
5,2023,14.636018987727004,5.089069544679582,2.8759715030871167,31,91
6,2023,9.610634181222935,1.6826479737046582,5.711613083313773,30,101
7,2023,19.91744999157507,2.3142049634416164,8.60660585653331,31,105
8,2023,107.07504475045025,12.747465644494074,8.399712361389923,31,110
9,2023,28.20260071341145,2.8073970933363372,10.045818163861961,30,115
10,2023,20.344817448497125,1.780265872855479,11.4279657655094,30,120
11,2023,19.35231888567388,3.185708753528538,6.074729481858304,30,129
12,2023,11.80522164001642,3.1082147172769012,3.798071469901199,31,147
1,2024,34.27946682526684,2.6748358327467874,12.81554045508104,30,148
2,2024,8.520982690798487,1.440848180977424,5.913865737761582,28,153
3,2024,24.349034944300826,4.474680155877688,5.441514051527751,31,157
4,2024,25.93940017679941,5.631560283633379,4.606076978734531,30,159
5,2024,76.61226133337915,10.323401475515428,7.421222696325878,31,165
6,2024,21.921915941042386,5.690212134419729,3.8525656729804707,29,172
7,2024,17.486014933283933,5.617938002522226,3.112532556506217,30,176
8,2024,60.47022202749747,16.095553056796703,3.7569521105683648,31,178
9,2024,22.692182107868586,7.676109907793165,2.956208597903264,30,182
10,2024,55.672209878810335,18.402986508180458,3.025172563923961,31,183
11,2024,23.573643968946186,7.503480161297463,3.1416947152786174,30,190
12,2024,18.560976991034394,5.9805798097238565,3.103541392567992,31,192
