year,fuel_category,total_generation_gwh
2021,gas-cc,34581.125875489604
2021,wind,23850.429104958086
2021,coal,18706.888047655113
2021,nuclear,10067.989290055639
2021,gas,6527.096078441743
2021,solar,3927.9120943313837
2021,hydro,125.92036495150018
2021,biomass,108.578932519875
2022,gas-cc,38343.00948103924
2022,wind,26817.724989395207
2022,coal,17878.324529529516
2022,nuclear,10414.9108094296
2022,gas,7407.184214218638
2022,solar,6048.257959574865
2022,biomass,156.3414006342498
2022,hydro,85.93261465062471
2023,gas-cc,41002.775415263
2023,wind,27001.32109187261
2023,coal,15434.841825030995
2023,nuclear,10186.987953359165
2023,gas,9104.638225099494
2023,solar,8100.429326580493
2023,biomass,94.52265052637533
2023,hydro,86.40565394887474
2024,gas-cc,41146.32241585951
2024,wind,27926.076655569854
2024,coal,14580.137036578968
2024,solar,12055.377886405844
2024,gas,9958.212590577878
2024,nuclear,9684.10659749138
2024,hydro,115.19992087762468
2024,biomass,72.56085343562495
