year,month,avg_wind_generation_mw,max_wind_generation_mw,avg_percentage_of_total_generation
2020,1,3467.3225806451615,8023.0,0.03659946236559133
2020,2,3566.8132183908046,7797.0,0.0382902298850574
2020,3,3616.4610215053763,8146.0,0.042768817204301035
2020,4,3677.598611111111,8607.0,0.047972222222222145
2020,5,3010.614247311828,7172.0,0.03860215053763426
2020,6,2275.2,7056.0,0.024333333333333245
2020,7,1266.6370967741937,5601.0,0.011196236559139752
2020,8,1237.614247311828,4774.0,0.011962365591397838
2020,9,2182.2444444444445,7196.0,0.02509722222222215
2020,10,2985.4632454923717,7133.0,0.03678224687933417
2020,11,4458.990277777778,8356.0,0.05279166666666658
2020,12,3746.2419354838707,8859.0,0.03884408602150527
2021,1,3282.494623655914,8961.0,0.03283602150537623
2021,2,3822.5684523809523,8615.0,0.03690476190476183
2021,3,4545.4744623655915,8600.0,0.05306451612903218
2021,4,3745.376388888889,8054.0,0.04638888888888885
2021,5,2880.1881720430106,7865.0,0.035174731182795585
2021,6,2403.9875,6785.0,0.024374999999999945
2021,7,1554.0255376344087,5528.0,0.015026881720430062
2021,8,1541.6021505376343,5971.0,0.013978494623655878
2021,9,3023.3972222222224,7653.0,0.0334027777777777
2021,10,2938.635752688172,7175.0,0.0362499999999999
2021,11,4222.490277777778,8974.0,0.04862499999999998
2021,12,4346.481182795699,8990.0,0.046760752688172
2022,1,4140.1088709677415,8569.0,0.03900537634408592
2022,2,4924.193452380952,8812.0,0.04931547619047618
2022,3,4650.197580645161,8865.0,0.05224462365591396
2022,4,4690.140277777778,8859.0,0.058152777777777734
2022,5,3711.9811827956987,7507.0,0.04372311827956978
2022,6,2655.097222222222,6193.0,0.02676388888888884
2022,7,2116.130376344086,7401.0,0.01934139784946232
2022,8,1794.0067204301076,6531.0,0.016397849462365534
2022,9,2366.325,8076.0,0.026388888888888865
2022,10,4060.0134408602153,8246.0,0.05053763440860209
2022,11,4809.675287356322,9371.0,0.055129310344827494
2022,12,4208.216397849463,9364.0,0.04196236559139777
2023,1,3985.032258064516,9388.0,0.041088709677419316
2023,2,5148.078986587183,9548.0,0.05418181818181813
2023,3,4897.7029569892475,9381.0,0.05339381720430104
2023,4,3988.1827057182704,9183.0,0.04909344490934441
2023,5,2958.97311827957,9339.0,0.03636021505376336
2023,6,2456.175,7779.0,0.025543055555555493
2023,7,1492.3225806451612,5948.0,0.013297043010752648
2023,8,2083.57123655914,6944.0,0.019356182795698857
2023,9,1821.8236111111112,6590.0,0.019426388888888833
2023,10,3546.4919354838707,7665.0,0.04378360215053758
2023,11,4339.125,8592.0,0.04789722222222218
2023,12,3888.7473118279568,9868.0,0.04053091397849451
2024,1,4138.458333333333,9508.0,0.03870161290322575
2024,2,4247.298850574713,9652.0,0.044012931034482734
2024,3,5172.861559139785,9422.0,0.0583736559139785
2024,4,4895.7345767575325,9719.0,0.05914060258249638
2024,5,2861.3669354838707,7900.0,0.03277284946236552
2024,6,3082.5583333333334,8661.0,0.029229166666666626
2024,7,1556.1397849462367,6231.0,0.013553763440860185
2024,8,1650.4381720430108,4802.0,0.015022849462365574
2024,9,2062.3791666666666,8902.0,0.022176388888888864
2024,10,3513.037634408602,8619.0,0.042920698924731174
2024,11,4695.652777777777,8619.0,0.05410000000000001
2024,12,4678.73252688172,9535.0,0.0460793010752688
