timestamp_local,prelim_load_avg_hourly
2023-01-01 05:00:00+00:00,12045.3
2023-01-01 06:00:00+00:00,11909.0
2023-01-01 07:00:00+00:00,11752.2
2023-01-01 08:00:00+00:00,11713.4
2023-01-01 09:00:00+00:00,11752.9
2023-01-01 10:00:00+00:00,11839.0
2023-01-01 11:00:00+00:00,12020.9
2023-01-01 12:00:00+00:00,12358.5
2023-01-01 13:00:00+00:00,12682.8
2023-01-01 14:00:00+00:00,12832.5
2023-01-01 15:00:00+00:00,12602.6
2023-01-01 16:00:00+00:00,12697.5
2023-01-01 17:00:00+00:00,12703.4
2023-01-01 18:00:00+00:00,12636.9
2023-01-01 19:00:00+00:00,12543.3
2023-01-01 20:00:00+00:00,12443.4
2023-01-01 21:00:00+00:00,12609.7
2023-01-01 22:00:00+00:00,13153.8
2023-01-01 23:00:00+00:00,13301.0
2023-01-02 00:00:00+00:00,13208.1
2023-01-02 01:00:00+00:00,12988.4
2023-01-02 02:00:00+00:00,12716.9
2023-01-02 03:00:00+00:00,12413.0
2023-01-02 04:00:00+00:00,12024.9
2023-01-02 05:00:00+00:00,11681.9
2023-01-02 06:00:00+00:00,11590.8
2023-01-02 07:00:00+00:00,11532.3
2023-01-02 08:00:00+00:00,11570.7
2023-01-02 09:00:00+00:00,11804.8
2023-01-02 10:00:00+00:00,12162.9
2023-01-02 11:00:00+00:00,12637.6
2023-01-02 12:00:00+00:00,13032.1
2023-01-02 13:00:00+00:00,13219.1
2023-01-02 14:00:00+00:00,13406.1
2023-01-02 15:00:00+00:00,13524.8
2023-01-02 16:00:00+00:00,13469.0
2023-01-02 17:00:00+00:00,13325.0
2023-01-02 18:00:00+00:00,13208.3
2023-01-02 19:00:00+00:00,13060.6
2023-01-02 20:00:00+00:00,13050.0
2023-01-02 21:00:00+00:00,13253.2
2023-01-02 22:00:00+00:00,13814.3
2023-01-02 23:00:00+00:00,13983.5
2023-01-03 00:00:00+00:00,13856.6
2023-01-03 01:00:00+00:00,13627.7
2023-01-03 02:00:00+00:00,13170.1
2023-01-03 03:00:00+00:00,12715.4
2023-01-03 04:00:00+00:00,12301.1
2023-01-03 05:00:00+00:00,12044.3
2023-01-03 06:00:00+00:00,11770.6
2023-01-03 07:00:00+00:00,11804.3
2023-01-03 08:00:00+00:00,11830.1
2023-01-03 09:00:00+00:00,11992.3
2023-01-03 10:00:00+00:00,12611.2
2023-01-03 11:00:00+00:00,13529.3
2023-01-03 12:00:00+00:00,14265.0
2023-01-03 13:00:00+00:00,14316.8
2023-01-03 14:00:00+00:00,14389.1
2023-01-03 15:00:00+00:00,14387.9
2023-01-03 16:00:00+00:00,14369.3
2023-01-03 17:00:00+00:00,14258.3
2023-01-03 18:00:00+00:00,14234.4
2023-01-03 19:00:00+00:00,14127.7
2023-01-03 20:00:00+00:00,13979.6
2023-01-03 21:00:00+00:00,13983.6
2023-01-03 22:00:00+00:00,14382.0
2023-01-03 23:00:00+00:00,14500.0
2023-01-04 00:00:00+00:00,14370.3
2023-01-04 01:00:00+00:00,14101.7
2023-01-04 02:00:00+00:00,13570.1
2023-01-04 03:00:00+00:00,12996.6
2023-01-04 04:00:00+00:00,12442.1
2023-01-04 05:00:00+00:00,12010.9
2023-01-04 06:00:00+00:00,11714.6
2023-01-04 07:00:00+00:00,11542.9
2023-01-04 08:00:00+00:00,11449.0
2023-01-04 09:00:00+00:00,11682.5
2023-01-04 10:00:00+00:00,12186.4
2023-01-04 11:00:00+00:00,13154.3
2023-01-04 12:00:00+00:00,13991.3
2023-01-04 13:00:00+00:00,14040.5
2023-01-04 14:00:00+00:00,14128.3
2023-01-04 15:00:00+00:00,14131.5
2023-01-04 16:00:00+00:00,14203.5
2023-01-04 17:00:00+00:00,14208.1
2023-01-04 18:00:00+00:00,14056.5
2023-01-04 19:00:00+00:00,13852.3
2023-01-04 20:00:00+00:00,13720.0
2023-01-04 21:00:00+00:00,13808.8
2023-01-04 22:00:00+00:00,14357.1
2023-01-04 23:00:00+00:00,14728.3
2023-01-05 00:00:00+00:00,14630.5
2023-01-05 01:00:00+00:00,14522.8
2023-01-05 02:00:00+00:00,14126.4
2023-01-05 03:00:00+00:00,13698.1
2023-01-05 04:00:00+00:00,13262.4
