timestamp,actual_load
2024-12-01 00:00:00,4999.3213
2024-12-01 00:05:00,4987.0225
2024-12-01 00:10:00,4961.144
2024-12-01 00:15:00,4951.7407
2024-12-01 00:20:00,4964.866
2024-12-01 00:25:00,4920.604
2024-12-01 00:30:00,4898.284
2024-12-01 00:35:00,4872.6455
2024-12-01 00:40:00,4864.7637
2024-12-01 00:45:00,4834.7305
2024-12-01 00:50:00,4837.476
2024-12-01 00:55:00,4823.2256
2024-12-01 01:00:00,4807.66
2024-12-01 01:05:00,4775.762
2024-12-01 01:10:00,4778.1187
2024-12-01 01:15:00,4767.8994
2024-12-01 01:20:00,4756.8477
2024-12-01 01:25:00,4749.199
2024-12-01 01:30:00,4735.1216
2024-12-01 01:35:00,4706.709
2024-12-01 01:40:00,4685.885
2024-12-01 01:45:00,4699.846
2024-12-01 01:50:00,4689.843
2024-12-01 01:55:00,4670.2944
2024-12-01 02:00:00,4649.421
2024-12-01 02:05:00,4639.1597
2024-12-01 02:10:00,4632.5977
2024-12-01 02:15:00,4612.6377
2024-12-01 02:20:00,4629.3223
2024-12-01 02:25:00,4603.29
2024-12-01 02:30:00,4620.383
2024-12-01 02:35:00,4584.0205
2024-12-01 02:40:00,4593.8384
2024-12-01 02:45:00,4559.245
2024-12-01 02:50:00,4567.8916
2024-12-01 02:55:00,4563.08
2024-12-01 03:00:00,4548.426
2024-12-01 03:05:00,4546.1084
2024-12-01 03:10:00,4540.6777
2024-12-01 03:15:00,4542.6685
2024-12-01 03:20:00,4521.399
2024-12-01 03:25:00,4525.128
2024-12-01 03:30:00,4516.374
2024-12-01 03:35:00,4513.0586
2024-12-01 03:40:00,4510.3467
2024-12-01 03:45:00,4505.3857
2024-12-01 03:50:00,4514.839
2024-12-01 03:55:00,4505.0474
2024-12-01 04:00:00,4506.701
2024-12-01 04:05:00,4508.521
2024-12-01 04:10:00,4491.9824
2024-12-01 04:15:00,4509.8633
2024-12-01 04:20:00,4491.684
2024-12-01 04:25:00,4493.047
2024-12-01 04:30:00,4487.9463
2024-12-01 04:35:00,4472.425
2024-12-01 04:40:00,4496.4185
2024-12-01 04:45:00,4510.993
2024-12-01 04:50:00,4480.3184
2024-12-01 04:55:00,4499.7754
2024-12-01 05:00:00,4518.373
2024-12-01 05:05:00,4502.4346
2024-12-01 05:10:00,4508.2676
2024-12-01 05:15:00,4514.6787
2024-12-01 05:20:00,4553.55
2024-12-01 05:25:00,4532.4717
2024-12-01 05:30:00,4548.8975
2024-12-01 05:35:00,4556.309
2024-12-01 05:40:00,4573.126
2024-12-01 05:45:00,4580.4395
2024-12-01 05:50:00,4587.6533
2024-12-01 05:55:00,4588.75
2024-12-01 06:00:00,4591.182
2024-12-01 06:05:00,4594.5605
2024-12-01 06:10:00,4632.5244
2024-12-01 06:15:00,4636.707
2024-12-01 06:20:00,4651.253
2024-12-01 06:25:00,4656.643
2024-12-01 06:30:00,4656.964
2024-12-01 06:35:00,4674.5205
2024-12-01 06:40:00,4674.3965
2024-12-01 06:45:00,4671.414
2024-12-01 06:50:00,4697.8887
2024-12-01 06:55:00,4726.811
2024-12-01 07:00:00,4696.915
2024-12-01 07:05:00,4732.9336
2024-12-01 07:10:00,4772.516
2024-12-01 07:15:00,4762.6167
2024-12-01 07:20:00,4781.0576
2024-12-01 07:25:00,4800.8276
2024-12-01 07:30:00,4805.282
2024-12-01 07:35:00,4795.6104
2024-12-01 07:40:00,4824.2876
2024-12-01 07:45:00,4835.274
2024-12-01 07:50:00,4862.2773
2024-12-01 07:55:00,4874.714
2024-12-01 08:00:00,4888.52
2024-12-01 08:05:00,4890.4844
2024-12-01 08:10:00,4909.9424
2024-12-01 08:15:00,4938.1514
