zone_name,month,avg_monthly_price,count
houston,1,22.87391801075268,2976
houston,2,18.977317708333345,2688
houston,3,25.908075370121164,2972
houston,4,21.114600694444444,2880
houston,5,30.835793010752628,2976
houston,6,62.81970486111115,2880
houston,7,45.62200604838713,2976
houston,8,199.2274731182794,2976
houston,9,86.74345833333345,2880
houston,10,28.444405241935474,2976
houston,11,29.379674063800323,2884
houston,12,20.113891129032282,2976
west,1,20.558659274193538,2976
west,2,17.70113467261904,2688
west,3,27.23793741588152,2972
west,4,18.31017361111113,2880
west,5,30.01036962365585,2976
west,6,61.5867743055556,2880
west,7,42.79558467741935,2976
west,8,196.3676344086018,2976
west,9,89.25598958333329,2880
west,10,29.65733870967741,2976
west,11,31.295221914008312,2884
west,12,25.586391129032247,2976
