timestamp,generation_mw
2024-12-01 00:00:00,1271.822483
2024-12-01 00:15:00,1272.010588
2024-12-01 00:30:00,1271.876172
2024-12-01 00:45:00,1272.089174
2024-12-01 01:00:00,1272.127714
2024-12-01 01:15:00,1271.843237
2024-12-01 01:30:00,1271.643226
2024-12-01 01:45:00,1271.753269
2024-12-01 02:00:00,1271.990047
2024-12-01 02:15:00,1271.799081
2024-12-01 02:30:00,1271.889493
2024-12-01 02:45:00,1271.815393
2024-12-01 03:00:00,1271.918015
2024-12-01 03:15:00,1271.886979
2024-12-01 03:30:00,1271.846671
2024-12-01 03:45:00,1271.72777
2024-12-01 04:00:00,1271.847051
2024-12-01 04:15:00,1271.706915
2024-12-01 04:30:00,1272.035506
2024-12-01 04:45:00,1271.86776
2024-12-01 05:00:00,1271.330852
2024-12-01 05:15:00,1270.736232
2024-12-01 05:30:00,1271.057928
2024-12-01 05:45:00,1271.191849
2024-12-01 06:00:00,1270.920823
2024-12-01 06:15:00,1270.977772
2024-12-01 06:30:00,1270.894203
2024-12-01 06:45:00,1270.934776
2024-12-01 07:00:00,1270.88557
2024-12-01 07:15:00,1271.077387
2024-12-01 07:30:00,1271.06869
2024-12-01 07:45:00,1271.105716
2024-12-01 08:00:00,1271.016473
2024-12-01 08:15:00,1271.058456
2024-12-01 08:30:00,1271.208099
2024-12-01 08:45:00,1271.160383
2024-12-01 09:00:00,1270.826409
2024-12-01 09:15:00,1270.227982
2024-12-01 09:30:00,1270.784333
2024-12-01 09:45:00,1271.392247
2024-12-01 10:00:00,1271.108939
2024-12-01 10:15:00,1271.26553
2024-12-01 10:30:00,1270.995155
2024-12-01 10:45:00,1271.13203
2024-12-01 11:00:00,1271.065573
2024-12-01 11:15:00,1270.948887
2024-12-01 11:30:00,1271.156585
2024-12-01 11:45:00,1271.1282
2024-12-01 12:00:00,1270.920616
2024-12-01 12:15:00,1270.765875
2024-12-01 12:30:00,1270.247853
2024-12-01 12:45:00,1270.442639
2024-12-01 13:00:00,1270.554022
2024-12-01 13:15:00,1270.198065
2024-12-01 13:30:00,1270.39063
2024-12-01 13:45:00,1270.20907
2024-12-01 14:00:00,1269.836178
2024-12-01 14:15:00,1270.053346
2024-12-01 14:30:00,1270.19988
2024-12-01 14:45:00,1270.141919
2024-12-01 15:00:00,1270.202233
2024-12-01 15:15:00,1270.168683
2024-12-01 15:30:00,1270.284064
2024-12-01 15:45:00,1270.007301
2024-12-01 16:00:00,1270.167541
2024-12-01 16:15:00,1270.037567
2024-12-01 16:30:00,1270.125823
2024-12-01 16:45:00,1270.05403
2024-12-01 17:00:00,1269.94512
